variable,rank_type,year,lgcode,pcode,value
edu_literate_female,top,2021,50802,5,0.8786
edu_literate_female,top,2021,30608,3,0.8695
edu_literate_female,top,2021,30605,3,0.8676
edu_literate_female,top,2021,30604,3,0.8554
edu_literate_female,top,2021,30703,3,0.8542
edu_literate_female,top,2021,50605,5,0.8507
edu_literate_female,top,2021,30802,3,0.849
edu_literate_female,top,2021,30801,3,0.8453
edu_literate_female,top,2021,11112,1,0.8397
edu_literate_female,top,2021,40504,4,0.8393
edu_literate_female,bottom,2021,40101,4,0.348
edu_literate_female,bottom,2021,60101,6,0.3697
edu_literate_female,bottom,2021,20716,2,0.3718
edu_literate_female,bottom,2021,20514,2,0.3768
edu_literate_female,bottom,2021,20513,2,0.4057
edu_literate_female,bottom,2021,20609,2,0.4111
edu_literate_female,bottom,2021,20613,2,0.4128
edu_literate_female,bottom,2021,20711,2,0.4152
edu_literate_female,bottom,2021,40304,4,0.4167
edu_literate_female,bottom,2021,20519,2,0.4174
flfp_wage,top,2021,40203,4,0.4604
flfp_wage,top,2021,40302,4,0.4018
flfp_wage,top,2021,30702,3,0.3281
flfp_wage,top,2021,30802,3,0.3261
flfp_wage,top,2021,11210,1,0.307
flfp_wage,top,2021,30608,3,0.3041
flfp_wage,top,2021,30703,3,0.3008
flfp_wage,top,2021,30603,3,0.2964
flfp_wage,top,2021,11211,1,0.2919
flfp_wage,top,2021,30610,3,0.287
flfp_wage,bottom,2021,70101,7,0.0204
flfp_wage,bottom,2021,60102,6,0.0222
flfp_wage,bottom,2021,70202,7,0.0268
flfp_wage,bottom,2021,31107,3,0.0271
flfp_wage,bottom,2021,60407,6,0.0283
flfp_wage,bottom,2021,60301,6,0.0286
flfp_wage,bottom,2021,11005,1,0.0297
flfp_wage,bottom,2021,31204,3,0.0301
flfp_wage,bottom,2021,60609,6,0.031
flfp_wage,bottom,2021,70709,7,0.0322
fem_share_of_ag_workers,top,2021,50305,5,0.7233
fem_share_of_ag_workers,top,2021,70605,7,0.7215
fem_share_of_ag_workers,top,2021,70603,7,0.7056
fem_share_of_ag_workers,top,2021,50307,5,0.6855
fem_share_of_ag_workers,top,2021,70407,7,0.682
fem_share_of_ag_workers,top,2021,70502,7,0.6784
fem_share_of_ag_workers,top,2021,50605,5,0.674
fem_share_of_ag_workers,top,2021,40806,4,0.6732
fem_share_of_ag_workers,top,2021,40805,4,0.6712
fem_share_of_ag_workers,top,2021,70601,7,0.6709
fem_share_of_ag_workers,bottom,2021,20518,2,0.187
fem_share_of_ag_workers,bottom,2021,20516,2,0.1899
fem_share_of_ag_workers,bottom,2021,20611,2,0.2028
fem_share_of_ag_workers,bottom,2021,20813,2,0.2138
fem_share_of_ag_workers,bottom,2021,20514,2,0.2548
fem_share_of_ag_workers,bottom,2021,20515,2,0.2618
fem_share_of_ag_workers,bottom,2021,20519,2,0.2623
fem_share_of_ag_workers,bottom,2021,20513,2,0.263
fem_share_of_ag_workers,bottom,2021,20412,2,0.2642
fem_share_of_ag_workers,bottom,2021,20517,2,0.2705
fem_ownership_land,top,2021,11204,1,0.4194
fem_ownership_land,top,2021,11212,1,0.4116
fem_ownership_land,top,2021,20304,2,0.4046
fem_ownership_land,top,2021,40201,4,0.3939
fem_ownership_land,top,2021,11108,1,0.3861
fem_ownership_land,top,2021,40806,4,0.3739
fem_ownership_land,top,2021,10402,1,0.36
fem_ownership_land,top,2021,11107,1,0.3573
fem_ownership_land,top,2021,11208,1,0.3572
fem_ownership_land,top,2021,40805,4,0.3529
fem_ownership_land,bottom,2021,60306,6,0.0027
fem_ownership_land,bottom,2021,60502,6,0.006
fem_ownership_land,bottom,2021,60301,6,0.0062
fem_ownership_land,bottom,2021,60108,6,0.0076
fem_ownership_land,bottom,2021,70602,7,0.01
fem_ownership_land,bottom,2021,60302,6,0.011
fem_ownership_land,bottom,2021,70403,7,0.0117
fem_ownership_land,bottom,2021,70105,7,0.0137
fem_ownership_land,bottom,2021,70309,7,0.014
fem_ownership_land,bottom,2021,70102,7,0.0149
head_female_share,top,2021,70603,7,0.6058
head_female_share,top,2021,50305,5,0.5695
head_female_share,top,2021,61001,6,0.5594
head_female_share,top,2021,70606,7,0.5392
head_female_share,top,2021,50607,5,0.5317
head_female_share,top,2021,50503,5,0.5309
head_female_share,top,2021,70601,7,0.5262
head_female_share,top,2021,50308,5,0.5218
head_female_share,top,2021,50307,5,0.521
head_female_share,top,2021,50602,5,0.5152
head_female_share,bottom,2021,20813,2,0.0382
head_female_share,bottom,2021,20812,2,0.0405
head_female_share,bottom,2021,20811,2,0.0416
head_female_share,bottom,2021,20803,2,0.0487
head_female_share,bottom,2021,20704,2,0.049
head_female_share,bottom,2021,20705,2,0.0506
head_female_share,bottom,2021,20808,2,0.0538
head_female_share,bottom,2021,20610,2,0.0556
head_female_share,bottom,2021,20810,2,0.0557
head_female_share,bottom,2021,20716,2,0.0644
mar_female_married_by_18,top,2021,10703,1,0.6234
mar_female_married_by_18,top,2021,20310,2,0.576
mar_female_married_by_18,top,2021,20312,2,0.5751
mar_female_married_by_18,top,2021,10108,1,0.5584
mar_female_married_by_18,top,2021,40303,4,0.5556
mar_female_married_by_18,top,2021,20605,2,0.5461
mar_female_married_by_18,top,2021,20607,2,0.5409
mar_female_married_by_18,top,2021,50309,5,0.539
mar_female_married_by_18,top,2021,20507,2,0.5351
mar_female_married_by_18,top,2021,20314,2,0.535
mar_female_married_by_18,bottom,2021,40201,4,0
mar_female_married_by_18,bottom,2021,40304,4,0
mar_female_married_by_18,bottom,2021,60108,6,0
mar_female_married_by_18,bottom,2021,60201,6,0.1111
mar_female_married_by_18,bottom,2021,30101,3,0.1228
mar_female_married_by_18,bottom,2021,60102,6,0.125
mar_female_married_by_18,bottom,2021,10404,1,0.1316
mar_female_married_by_18,bottom,2021,70406,7,0.1417
mar_female_married_by_18,bottom,2021,40202,4,0.1429
mar_female_married_by_18,bottom,2021,30606,3,0.1614
