lgcode,year,new_firms,log_new_firms,new_firms_agriculture,new_firms_manufacturing,new_firms_hospitality_food,new_firms_education_health_social,new_firms_trade_retail,new_firms_other_services,new_firms_utilities_mining,new_firms_finance_prof_realestate,new_firms_construction,new_firms_transport_storage,new_firms_admin_support,new_firms_information_comm,share_new_agriculture,share_new_manufacturing,share_new_hospitality_food,share_new_education_health_social,share_new_trade_retail,share_new_other_services,share_new_utilities_mining,share_new_finance_prof_realestate,share_new_construction,share_new_transport_storage,share_new_admin_support,share_new_information_comm,new_firms_size_1_worker,new_firms_size_2_9_workers,new_firms_size_10_50_workers,new_firms_size_51plus_workers,share_new_size_1_worker,share_new_size_2_9_workers,share_new_size_10_50_workers,share_new_size_51plus_workers
10101,2000,7,2.0794415416798357,4,3,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0.7142857142857143,0.7142857142857143,0,0
10101,2001,3,1.3862943611198906,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
10101,2002,10,2.3978952727983707,2,1,0,2,2,3,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,3,7,0,0,0.3,0.3,0,0
10101,2003,6,1.9459101490553132,0,1,1,1,1,1,1,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,3,3,0,0,0.5,0.5,0,0
10101,2004,4,1.6094379124341003,1,0,1,1,1,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0
10101,2005,8,2.1972245773362196,3,1,1,2,0,1,0,0,0,0,0,0,0.375,0.375,0.375,0.375,0,0.375,0,0,0,0,0,0,3,5,0,0,0.375,0.375,0,0
10101,2006,12,2.5649493574615367,0,1,1,2,2,4,2,0,0,0,0,0,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,3,8,1,0,0.25,0.25,0.25,0
10101,2007,13,2.6390573296152584,2,1,0,2,4,4,0,0,0,0,0,0,0.15384615384615385,0.15384615384615385,0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0,0,0,0,0,0,5,8,0,0,0.38461538461538464,0.38461538461538464,0,0
10101,2008,22,3.1354942159291497,3,1,7,2,3,5,1,0,0,0,0,0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0,0,0,0,0,6,16,0,0,0.2727272727272727,0.2727272727272727,0,0
10101,2009,15,2.772588722239781,4,0,1,1,5,3,1,0,0,0,0,0,0.26666666666666666,0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0,0,0,0,0,7,8,0,0,0.4666666666666667,0.4666666666666667,0,0
10101,2010,47,3.871201010907891,26,3,1,4,10,1,2,0,0,0,0,0,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0,0,0,0,0,28,18,1,0,0.5957446808510638,0.5957446808510638,0.5957446808510638,0
10101,2011,22,3.1354942159291497,10,2,1,3,3,1,1,1,0,0,0,0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0,0,0,0,12,10,0,0,0.5454545454545454,0.5454545454545454,0,0
10101,2012,40,3.713572066704308,16,4,3,4,8,2,2,1,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,23,17,0,0,0.575,0.575,0,0
10101,2013,38,3.6635616461296463,7,3,4,4,12,5,2,1,0,0,0,0,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0,0,0,0,9,28,1,0,0.23684210526315788,0.23684210526315788,0.23684210526315788,0
10101,2014,46,3.8501476017100584,10,7,2,4,17,4,0,1,1,0,0,0,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0,0.21739130434782608,0.21739130434782608,0,0,0,28,18,0,0,0.6086956521739131,0.6086956521739131,0,0
10101,2015,36,3.6109179126442243,10,0,6,4,8,6,0,0,1,1,0,0,0.2777777777777778,0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0,0,0.2777777777777778,0.2777777777777778,0,0,27,9,0,0,0.75,0.75,0,0
10101,2016,48,3.8918202981106265,7,4,7,4,20,5,1,0,0,0,0,0,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0,0,0,0,0,27,20,1,0,0.5625,0.5625,0.5625,0
10101,2017,48,3.8918202981106265,7,1,8,2,22,5,0,2,1,0,0,0,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0,0.14583333333333334,0.14583333333333334,0,0,0,30,18,0,0,0.625,0.625,0,0
10101,2018,3,1.3862943611198906,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
10102,2000,3,1.3862943611198906,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0
10102,2001,4,1.6094379124341003,1,0,0,2,0,0,1,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0
10102,2002,4,1.6094379124341003,1,0,0,0,2,0,1,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,3,1,0,0,0.75,0.75,0,0
10102,2003,5,1.791759469228055,0,2,1,0,1,0,0,0,1,0,0,0,0,0.4,0.4,0,0.4,0,0,0,0.4,0,0,0,3,2,0,0,0.6,0.6,0,0
10102,2004,2,1.0986122886681098,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,1,0,0,0.5,0.5,0,0
10102,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,2006,4,1.6094379124341003,3,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0,0,0.75,0,0,0,0,0,0,0,2,2,0,0,0.5,0.5,0,0
10102,2007,5,1.791759469228055,1,0,0,1,1,1,1,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,2,3,0,0,0.4,0.4,0,0
10102,2008,11,2.4849066497880004,2,0,1,2,5,1,0,0,0,0,0,0,0.18181818181818182,0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0,0,0,0,0,0,10,1,0,0,0.9090909090909091,0.9090909090909091,0,0
10102,2009,7,2.0794415416798357,2,1,0,1,0,0,2,1,0,0,0,0,0.2857142857142857,0.2857142857142857,0,0.2857142857142857,0,0,0.2857142857142857,0.2857142857142857,0,0,0,0,4,2,1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0
10102,2010,9,2.302585092994046,3,1,0,2,1,2,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,7,2,0,0,0.7777777777777778,0.7777777777777778,0,0
10102,2011,10,2.3978952727983707,0,2,0,2,2,2,0,2,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.2,0,0,0,0,10,0,0,0,1,0,0,0
10102,2012,13,2.6390573296152584,1,1,0,3,2,1,1,3,1,0,0,0,0.07692307692307693,0.07692307692307693,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0,9,4,0,0,0.6923076923076923,0.6923076923076923,0,0
10102,2013,11,2.4849066497880004,1,0,0,3,6,1,0,0,0,0,0,0,0.09090909090909091,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,7,3,1,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
10102,2014,24,3.2188758248682006,5,0,0,2,11,5,0,1,0,0,0,0,0.20833333333333334,0,0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0,0.20833333333333334,0,0,0,0,18,6,0,0,0.75,0.75,0,0
10102,2015,19,2.995732273553991,2,0,0,0,9,4,1,2,1,0,0,0,0.10526315789473684,0,0,0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0,0,0,14,4,0,1,0.7368421052631579,0.7368421052631579,0,0.7368421052631579
10102,2016,35,3.58351893845611,1,4,2,4,18,4,0,2,0,0,0,0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0,0.02857142857142857,0,0,0,0,26,9,0,0,0.7428571428571429,0.7428571428571429,0,0
10102,2017,28,3.367295829986474,3,2,2,4,13,3,0,1,0,0,0,0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0,0.10714285714285714,0,0,0,0,22,6,0,0,0.7857142857142857,0.7857142857142857,0,0
10102,2018,11,2.4849066497880004,1,2,1,4,1,1,1,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0,0,8,3,0,0,0.7272727272727273,0.7272727272727273,0,0
