hhid,year,wt_hh,vmun_code,lgname,district77,district_name,has_migrant,has_migrant_internal,has_migrant_international,has_only_internal,has_only_international,has_both_internal_and_international,n_migrants_total,n_migrants_internal,n_migrants_international,n_migrants_male,n_migrants_female,share_male_migrants,migrant_mean_age,migrant_mean_months_away,share_long_term_migrants,mig_reason_work,mig_reason_education,mig_reason_marriage_family,mig_reason_disaster,n_dest_india,n_dest_gulf,n_dest_malaysia,n_dest_other_country,remit_received,share_migrants_sending,remit_amount_12m_rs,remit_amount_intl_12m_rs,remit_frequency_avg,remit_via_formal_any,remit_via_informal_any,remit_via_hundi_any,remit_use_consumption_any,remit_use_human_capital_any,remit_use_business_investment_any,remit_use_land_housing_any,remit_use_investment_any_hh,remit_use_debt_any,mig_cost_12m_rs,mig_cost_financed_by_loan_any,migrant_monthly_earning_total_rs,migrant_has_secondary_job_any,intl_migration_share,dest_india_share,dest_gulf_share,dest_malaysia_share,dest_other_country_share,dest_diversified,remit_per_migrant,remit_per_international_migrant,cost_per_migrant,cost_to_monthly_earning_ratio
2,2016,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,1,0,1,0,1,0,1,0,1,1,0,1,22,8,0,1,0,0,0,0,1,0,0,1,1,90000,90000,3,1,0,0,1,0,0,0,0,1,120000,1,30000,0,1,0,1,0,0,0,90000,90000,120000,4
2,2017,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,1,0,1,0,1,0,1,0,1,1,0,1,23,21,0,1,0,0,0,0,1,0,0,1,1,150000,150000,4,1,0,0,1,1,0,0,0,0,120000,1,30000,0,1,0,1,0,0,0,150000,150000,120000,4
2,2018,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,1,0,1,0,1,0,1,0,1,1,0,1,24,33,1,1,0,0,0,0,1,0,0,1,1,150000,150000,3,1,0,0,0,0,0,0,0,1,100000,1,25000,0,1,0,1,0,0,0,150000,150000,100000,4
3,2016,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,1,0,1,0,1,0,1,0,1,1,0,1,20,16,0,1,0,0,0,0,0,1,0,1,1,138000,138000,3,1,0,0,0,0,0,0,0,1,200000,1,998,0,1,0,0,1,0,0,138000,138000,200000,200.40080160320642
3,2017,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,1,0,1,0,1,0,1,0,1,1,0,1,21,29,1,1,0,0,0,0,0,1,0,1,1,220000,220000,4,1,0,0,1,1,0,0,0,1,157000,1,27000,0,1,0,0,1,0,0,220000,220000,157000,5.814814814814815
3,2018,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,1,0,1,0,1,0,1,0,1,1,0,1,22,41,1,1,0,0,0,0,0,1,0,1,1,160000,160000,2,1,0,0,0,0,0,1,1,1,80000,1,40000,0,1,0,0,1,0,0,160000,160000,80000,2
4,2016,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,1,1,0,0,1,2,1,1,2,0,1,25.5,21,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,13000,0,1996,0,0.5,1,0,0,0,0,0,0,6500,6.513026052104208
4,2017,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,1,1,0,0,1,2,1,1,2,0,1,26.5,34,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3500,0,1996,0,0.5,1,0,0,0,0,0,0,1750,1.7535070140280562
4,2018,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,1,1,0,0,1,2,1,1,2,0,1,27.5,46,1,1,0,0,0,1,0,0,0,1,0.5,250000,250000,5,0,1,0,1,0,0,0,0,0,7700,0,1996,0,0.5,1,0,0,0,0,125000,250000,3850,3.8577154308617234
5,2016,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,1,0,1,0,1,0,1,0,1,1,0,1,43,11,0,1,0,0,0,0,1,0,0,1,1,220000,220000,4,1,0,0,1,0,0,0,0,1,140000,1,998,0,1,0,1,0,0,0,220000,220000,140000,140.28056112224448
