hhid,year,member_id,wt_hh,vmun_code,lgname,district77,district_name,is_internal,is_international,dest_india,dest_gulf,dest_malaysia,dest_other_country,s11q02b_raw,s11q02d_raw,s11q02a_raw,migrant_male,migrant_female,migrant_third_gender,migrant_age,months_away,long_term_migrant,reason_work,reason_education,reason_family,reason_disaster,earning_primary_rs,earning_secondary_rs,earning_total_rs,has_secondary_job,remit_sent_flag,remit_amount_rs,remit_freq_per_year,remit_via_formal,remit_via_informal,remit_via_bank_ime,remit_via_friends,remit_via_hundi,remit_via_other,remit_use_consumption,remit_use_human_capital,remit_use_business_investment,remit_use_land_housing,remit_use_investment_any,remit_use_debt,mig_cost_any,mig_cost_rs,mig_cost_loan_flag,cost_to_monthly_earning_ratio
2,2016,28969,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,0,1,0,1,0,0,Qatar,,,1,0,0,22,8,0,1,0,0,0,30000,0,30000,,1,90000,3,1,0,1,0,0,0,1,0,0,0,0,1,1,120000,1,4
2,2017,28969,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,0,1,0,1,0,0,Qatar,,,1,0,0,23,21,0,1,0,0,0,30000,0,30000,,1,150000,4,1,0,1,0,0,0,1,1,0,0,0,0,1,120000,1,4
2,2018,28969,990.53192138671875,20504,Barahathawa Municipality,Sarlahi,Sarlahi,0,1,0,1,0,0,Qatar,,,1,0,0,24,33,1,1,0,0,0,25000,0,25000,,1,150000,3,1,0,1,0,0,0,0,0,0,0,0,1,1,100000,1,4
3,2016,28970,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,0,1,0,0,1,0,Malayasia,,,1,0,0,20,16,0,1,0,0,0,998,0,998,,1,138000,3,1,0,1,0,0,0,0,0,0,0,0,1,1,200000,1,200.40080160320642
3,2017,28970,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,0,1,0,0,1,0,Malayasia,,,1,0,0,21,29,1,1,0,0,0,27000,0,27000,,1,220000,4,1,0,1,0,0,0,1,1,0,0,0,1,1,157000,1,5.814814814814815
3,2018,28970,487.4611206054687,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,0,1,0,0,1,0,Malayasia,,,1,0,0,22,41,1,1,0,0,0,40000,0,40000,,1,160000,2,1,0,1,0,0,0,0,0,0,1,1,1,1,80000,1,2
4,2016,28972,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,0,0,0,0,0,,,Jhapa,1,0,0,20,18,0,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,5000,0,5.01002004008016
4,2016,28971,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,0,1,1,0,0,0,India,,,1,0,0,31,24,0,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,8000,0,8.016032064128256
4,2017,28972,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,0,0,0,0,0,,,Jhapa,1,0,0,21,31,1,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,500,0,0.501002004008016
4,2017,28971,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,0,1,1,0,0,0,India,,,1,0,0,32,37,1,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,3000,0,3.006012024048096
4,2018,28971,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,0,1,1,0,0,0,India,,,1,0,0,33,49,1,1,0,0,0,998,0,998,,1,250000,5,0,1,0,1,0,0,1,0,0,0,0,0,1,7500,0,7.515030060120241
4,2018,28972,898.64581298828125,11112,Birtamod Municipality,Jhapa,Jhapa,1,0,0,0,0,0,,,Jhapa,1,0,0,22,43,1,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,200,0,0.20040080160320642
5,2016,28973,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,0,1,0,1,0,0,United Arab Emirates,,,1,0,0,43,11,0,1,0,0,0,998,0,998,,1,220000,4,1,0,1,0,0,0,1,0,0,0,0,1,1,140000,1,140.28056112224448
5,2017,28973,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,0,1,0,1,0,0,United Arab Emirates,,,1,0,0,44,24,0,1,0,0,0,30000,0,30000,,1,100000,1,1,0,1,0,0,0,1,1,0,0,0,1,1,100000,0,3.3333333333333335
5,2018,36198,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,0,1,0,1,0,0,United Arab Emirates,,,1,0,0,35,11,0,1,0,0,0,35000,0,35000,,0,0,,,,,,,,,,,,,,1,100000,0,2.857142857142857
5,2018,2542,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,1,0,0,0,0,0,,,Kaski,0,1,0,36,11,0,0,0,1,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1000,0,
5,2018,28973,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,1,0,0,0,0,0,,,Kaski,1,0,0,45,11,0,1,0,0,0,998,0,998,,1,40000,3,1,0,1,0,0,0,1,0,0,0,0,0,1,2000,0,2.004008016032064
5,2018,2543,754.5958251953125,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,1,0,0,0,0,0,,,Kaski,0,1,0,14,11,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1000,0,
8,2016,2564,631.615234375,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,0,1,1,0,0,0,India,,,1,0,0,19,2,0,1,0,0,0,13000,0,13000,,1,6000,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1500,1,0.11538461538461539
8,2017,2564,631.615234375,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,1,0,0,0,0,0,,,Kathmandu,1,0,0,20,15,0,1,0,0,0,15000,0,15000,,1,50000,4,1,0,1,0,0,0,1,0,0,0,0,0,1,2000,0,0.13333333333333333
8,2018,2564,631.615234375,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,1,0,0,0,0,0,,,Kathmandu,1,0,0,21,27,1,1,0,0,0,25000,0,25000,,1,80000,4,1,0,1,0,0,0,1,1,0,0,0,1,1,2000,0,0.08
10,2018,2574,898.64581298828125,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,0,1,0,1,0,0,United Arab Emirates,,,1,0,0,19,7,0,1,0,0,0,0,0,0,,1,50000,1,1,0,1,0,0,0,0,0,0,0,0,1,1,150000,1,
