dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
1,2001,0.428,0.6319,0.7469,0.7941,0.2549,0.3372,18.4709,3.2536,1.68,1.5736,0.7473,0.8028,0.7458,0.0191,0.0257,0.5156,0.9483,0.6437,0.0549,0.0838,0.1828,0.0793,0.152,0.0465,0.0997,0.0134,0.1425
1,2011,0.6469,0.8027,0.9007,0.892,0.2818,0.4028,18.109,2.5194,1.2633,1.2561,0.6346,0.7314,0.6305,0.0458,0.0726,0.5509,1.0015,0.5261,0.0784,0.0946,0.1969,0.0946,0.2753,0.0522,0.1363,0.016,0.2926
1,2021,0.7564,0.877,0.9398,0.9304,0.3952,0.3623,18.4022,2.1203,1.0846,1.0358,0.8119,0.8761,0.7959,0.0801,0.1006,0.5007,0.9896,0.6421,0.1861,0.0831,0.1517,0.0749,0.2281,0.0557,0.1508,0.0161,0.1675
2,2001,0.4533,0.6582,0.7976,0.8442,0.2465,0.331,18.5145,3.3229,1.7078,1.6151,0.713,0.7831,0.711,0.0172,0.0242,0.5089,0.9283,0.6081,0.0684,0.0495,0.1286,0.0434,0.1477,0.0354,0.106,0.0138,0.1418
2,2011,0.6632,0.8138,0.9208,0.9099,0.2967,0.3489,18.3773,2.5278,1.2988,1.2291,0.6166,0.7194,0.613,0.0379,0.0618,0.5677,1.0304,0.5127,0.0721,0.0696,0.1588,0.0696,0.2753,0.0427,0.1556,0.0081,0.341
2,2021,0.7122,0.8562,0.9463,0.9264,0.3459,0.4303,18.1461,2.1434,1.1145,1.0289,0.9591,0.9716,0.954,0.073,0.0765,0.5292,1.1176,0.7699,0.1041,0.1112,0.2016,0.0932,0.2714,0.0657,0.2051,0.0182,0.16
3,2001,0.5842,0.7446,0.8676,0.8805,0.326,0.3323,18.4708,2.9059,1.5021,1.4038,0.5994,0.769,0.5978,0.0573,0.0958,0.4731,0.9063,0.4735,0.1032,0.0373,0.0965,0.0338,0.0976,0.0218,0.1147,0.0144,0.0717
3,2011,0.723,0.8469,0.9209,0.9102,0.2804,0.3491,18.4867,1.9638,1.0206,0.9433,0.5744,0.7616,0.5696,0.0696,0.1222,0.5237,0.958,0.4244,0.1066,0.0813,0.1748,0.0813,0.1973,0.0327,0.1426,0.0115,0.2613
3,2021,0.6899,0.8432,0.9503,0.9428,0.3561,0.2707,19.0022,2.1874,1.1304,1.057,0.8555,0.8633,0.8385,0.0961,0.1146,0.552,1.258,0.5778,0.1394,0.1001,0.1852,0.0918,0.2677,0.0733,0.1821,0.0174,0.1386
4,2001,0.5907,0.7564,0.8256,0.8549,0.3979,0.3898,18.2298,2.647,1.3703,1.2767,0.4349,0.7623,0.4301,0.1234,0.287,0.4081,0.6729,0.2056,0.191,0.0915,0.1738,0.083,0.1639,0.0316,0.1317,0.0124,0.1199
4,2011,0.687,0.8277,0.9074,0.9101,0.4086,0.3207,18.5778,2.0823,1.0886,0.9937,0.4493,0.7596,0.4424,0.1229,0.2778,0.5091,0.8552,0.2362,0.199,0.177,0.3073,0.177,0.2693,0.0459,0.1317,0.0105,0.3229
4,2021,0.6604,0.8095,0.9379,0.942,0.3714,0.3167,18.6479,2.1045,1.0871,1.0174,0.8122,0.829,0.7849,0.0707,0.0901,0.5463,1.0972,0.6144,0.2769,0.1287,0.222,0.116,0.2635,0.0906,0.1489,0.0115,0.1515
5,2001,0.4665,0.6688,0.7329,0.7942,0.3784,0.4636,17.7724,2.7551,1.4347,1.3205,0.4741,0.7866,0.4684,0.1098,0.2344,0.4325,0.7469,0.2633,0.1921,0.0817,0.1688,0.0738,0.1367,0.0273,0.1149,0.0116,0.0954
5,2011,0.6322,0.7924,0.871,0.8759,0.4088,0.3912,18.1577,2.0867,1.0965,0.9903,0.4019,0.7489,0.3954,0.1056,0.2671,0.4892,0.8253,0.2146,0.2279,0.1689,0.2991,0.1689,0.2538,0.0379,0.1179,0.0078,0.2535
5,2021,0.6814,0.8323,0.9396,0.9261,0.4411,0.3724,18.1911,2.3169,1.2121,1.1048,0.9195,0.9346,0.91,0.0558,0.0613,0.5241,1.0516,0.7895,0.0733,0.0793,0.1671,0.0721,0.2709,0.0733,0.1617,0.0128,0.2131
