year,pcode,province,n_municipalities,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
2001,1,Koshi,411,0.4306,0.6397,0.7449,0.8077,0.2556,0.3852,18.2111,3.0197,1.5567,1.463,0.6797,0.81,0.6763,0.0556,0.1054,0.4795,0.8773,0.5365,0.0936,0.0679,0.1597,0.0613,0.1495,0.0373,0.1134,0.0122,0.1105
2011,1,Koshi,137,0.6207,0.7839,0.889,0.8904,0.2917,0.3755,18.2464,2.4257,1.2547,1.171,0.5873,0.7473,0.5826,0.0637,0.1354,0.5373,0.9698,0.4594,0.1188,0.1076,0.2284,0.1076,0.2527,0.0486,0.1284,0.0098,0.2798
2021,1,Koshi,137,0.7138,0.8493,0.9395,0.9309,0.4044,0.3524,18.4015,2.0435,1.0559,0.9876,0.8155,0.882,0.7949,0.1157,0.1626,0.5409,1.1146,0.5716,0.164,0.1157,0.2138,0.1043,0.2749,0.0611,0.2044,0.016,0.206
2001,2,Madhesh,408,0.2078,0.4538,0.4797,0.6328,0.3856,0.6353,16.4974,2.5239,1.3575,1.1664,0.3526,0.845,0.3473,0.0784,0.2325,0.274,0.4238,0.302,0.2827,0.0396,0.0987,0.0337,0.0573,0.0152,0.0994,0.0131,0.0431
2011,2,Madhesh,136,0.3654,0.5889,0.6327,0.7141,0.4057,0.5912,16.8531,2.2124,1.178,1.0343,0.2983,0.7755,0.2908,0.0612,0.2247,0.3212,0.4941,0.2833,0.306,0.082,0.1885,0.082,0.1254,0.0232,0.0636,0.0038,0.1854
2021,2,Madhesh,136,0.524,0.7117,0.8106,0.8271,0.4568,0.4179,17.8342,2.4384,1.3085,1.1299,0.5405,0.7748,0.492,0.1507,0.322,0.4321,0.7519,0.2698,0.2947,0.1353,0.2167,0.1109,0.2092,0.0305,0.1764,0.0042,0.2165
2001,3,Bagmati,357,0.3698,0.5903,0.6903,0.7874,0.2584,0.455,17.8048,2.9565,1.528,1.4285,0.7093,0.8359,0.7049,0.0433,0.0803,0.5253,1.0843,0.5537,0.0925,0.0473,0.098,0.0413,0.1373,0.0364,0.091,0.012,0.0605
2011,3,Bagmati,119,0.5723,0.7419,0.8798,0.8838,0.292,0.3874,18.1635,2.4519,1.2663,1.1856,0.6232,0.7572,0.6195,0.0622,0.1237,0.5874,1.239,0.4662,0.0985,0.0822,0.156,0.0822,0.246,0.052,0.1014,0.0083,0.1925
2021,3,Bagmati,119,0.6615,0.8046,0.9465,0.9307,0.398,0.3152,18.6622,2.0917,1.079,1.0126,0.7792,0.8409,0.752,0.118,0.1794,0.5599,1.2179,0.4908,0.1658,0.1111,0.1669,0.0938,0.2828,0.0678,0.1731,0.015,0.1692
2001,4,Gandaki,255,0.4604,0.6591,0.8071,0.8667,0.2292,0.3821,18.1914,2.8495,1.4654,1.3841,0.7541,0.7875,0.7498,0.0413,0.057,0.6096,1.2645,0.5721,0.0645,0.055,0.1016,0.0483,0.2612,0.0546,0.1989,0.0132,0.2828
2011,4,Gandaki,85,0.6356,0.8044,0.9036,0.9151,0.2499,0.3819,18.1485,2.2846,1.1768,1.1077,0.6518,0.7195,0.6485,0.0605,0.0959,0.6612,1.3705,0.4695,0.1021,0.0982,0.1712,0.0982,0.3764,0.0735,0.2238,0.0084,0.4044
2021,4,Gandaki,85,0.6965,0.8522,0.9493,0.94,0.3739,0.3243,19.2029,1.9521,1.0122,0.9399,0.7927,0.8297,0.7618,0.1258,0.1692,0.5851,1.2719,0.4845,0.186,0.1374,0.206,0.1139,0.3813,0.0932,0.3254,0.013,0.3056
2001,5,Lumbini,327,0.3605,0.6013,0.6644,0.7824,0.2217,0.5354,17.1926,2.8891,1.5086,1.3805,0.6236,0.8283,0.6195,0.0426,0.0828,0.4681,0.8179,0.4848,0.1427,0.0421,0.0857,0.0372,0.1703,0.03,0.1164,0.0098,0.21560000000000001
2011,5,Lumbini,109,0.5711,0.7606,0.8474,0.8768,0.2461,0.4981,17.4237,2.4867,1.2902,1.1965,0.5322,0.7377,0.5286,0.0518,0.1121,0.5763,1.1211,0.4176,0.1673,0.0936,0.1665,0.0936,0.2976,0.0466,0.1742,0.0067,0.352
2021,5,Lumbini,109,0.7002,0.848,0.918,0.9184,0.3408,0.3446,18.5881,2.1344,1.1134,1.021,0.7365,0.8304,0.7025,0.1084,0.1679,0.5755,1.1382,0.4702,0.2467,0.1141,0.1759,0.0959,0.3585,0.0599,0.2718,0.0097,0.2891
2001,6,Karnali,207,0.2465,0.5148,0.5533,0.7258,0.252,0.4855,17.5639,3.0038,1.5539,1.4499,0.7769,0.8591,0.7743,0.0182,0.0263,0.4861,0.9703,0.6771,0.0802,0.0269,0.0379,0.0199,0.1055,0.0185,0.1005,0.0145,0.0791
2011,6,Karnali,79,0.4806,0.7057,0.8499,0.887,0.288,0.5174,17.3828,2.9526,1.5318,1.4208,0.6763,0.7365,0.6743,0.0295,0.0467,0.5648,1.2111,0.5505,0.0855,0.0307,0.0529,0.0307,0.1757,0.0304,0.0815,0.0078,0.1304
2021,6,Karnali,79,0.6492,0.8002,0.9292,0.926,0.4332,0.3552,18.4225,2.5445,1.3115,1.233,0.8068,0.8342,0.7792,0.0599,0.0813,0.5526,1.1388,0.5978,0.2013,0.0486,0.0784,0.0417,0.275,0.0451,0.1555,0.0076,0.1455
2001,7,Sudurpashchim,264,0.2443,0.5861,0.5726,0.7754,0.2039,0.5391,17.2644,2.9711,1.55,1.4211,0.7915,0.8264,0.7895,0.0229,0.0342,0.5332,1.0799,0.6322,0.0717,0.0169,0.0252,0.0125,0.1368,0.0243,0.1166,0.0118,0.192
2011,7,Sudurpashchim,88,0.4855,0.7636,0.858,0.9006,0.2588,0.4902,17.4466,2.8915,1.5032,1.3883,0.6487,0.7082,0.646,0.0356,0.0612,0.6172,1.3455,0.5004,0.1051,0.0273,0.0463,0.0273,0.2434,0.0463,0.1278,0.007,0.2723
2021,7,Sudurpashchim,88,0.6551,0.8454,0.9369,0.9404,0.3847,0.3008,18.5616,2.4784,1.2979,1.1805,0.8125,0.8335,0.7847,0.0699,0.0941,0.6031,1.2525,0.5859,0.226,0.0445,0.0717,0.0397,0.3167,0.0608,0.2511,0.0073,0.2935
