"lgcode","country","mun_mig_pop_2001","mun_pop_2001","mun_mig_share_2001"
10101,"Bahrain",6,12938,0.000463750193229247
10101,"Bangladesh",1,12938,0.0000772916988715412
10101,"China",1,12938,0.0000772916988715412
10101,"Germany",1,12938,0.0000772916988715412
10101,"Hong Kong SAR China",16,12938,0.00123666718194466
10101,"Kuwait",3,12938,0.000231875096614624
10101,"Malaysia",8,12938,0.00061833359097233
10101,"Others",5,12938,0.000386458494357706
10101,"Pakistan",5,12938,0.000386458494357706
10101,"Qatar",14,12938,0.00108208378420158
10101,"Russia",1,12938,0.0000772916988715412
10101,"Saudi Arabia",35,12938,0.00270520946050394
10101,"Singapore",7,12938,0.000541041892100788
10101,"South Korea",1,12938,0.0000772916988715412
10101,"United Arab Emirates",7,12938,0.000541041892100788
10101,"United Kingdom",5,12938,0.000386458494357706
10101,"United States",2,12938,0.000154583397743082
10102,"Bahrain",7,9561,0.000732140989436251
10102,"Bhutan",1,9561,0.000104591569919464
10102,"Hong Kong SAR China",6,9561,0.000627549419516787
10102,"Japan",1,9561,0.000104591569919464
10102,"Kuwait",4,9561,0.000418366279677858
10102,"Malaysia",11,9561,0.00115050726911411
10102,"Others",2,9561,0.000209183139838929
10102,"Qatar",27,9561,0.00282397238782554
10102,"Russia",2,9561,0.000209183139838929
10102,"Saudi Arabia",54,9561,0.00564794477565108
10102,"Singapore",5,9561,0.000522957849597323
10102,"South Korea",4,9561,0.000418366279677858
10102,"United Arab Emirates",12,9561,0.00125509883903357
10102,"United Kingdom",2,9561,0.000209183139838929
10102,"United States",1,9561,0.000104591569919464
10103,"Australia",1,13576,0.0000736593989393047
10103,"Bahrain",9,13576,0.000662934590453742
10103,"China",2,13576,0.000147318797878609
10103,"Germany",1,13576,0.0000736593989393047
10103,"Hong Kong SAR China",34,13576,0.00250441956393636
10103,"Kuwait",7,13576,0.000515615792575133
10103,"Malaysia",34,13576,0.00250441956393636
10103,"Others",3,13576,0.000220978196817914
10103,"Qatar",40,13576,0.00294637595757219
10103,"Saudi Arabia",87,13576,0.00640836770771951
10103,"Singapore",6,13576,0.000441956393635828
10103,"United Arab Emirates",26,13576,0.00191514437242192
10103,"United Kingdom",6,13576,0.000441956393635828
10103,"United States",2,13576,0.000147318797878609
10104,"Australia",1,12485,0.0000800961153384061
10104,"Bahrain",10,12485,0.000800961153384061
10104,"China",3,12485,0.000240288346015218
10104,"Germany",2,12485,0.000160192230676812
10104,"Hong Kong SAR China",55,12485,0.00440528634361234
10104,"Malaysia",24,12485,0.00192230676812175
10104,"Others",2,12485,0.000160192230676812
10104,"Qatar",26,12485,0.00208249899879856
10104,"Saudi Arabia",98,12485,0.0078494193031638
10104,"Singapore",14,12485,0.00112134561473769
10104,"South Korea",3,12485,0.000240288346015218
10104,"Sri Lanka",1,12485,0.0000800961153384061
10104,"United Arab Emirates",13,12485,0.00104124949939928
10104,"United Kingdom",9,12485,0.000720865038045655
10104,"United States",1,12485,0.0000800961153384061
10105,"Australia",2,15978,0.000125172111653524
10105,"Bahrain",2,15978,0.000125172111653524
10105,"Bhutan",2,15978,0.000125172111653524
10105,"France",1,15978,0.0000625860558267618
10105,"Germany",4,15978,0.000250344223307047
10105,"Hong Kong SAR China",29,15978,0.00181499561897609
10105,"Japan",1,15978,0.0000625860558267618
10105,"Kuwait",3,15978,0.000187758167480285
10105,"Malaysia",17,15978,0.00106396294905495
10105,"Maldives",1,15978,0.0000625860558267618
10105,"Others",5,15978,0.000312930279133809
10105,"Qatar",28,15978,0.00175240956314933
10105,"Saudi Arabia",92,15978,0.00575791713606209
10105,"Singapore",10,15978,0.000625860558267618
10105,"United Arab Emirates",16,15978,0.00100137689322819
10105,"United Kingdom",4,15978,0.000250344223307047
10105,"United States",1,15978,0.0000625860558267618
10106,"Australia",2,23651,0.0000845630205910955
10106,"Bahrain",26,23651,0.00109931926768424
10106,"Bangladesh",1,23651,0.0000422815102955478
10106,"Bhutan",2,23651,0.0000845630205910955
10106,"China",5,23651,0.000211407551477739
10106,"Hong Kong SAR China",71,23651,0.00300198723098389
10106,"Japan",1,23651,0.0000422815102955478
10106,"Kuwait",10,23651,0.000422815102955478
10106,"Malaysia",26,23651,0.00109931926768424
10106,"Others",11,23651,0.000465096613251025
10106,"Qatar",90,23651,0.0038053359265993
10106,"Russia",3,23651,0.000126844530886643
10106,"Saudi Arabia",172,23651,0.00727241977083421
10106,"Singapore",20,23651,0.000845630205910955
10106,"South Korea",1,23651,0.0000422815102955478
10106,"United Arab Emirates",24,23651,0.00101475624709315
10106,"United Kingdom",26,23651,0.00109931926768424
10106,"United States",14,23651,0.000591941144137669
10107,"Australia",1,15509,0.0000644786897930234
10107,"Bahrain",39,15509,0.00251466890192791
10107,"Germany",2,15509,0.000128957379586047
10107,"Hong Kong SAR China",42,15509,0.00270810497130698
10107,"Japan",1,15509,0.0000644786897930234
10107,"Kuwait",14,15509,0.000902701657102328
10107,"Malaysia",16,15509,0.00103165903668837
10107,"Others",7,15509,0.000451350828551164
10107,"Qatar",106,15509,0.00683474111806048
10107,"Saudi Arabia",235,15509,0.0151524921013605
10107,"Singapore",20,15509,0.00128957379586047
10107,"South Korea",2,15509,0.000128957379586047
10107,"Sri Lanka",1,15509,0.0000644786897930234
10107,"United Arab Emirates",32,15509,0.00206331807337675
10107,"United Kingdom",12,15509,0.000773744277516281
10107,"United States",1,15509,0.0000644786897930234
10108,"Australia",1,17134,0.0000583634878020311
10108,"Bahrain",13,17134,0.000758725341426404
10108,"Bhutan",1,17134,0.0000583634878020311
10108,"Germany",3,17134,0.000175090463406093
10108,"Hong Kong SAR China",25,17134,0.00145908719505078
10108,"Japan",1,17134,0.0000583634878020311
10108,"Kuwait",5,17134,0.000291817439010155
10108,"Malaysia",24,17134,0.00140072370724875
10108,"Others",1,17134,0.0000583634878020311
10108,"Pakistan",1,17134,0.0000583634878020311
10108,"Qatar",83,17134,0.00484416948756858
10108,"Russia",2,17134,0.000116726975604062
10108,"Saudi Arabia",215,17134,0.0125481498774367
10108,"Singapore",15,17134,0.000875452317030466
10108,"South Korea",3,17134,0.000175090463406093
10108,"Sri Lanka",1,17134,0.0000583634878020311
10108,"United Arab Emirates",51,17134,0.00297653787790358
10108,"United Kingdom",13,17134,0.000758725341426404
10108,"United States",3,17134,0.000175090463406093
10109,"Bahrain",2,13477,0.000148400979446464
10109,"Bangladesh",3,13477,0.000222601469169697
10109,"China",2,13477,0.000148400979446464
10109,"Germany",2,13477,0.000148400979446464
10109,"Hong Kong SAR China",30,13477,0.00222601469169697
10109,"Japan",1,13477,0.0000742004897232322
10109,"Kuwait",3,13477,0.000222601469169697
10109,"Malaysia",10,13477,0.000742004897232322
10109,"Maldives",1,13477,0.0000742004897232322
10109,"Others",7,13477,0.000519403428062625
10109,"Qatar",59,13477,0.0043778288936707
10109,"Saudi Arabia",114,13477,0.00845885582844847
10109,"Singapore",6,13477,0.000445202938339393
10109,"United Arab Emirates",21,13477,0.00155821028418788
10109,"United Kingdom",2,13477,0.000148400979446464
