"country","iso3","gdp_pc_2001"
"Australia","AUS",46314.6235297968
"Bahrain","BHR",25106.2869742612
"Bangladesh","BGD",641.288922876274
"Belgium","BEL",36148.2880924306
"Bhutan","BTN",1321.09878230279
"Canada","CAN",38200.456120621
"China","CHN",2405.89396743215
"Croatia","HRV",9515.73569793698
"France","FRA",33640.6738002565
"Germany","DEU",35618.5143698493
"Hong Kong","HKG",26885.4284833926
"Israel","ISR",28808.1300136037
"Italy","ITA",33243.599343976
"Japan","JPN",31476.0520665746
"Jordan","JOR",3518.76635312228
"Korea, Rep.","KOR",18460.4288193829
"Kuwait","KWT",30573.4284224199
"Lebanon","LBN",6085.76041420146
"Malaysia","MYS",6334.92795651698
"Maldives","MDV",6647.6503820039
"Malta","MLT",16920.7309706609
"Mexico","MEX",9398.35074355724
"Netherlands","NLD",41297.3198832208
"New Zealand","NZL",31718.7628389095
"Oman","OMN",20546.0554077598
"Pakistan","PAK",1057.86767778646
"Poland","POL",7494.96089503246
"Portugal","PRT",19053.089945659
"Qatar","QAT",51633.898491151
"Romania","ROU",4875.30310600635
"Russian Federation","RUS",5618.95556640625
"Saudi Arabia","SAU",21193.0922894351
"Singapore","SGP",33597.8690808226
"Spain","ESP",24878.3784543991
"Sri Lanka","LKA",1896.48251734068
"Sweden","SWE",42014.4022302506
"Thailand","THA",3599.02524877358
"United Arab Emirates","ARE",54169.4153530236
"United Kingdom","GBR",40082.1359356822
"United States","USA",48361.0167607073
