lgcode,founding_year_ad,n_firms_surviving,emp_surviving,rev_surviving,cap_surviving,median_firm_age_years,n_firms_surviving_size_small_2_9,n_firms_surviving_size_micro_1,n_firms_surviving_size_medium_10_50,n_firms_surviving_size_large_51p,n_firms_surviving_sec_manuf,n_firms_surviving_sec_education,n_firms_surviving_sec_services,n_firms_surviving_sec_transport,n_firms_surviving_sec_wholesale,n_firms_surviving_sec_health,n_firms_surviving_sec_hospitality,n_firms_surviving_sec_construct,n_firms_surviving_sec_water_waste,n_firms_surviving_sec_agro,n_firms_surviving_sec_arts,n_firms_surviving_sec_energy,n_firms_surviving_sec_finance,n_firms_surviving_sec_prof_tech,n_firms_surviving_sec_admin_sup,n_firms_surviving_sec_info_comm,n_firms_surviving_sec_mining,n_firms_surviving_sec_real_estate,n_firms_surviving_trd_tradable_goods,n_firms_surviving_trd_non_tradable_services,n_firms_surviving_trd_tradable_services,n_firms_surviving_trd_non_tradable_utilities,n_firms_surviving_agor_not_ag,n_firms_surviving_agor_agro_processing,n_firms_surviving_agor_agro_downstream_manuf,n_firms_surviving_agor_crop_livestock_primary,n_firms_surviving_agor_forestry_primary,n_firms_surviving_agor_fishery_primary,n_firms_surviving_mtier_medium_low_tech,n_firms_surviving_mtier_low_tech,n_firms_surviving_mtier_high_tech,n_firms_surviving_mtier_medium_high_tech,n_firms_surviving_modern_industrial_sector,n_firms_surviving_modern_other,n_firms_surviving_modern_public_sector,n_firms_surviving_modern_traditional_commerce,n_firms_surviving_modern_traditional_agriculture,n_firms_surviving_modern_modern_services,n_firms_surviving_modern_traditional_services,n_firms_surviving_modern_modern_manuf
10101,1980,1,4,144000,80000,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10101,1983,6,13,1230000,1536000,35,5,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,2,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,0
10101,1984,2,5,1265856,482611,34,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10101,1986,1,2,402396,260000,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10101,1987,3,12,2218236,24642000,31,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
10101,1988,6,26,6131472,5894878,30,4,1,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,1,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,0
10101,1989,2,7,2432820,4509179,29,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10101,1990,2,3,324000,880000,28,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10101,1991,2,9,483600,65000,27,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
10101,1992,2,8,1916808,7070000,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
