lgcode,new_firms_total,log_new_firms_total,first_founded_year_observed,last_founded_year_observed,n_entry_years_observed,new_firms_1980,new_firms_1983,new_firms_1984,new_firms_1986,new_firms_1987,new_firms_1988,new_firms_1989,new_firms_1990,new_firms_1991,new_firms_1992,new_firms_1993,new_firms_1994,new_firms_1995,new_firms_1996,new_firms_1997,new_firms_1998,new_firms_1999,new_firms_2000,new_firms_2001,new_firms_2002,new_firms_2003,new_firms_2004,new_firms_2005,new_firms_2006,new_firms_2007,new_firms_2008,new_firms_2009,new_firms_2010,new_firms_2011,new_firms_2012,new_firms_2013,new_firms_2014,new_firms_2015,new_firms_2016,new_firms_2017,new_firms_2018,new_firms_1981,new_firms_1982,new_firms_1985,new_firms_1990_1999,new_firms_2000_2009,new_firms_2010_2014,new_firms_2015_2018,new_firms_pre_1990,share_new_1990_1999,share_new_2000_2009,share_new_2010_2014,share_new_2015_2018,share_new_pre_1990,new_agriculture,new_manufacturing,new_construction,new_trade_retail,new_transport,new_hospitality,new_finance_prof_info,new_social_services,new_other_services,new_utilities_mining,share_new_agriculture,share_new_manufacturing,share_new_construction,share_new_trade_retail,share_new_transport,share_new_hospitality,share_new_finance_prof_info,share_new_social_services,share_new_other_services,share_new_utilities_mining
10101,508,6.2324480165505225,1980,2018,36,1,6,2,1,3,6,2,2,2,2,10,1,6,6,17,8,5,7,3,10,6,4,8,12,13,22,15,47,22,40,38,46,36,48,48,3,0,0,0,59,100,193,135,21,0.11614173228346457,0.1968503937007874,0.3799212598425197,0.265748031496063,0.04133858267716536,119,48,4,128,5,49,7,69,64,15,0.234251968503937,0.09448818897637795,0.007874015748031496,0.25196850393700787,0.00984251968503937,0.09645669291338582,0.013779527559055118,0.13582677165354332,0.12598425196850394,0.02952755905511811
10102,251,5.529429087511423,1980,2018,33,1,2,0,0,2,1,0,4,1,2,5,3,5,7,4,4,4,3,4,4,5,2,0,4,5,11,7,9,10,13,11,24,19,35,28,11,1,0,0,39,45,67,93,7,0.1553784860557769,0.17928286852589642,0.26693227091633465,0.3705179282868526,0.027888446215139442,33,22,3,77,4,7,13,48,35,9,0.13147410358565736,0.08764940239043825,0.01195219123505976,0.30677290836653387,0.01593625498007968,0.027888446215139442,0.05179282868525897,0.19123505976095617,0.1394422310756972,0.035856573705179286
10103,380,5.942799375126701,1982,2018,33,0,4,0,1,0,3,1,1,0,2,6,3,4,4,3,10,3,2,5,2,13,2,10,12,9,13,17,24,17,35,29,21,31,36,53,3,0,1,0,36,85,126,123,10,0.09473684210526316,0.2236842105263158,0.33157894736842103,0.3236842105263158,0.02631578947368421,11,25,0,142,4,27,17,62,85,7,0.02894736842105263,0.06578947368421052,0,0.3736842105263158,0.010526315789473684,0.07105263157894737,0.04473684210526316,0.1631578947368421,0.2236842105263158,0.018421052631578946
10104,300,5.707110264748875,1981,2018,34,0,0,1,2,0,3,2,1,0,2,1,3,7,1,1,4,5,3,3,2,7,4,10,7,11,20,12,12,19,18,39,13,20,22,39,3,1,0,2,25,79,101,84,11,0.08333333333333333,0.2633333333333333,0.33666666666666667,0.28,0.03666666666666667,7,50,4,100,1,18,6,56,48,10,0.023333333333333334,0.16666666666666666,0.013333333333333334,0.3333333333333333,0.0033333333333333335,0.06,0.02,0.18666666666666668,0.16,0.03333333333333333
10105,409,6.016157159698354,1980,2018,34,1,2,0,3,2,5,0,1,0,3,5,5,8,3,8,2,6,7,14,3,7,5,7,5,15,22,12,43,9,17,36,26,41,39,38,7,0,0,2,41,97,131,125,15,0.10024449877750612,0.2371638141809291,0.3202933985330073,0.3056234718826406,0.03667481662591687,31,33,5,115,3,9,5,63,131,14,0.07579462102689487,0.08068459657701711,0.012224938875305624,0.28117359413202936,0.007334963325183374,0.022004889975550123,0.012224938875305624,0.15403422982885084,0.3202933985330073,0.034229828850855744
10106,1565,7.356279876550748,1980,2018,38,4,12,1,1,2,15,6,6,6,2,18,8,17,8,21,25,11,19,22,11,50,22,27,20,43,70,46,51,94,92,154,115,140,150,232,40,2,2,0,122,330,506,562,45,0.07795527156549521,0.2108626198083067,0.3233226837060703,0.35910543130990413,0.02875399361022364,34,135,5,658,9,308,77,147,180,12,0.021725239616613417,0.08626198083067092,0.003194888178913738,0.4204472843450479,0.005750798722044728,0.19680511182108626,0.049201277955271565,0.0939297124600639,0.11501597444089456,0.0076677316293929714
10107,378,5.937536205082426,1980,2017,35,1,3,0,0,2,4,1,1,1,1,7,3,5,4,2,4,5,2,2,6,12,6,6,8,10,7,12,44,18,16,35,27,25,39,57,0,1,0,1,33,71,140,121,13,0.0873015873015873,0.18783068783068782,0.37037037037037035,0.3201058201058201,0.03439153439153439,22,48,0,125,8,11,5,87,66,6,0.0582010582010582,0.12698412698412698,0,0.3306878306878307,0.021164021164021163,0.0291005291005291,0.013227513227513227,0.23015873015873015,0.1746031746031746,0.015873015873015872
10108,431,6.068425588244111,1980,2018,38,1,4,1,1,1,4,4,1,0,1,3,3,2,5,4,4,4,5,4,1,7,1,10,14,11,22,16,15,46,36,42,40,27,44,39,4,2,1,1,27,91,179,114,20,0.06264501160092807,0.2111368909512761,0.41531322505800466,0.26450116009280744,0.04640371229698376,16,31,1,168,6,23,10,88,77,11,0.037122969837587005,0.07192575406032482,0.002320185614849188,0.38979118329466356,0.013921113689095127,0.05336426914153132,0.02320185614849188,0.20417633410672853,0.17865429234338748,0.025522041763341066
10109,224,5.41610040220442,1982,2018,34,0,1,1,0,2,3,2,3,0,1,3,2,2,7,6,1,4,3,4,3,2,3,5,6,7,8,23,9,13,14,10,8,18,17,30,2,0,1,0,29,64,54,67,10,0.12946428571428573,0.2857142857142857,0.24107142857142858,0.29910714285714285,0.044642857142857144,9,18,0,77,5,3,22,56,31,3,0.04017857142857143,0.08035714285714286,0,0.34375,0.022321428571428572,0.013392857142857142,0.09821428571428571,0.25,0.13839285714285715,0.013392857142857142
10201,278,5.631211781821365,1987,2018,31,0,0,0,0,2,11,4,1,4,0,6,4,7,2,3,8,5,5,2,6,7,3,5,5,4,5,4,4,13,12,28,17,31,29,38,3,0,0,0,40,46,74,101,17,0.14388489208633093,0.16546762589928057,0.26618705035971224,0.36330935251798563,0.06115107913669065,17,4,4,85,0,10,0,92,63,3,0.06115107913669065,0.014388489208633094,0.014388489208633094,0.3057553956834532,0,0.03597122302158273,0,0.33093525179856115,0.22661870503597123,0.01079136690647482
