lgcode,n_firms,n_firms_agriculture,n_firms_manufacturing,n_firms_construction,n_firms_trade_retail,n_firms_transport,n_firms_hospitality,n_firms_finance_prof_info,n_firms_social_services,n_firms_other_services,n_firms_utilities_mining,share_agriculture,share_manufacturing,share_construction,share_trade_retail,share_transport,share_hospitality,share_finance_prof_info,share_social_services,share_other_services,share_utilities_mining,industry_hhi,industry_diversity,n_industries_present,share_modern_proxy,share_services_total
10101,539,121,51,4,128,7,49,7,89,68,15,0.224489796,0.094619666,0.00742115,0.237476809,0.012987013,0.090909091,0.012987013,0.165120594,0.126159555,0.027829314,0.16835616,0.83164384,10,0.107606679,0.408163265
10102,269,33,27,3,78,5,7,13,59,35,9,0.12267658,0.100371747,0.011152416,0.289962825,0.018587361,0.026022305,0.048327138,0.219330855,0.130111524,0.033457249,0.17883943,0.82116057,10,0.148698885,0.442379182
10103,397,11,26,0,142,4,27,17,76,87,7,0.027707809,0.065491184,0,0.35768262,0.010075567,0.068010076,0.042821159,0.191435768,0.219143577,0.017632242,0.22453667,0.77546333,9,0.108312343,0.531486146
10104,310,7,51,4,102,3,18,6,61,48,10,0.022580645,0.164516129,0.012903226,0.329032258,0.009677419,0.058064516,0.019354839,0.196774194,0.15483871,0.032258065,0.203579605,0.796420395,10,0.183870968,0.438709677
10105,433,31,42,5,118,5,9,5,72,132,14,0.071593533,0.096997691,0.011547344,0.272517321,0.011547344,0.020785219,0.011547344,0.166281755,0.304849885,0.032332564,0.211260394,0.788739606,10,0.108545035,0.515011547
10106,1603,34,142,5,666,10,310,80,161,183,12,0.021210231,0.088583905,0.003119152,0.415470992,0.006238303,0.193387399,0.049906425,0.100436681,0.114160948,0.007485964,0.244027399,0.755972601,10,0.138490331,0.464129757
10107,398,22,54,0,126,8,11,5,99,67,6,0.055276382,0.135678392,0,0.316582915,0.020100503,0.027638191,0.012562814,0.248743719,0.168341709,0.015075377,0.213454206,0.786545794,9,0.148241206,0.477386935
10108,452,16,31,1,168,10,23,10,104,78,11,0.03539823,0.068584071,0.002212389,0.371681416,0.022123894,0.050884956,0.022123894,0.230088496,0.172566372,0.024336283,0.230989114,0.769010886,10,0.090707965,0.497787611
10109,249,9,18,0,78,7,3,25,75,31,3,0.036144578,0.072289157,0,0.313253012,0.02811245,0.012048193,0.100401606,0.301204819,0.124497992,0.012048193,0.222044806,0.777955194,9,0.172690763,0.56626506
10201,293,17,4,4,85,1,10,0,106,63,3,0.058020478,0.013651877,0.013651877,0.290102389,0.003412969,0.034129693,0,0.361774744,0.215017065,0.010238908,0.266293143,0.733706857,9,0.013651877,0.614334471
10202,437,42,15,0,215,3,40,6,76,40,0,0.09610984,0.034324943,0,0.491990847,0.006864989,0.091533181,0.013729977,0.173913043,0.091533181,0,0.29970833,0.70029167,8,0.04805492,0.377574371
10203,402,37,42,2,143,3,21,33,68,45,8,0.092039801,0.104477612,0.004975124,0.355721393,0.007462687,0.052238806,0.082089552,0.169154229,0.111940299,0.019900498,0.19701245,0.80298755,10,0.186567164,0.422885572
10204,199,20,17,1,86,0,16,3,33,23,0,0.100502513,0.085427136,0.005025126,0.432160804,0,0.08040201,0.015075377,0.165829146,0.115577889,0,0.251736067,0.748263933,8,0.100502513,0.376884422
10205,220,18,20,1,122,0,16,3,36,4,0,0.081818182,0.090909091,0.004545455,0.554545455,0,0.072727273,0.013636364,0.163636364,0.018181818,0,0.355082645,0.644917355,8,0.104545455,0.268181818
10206,1913,63,208,5,970,4,331,64,145,117,6,0.032932567,0.108729744,0.002613696,0.507056979,0.002090957,0.17302666,0.033455306,0.075797177,0.061160481,0.003136435,0.31057783,0.68942217,10,0.14218505,0.34553058
10207,591,49,89,2,297,2,29,9,80,30,4,0.082910321,0.150592217,0.003384095,0.502538071,0.003384095,0.049069374,0.015228426,0.13536379,0.050761421,0.00676819,0.305705149,0.694294851,10,0.165820643,0.253807107
10208,1035,69,99,4,524,6,98,31,107,90,7,0.066666667,0.095652174,0.003864734,0.506280193,0.005797101,0.09468599,0.029951691,0.103381643,0.086956522,0.006763285,0.298119443,0.701880557,10,0.125603865,0.320772947
10209,421,36,34,1,195,3,31,7,83,28,3,0.085510689,0.080760095,0.002375297,0.463182898,0.007125891,0.073634204,0.016627078,0.197149644,0.066508314,0.007125891,0.27746966,0.72253034,10,0.097387173,0.361045131
10210,527,46,76,2,254,4,42,17,52,29,5,0.087286528,0.144212524,0.003795066,0.481973435,0.007590133,0.079696395,0.032258065,0.098671727,0.055028463,0.009487666,0.281032949,0.718967051,10,0.176470588,0.273244782
10301,702,1,20,0,128,5,500,11,15,21,1,0.001424501,0.028490028,0,0.182336182,0.007122507,0.712250712,0.015669516,0.021367521,0.02991453,0.001424501,0.543011015,0.456988985,9,0.044159544,0.786324786
10302,369,5,38,0,182,2,69,6,24,42,1,0.013550136,0.10298103,0,0.493224932,0.005420054,0.18699187,0.016260163,0.06504065,0.113821138,0.002710027,0.306512144,0.693487856,9,0.119241192,0.387533875
10303,265,8,24,0,118,2,53,5,32,23,0,0.030188679,0.090566038,0,0.445283019,0.00754717,0.2,0.018867925,0.120754717,0.086792453,0,0.26991812,0.73008188,8,0.109433962,0.433962264
10304,263,5,13,0,86,3,57,4,55,32,8,0.019011407,0.049429658,0,0.326996198,0.011406844,0.216730038,0.015209125,0.209125475,0.121673004,0.030418251,0.216527635,0.783472365,9,0.064638783,0.574144487
10305,456,21,13,0,204,5,77,11,66,56,3,0.046052632,0.028508772,0,0.447368421,0.010964912,0.168859649,0.024122807,0.144736842,0.122807018,0.006578947,0.268361419,0.731638581,9,0.052631579,0.471491228
10306,353,22,36,0,141,3,46,21,51,32,1,0.062322946,0.101983003,0,0.399433428,0.008498584,0.130311615,0.059490085,0.144475921,0.090651558,0.002832861,0.223523181,0.776476819,9,0.161473088,0.433427762
10307,911,18,84,3,314,5,348,11,78,50,0,0.019758507,0.092206367,0.003293085,0.34467618,0.005488474,0.381997805,0.012074643,0.085620198,0.054884742,0,0.284146322,0.715853678,9,0.10428101,0.540065862
10308,189,3,5,1,50,1,62,5,45,17,0,0.015873016,0.026455026,0.005291005,0.264550265,0.005291005,0.328042328,0.026455026,0.238095238,0.08994709,0,0.244086112,0.755913888,9,0.052910053,0.687830688
10401,327,24,28,0,158,5,17,5,72,18,0,0.073394495,0.085626911,0,0.483180428,0.01529052,0.051987768,0.01529052,0.220183486,0.055045872,0,0.30086319,0.69913681,8,0.100917431,0.357798165
10402,1442,40,98,7,744,9,195,99,122,123,5,0.027739251,0.067961165,0.004854369,0.515950069,0.006241331,0.135228849,0.068654646,0.084604716,0.085298197,0.003467406,0.309101244,0.690898756,10,0.136615811,0.380027739
10403,557,27,95,0,234,2,76,20,62,34,7,0.048473968,0.170556553,0,0.42010772,0.003590664,0.136445242,0.035906643,0.111310592,0.061041293,0.012567325,0.244123269,0.755876731,9,0.206463196,0.348294434
10404,479,16,30,1,215,4,63,10,79,54,7,0.033402923,0.06263048,0.002087683,0.448851775,0.008350731,0.131524008,0.020876827,0.164926931,0.112734864,0.014613779,0.264438352,0.735561648,10,0.083507307,0.438413361
10405,328,4,31,0,163,4,15,14,54,32,11,0.012195122,0.094512195,0,0.49695122,0.012195122,0.045731707,0.042682927,0.164634146,0.097560976,0.033536585,0.297850982,0.702149018,9,0.137195122,0.362804878
10406,269,5,11,0,146,5,31,3,67,1,0,0.018587361,0.040892193,0,0.542750929,0.018587361,0.115241636,0.011152416,0.249070632,0.003717472,0,0.372396733,0.627603267,8,0.05204461,0.397769517
10407,422,31,37,0,213,3,29,11,76,21,1,0.073459716,0.087677725,0,0.504739336,0.007109005,0.068720379,0.026066351,0.180094787,0.049763033,0.002369668,0.308214101,0.691785899,9,0.113744076,0.331753555
10408,522,21,37,0,278,5,57,19,70,34,1,0.040229885,0.070881226,0,0.53256705,0.009578544,0.109195402,0.036398467,0.134099617,0.0651341,0.001915709,0.325839315,0.674160685,9,0.107279693,0.35440613
10501,214,31,25,0,62,7,16,6,51,8,8,0.144859813,0.11682243,0,0.289719626,0.03271028,0.074766355,0.028037383,0.238317757,0.037383178,0.037383178,0.18560573,0.81439427,9,0.144859813,0.411214953
10502,304,25,29,0,152,6,22,6,54,8,2,0.082236842,0.095394737,0,0.5,0.019736842,0.072368421,0.019736842,0.177631579,0.026315789,0.006578947,0.304168109,0.695831891,9,0.115131579,0.315789474
10503,237,35,24,1,94,5,20,3,36,18,1,0.147679325,0.101265823,0.004219409,0.396624473,0.021097046,0.084388186,0.012658228,0.151898734,0.075949367,0.004219409,0.225978743,0.774021257,10,0.113924051,0.345991561
10504,612,55,42,0,251,11,114,10,105,24,0,0.089869281,0.068627451,0,0.410130719,0.017973856,0.18627451,0.016339869,0.171568627,0.039215686,0,0.247255329,0.752744671,8,0.08496732,0.431372549
10505,1355,98,166,6,604,12,204,44,135,80,6,0.072324723,0.122509225,0.004428044,0.445756458,0.008856089,0.150553506,0.032472325,0.099630996,0.05904059,0.004428044,0.256188777,0.743811223,10,0.15498155,0.350553506
10506,214,37,40,1,76,2,6,1,33,13,5,0.172897196,0.186915888,0.004672897,0.355140187,0.009345794,0.028037383,0.004672897,0.154205607,0.060747664,0.023364486,0.2198882,0.7801118,10,0.191588785,0.257009346
10507,459,94,39,0,188,7,25,6,77,21,2,0.204793028,0.08496732,0,0.409586057,0.015250545,0.054466231,0.013071895,0.167755991,0.045751634,0.004357298,0.250544662,0.749455338,9,0.098039216,0.296296296
10508,449,66,72,0,137,9,48,11,71,25,10,0.146993318,0.160356347,0,0.305122494,0.020044543,0.106904232,0.024498886,0.158129176,0.055679287,0.022271715,0.181452473,0.818547527,9,0.184855234,0.365256125
10509,249,33,24,0,90,6,29,4,48,15,0,0.13253012,0.096385542,0,0.361445783,0.024096386,0.116465863,0.016064257,0.192771084,0.060240964,0,0.212690118,0.787309882,8,0.112449799,0.409638554
10510,215,35,28,0,89,6,3,0,43,10,1,0.162790698,0.130232558,0,0.413953488,0.027906977,0.013953488,0,0.2,0.046511628,0.004651163,0.257977285,0.742022715,8,0.130232558,0.288372093
10601,579,31,64,1,298,2,83,8,73,19,0,0.053540587,0.110535406,0.001727116,0.514680484,0.003454231,0.143350604,0.013816926,0.126079447,0.032815199,0,0.317708753,0.682291247,9,0.124352332,0.319516408
10602,195,0,10,0,130,0,10,3,41,1,0,0,0.051282051,0,0.666666667,0,0.051282051,0.015384615,0.21025641,0.005128205,0,0.494174885,0.505825115,6,0.066666667,0.282051282
10603,439,30,51,0,138,2,28,20,128,41,1,0.06833713,0.116173121,0,0.314350797,0.004555809,0.063781321,0.045558087,0.291571754,0.093394077,0.002277904,0.216888663,0.783111337,9,0.161731207,0.498861048
10604,1215,78,143,1,510,5,213,69,103,89,4,0.064197531,0.117695473,8.23E-04,0.419753086,0.004115226,0.175308642,0.056790123,0.084773663,0.073251029,0.003292181,0.240705177,0.759294823,10,0.174485597,0.394238683
10605,289,45,32,0,112,4,29,9,47,11,0,0.155709343,0.110726644,0,0.387543253,0.01384083,0.100346021,0.031141869,0.162629758,0.038062284,0,0.225823446,0.774176554,8,0.141868512,0.346020761
10606,412,78,34,0,135,5,38,28,73,20,1,0.189320388,0.082524272,0,0.327669903,0.012135922,0.09223301,0.067961165,0.177184466,0.048543689,0.002427184,0.197049675,0.802950325,9,0.150485437,0.398058252
10607,299,32,27,0,124,7,25,11,50,23,0,0.107023411,0.090301003,0,0.414715719,0.023411371,0.08361204,0.036789298,0.16722408,0.076923077,0,0.23437098,0.76562902,8,0.127090301,0.387959866
10608,281,25,23,0,130,2,21,13,47,18,2,0.088967972,0.081850534,0,0.462633452,0.007117438,0.074733096,0.046263345,0.167259786,0.06405694,0.007117438,0.268550297,0.731449703,9,0.128113879,0.359430605
10609,365,16,44,0,147,6,21,11,110,9,1,0.043835616,0.120547945,0,0.402739726,0.016438356,0.057534247,0.030136986,0.301369863,0.024657534,0.002739726,0.274580597,0.725419403,9,0.150684932,0.430136986
10701,748,120,92,1,319,1,87,19,69,37,3,0.160427807,0.122994652,0.001336898,0.426470588,0.001336898,0.11631016,0.02540107,0.092245989,0.049465241,0.004010695,0.247890989,0.752109011,10,0.148395722,0.284759358
10702,576,8,83,0,305,5,83,12,56,22,2,0.013888889,0.144097222,0,0.529513889,0.008680556,0.144097222,0.020833333,0.097222222,0.038194444,0.003472222,0.333538291,0.666461709,9,0.164930556,0.309027778
10703,552,29,62,0,277,2,105,19,43,14,1,0.052536232,0.112318841,0,0.501811594,0.003623188,0.190217391,0.03442029,0.077898551,0.025362319,0.001811594,0.311285707,0.688714293,9,0.14673913,0.331521739
10704,2430,106,300,12,1006,5,530,130,164,169,8,0.043621399,0.12345679,0.004938272,0.41399177,0.002057613,0.218106996,0.053497942,0.067489712,0.069547325,0.003292181,0.248397433,0.751602567,10,0.176954733,0.410699588
10705,388,9,34,0,159,3,44,10,76,25,28,0.023195876,0.087628866,0,0.409793814,0.007731959,0.113402062,0.025773196,0.195876289,0.06443299,0.072164948,0.237458816,0.762541184,9,0.113402062,0.407216495
10706,587,58,35,0,212,6,149,24,75,23,5,0.098807496,0.059625213,0,0.361158433,0.010221465,0.253833049,0.04088586,0.127768313,0.039182283,0.008517888,0.227893397,0.772106603,9,0.100511073,0.471890971
10707,716,58,77,1,267,6,72,45,114,76,0,0.081005587,0.107541899,0.001396648,0.372905028,0.008379888,0.100558659,0.062849162,0.159217877,0.106145251,0,0.207936706,0.792063294,9,0.170391061,0.437150838
10801,454,37,60,1,172,13,34,16,79,36,6,0.081497797,0.13215859,0.002202643,0.378854626,0.028634361,0.074889868,0.035242291,0.174008811,0.079295154,0.013215859,0.212055347,0.787944653,10,0.167400881,0.392070485
10802,328,31,45,4,149,2,12,7,51,19,8,0.094512195,0.137195122,0.012195122,0.454268293,0.006097561,0.036585366,0.021341463,0.155487805,0.057926829,0.024390244,0.264221446,0.735778554,10,0.158536585,0.277439024
10803,267,29,28,1,91,3,10,15,46,41,3,0.108614232,0.104868914,0.003745318,0.34082397,0.011235955,0.037453184,0.056179775,0.172284644,0.153558052,0.011235955,0.197043022,0.802956978,10,0.161048689,0.43071161
10804,1249,40,273,8,582,2,152,59,63,59,11,0.03202562,0.21857486,0.006405124,0.465972778,0.001601281,0.121697358,0.04723779,0.050440352,0.04723779,0.008807046,0.287869687,0.712130313,10,0.26581265,0.268214572
10805,650,55,65,12,273,3,77,43,72,46,4,0.084615385,0.1,0.018461538,0.42,0.004615385,0.118461538,0.066153846,0.110769231,0.070769231,0.006153846,0.229647337,0.770352663,10,0.166153846,0.370769231
10806,464,64,59,3,163,5,45,17,78,22,8,0.137931034,0.127155172,0.006465517,0.351293103,0.010775862,0.096982759,0.036637931,0.168103448,0.047413793,0.017241379,0.200310271,0.799689729,10,0.163793103,0.359913793
10901,561,7,73,0,322,6,34,21,64,28,6,0.012477718,0.130124777,0,0.573975045,0.010695187,0.060606061,0.037433155,0.114081996,0.049910873,0.010695187,0.36734441,0.63265559,9,0.167557932,0.272727273
10902,612,12,85,2,268,2,79,14,78,66,6,0.019607843,0.138888889,0.003267974,0.437908497,0.003267974,0.129084967,0.022875817,0.12745098,0.107843137,0.009803922,0.256616045,0.743383955,10,0.161764706,0.390522876
10903,565,14,81,0,233,3,10,19,73,112,20,0.024778761,0.143362832,0,0.412389381,0.005309735,0.017699115,0.033628319,0.12920354,0.198230088,0.03539823,0.249945963,0.750054037,9,0.17699115,0.384070796
10904,1663,11,178,8,891,7,267,82,118,91,10,0.006614552,0.107035478,0.004810583,0.535778713,0.00420926,0.160553217,0.049308479,0.070956103,0.054720385,0.006013229,0.334873945,0.665126055,10,0.156343957,0.339747444
10905,549,8,80,0,283,5,77,13,62,18,3,0.014571949,0.14571949,0,0.515482696,0.009107468,0.140255009,0.023679417,0.112932605,0.032786885,0.005464481,0.321342663,0.678657337,9,0.169398907,0.318761384
10906,408,29,48,1,184,4,35,26,57,21,3,0.071078431,0.117647059,0.00245098,0.450980392,0.009803922,0.085784314,0.06372549,0.139705882,0.051470588,0.007352941,0.256019319,0.743980681,10,0.181372549,0.350490196
10907,306,12,45,1,138,1,19,2,62,26,0,0.039215686,0.147058824,0.003267974,0.450980392,0.003267974,0.062091503,0.006535948,0.202614379,0.08496732,0,0.278738947,0.721261053,9,0.153594771,0.359477124
10908,773,16,98,0,400,4,94,23,84,51,3,0.020698577,0.126778784,0,0.517464424,0.005174644,0.12160414,0.029754204,0.108667529,0.065976714,0.003880983,0.316146999,0.683853001,9,0.156532988,0.331177232
11001,552,17,137,0,233,2,48,22,56,35,2,0.030797101,0.248188406,0,0.422101449,0.003623188,0.086956522,0.039855072,0.101449275,0.063405797,0.003623188,0.264203949,0.735796051,9,0.288043478,0.295289855
11002,467,13,104,0,213,2,58,6,45,25,1,0.027837259,0.222698073,0,0.456102784,0.004282655,0.124197002,0.012847966,0.096359743,0.053533191,0.002141328,0.286162989,0.713837011,9,0.235546039,0.291220557
11003,2757,35,315,4,1378,4,533,111,162,204,11,0.012694958,0.114254625,0.001450852,0.499818643,0.001450852,0.193326079,0.040261153,0.058759521,0.073993471,0.003989844,0.310977735,0.689022265,10,0.154515778,0.367791077
11004,988,31,196,0,489,2,101,26,81,62,0,0.031376518,0.198380567,0,0.494939271,0.002024291,0.102226721,0.026315789,0.081983806,0.062753036,0,0.307110426,0.692889574,8,0.224696356,0.275303644
11005,608,19,162,0,252,2,56,10,64,38,5,0.03125,0.266447368,0,0.414473684,0.003289474,0.092105263,0.016447368,0.105263158,0.0625,0.008223684,0.267578125,0.732421875,9,0.282894737,0.279605263
11006,413,9,57,0,221,2,51,2,45,24,2,0.021791768,0.138014528,0,0.535108959,0.004842615,0.123486683,0.004842615,0.108958838,0.05811138,0.004842615,0.336432763,0.663567237,9,0.142857143,0.300242131
11007,447,25,26,1,250,1,49,8,50,33,4,0.055928412,0.058165548,0.002237136,0.559284116,0.002237136,0.109619687,0.017897092,0.111856823,0.073825503,0.008948546,0.349698963,0.650301037,10,0.07606264,0.315436242
11008,798,29,100,0,437,2,82,18,73,55,2,0.036340852,0.125313283,0,0.547619048,0.002506266,0.102756892,0.022556391,0.091478697,0.068922306,0.002506266,0.341109666,0.658890334,9,0.147869674,0.288220551
11009,2239,41,198,1,1246,7,411,61,125,144,5,0.018311746,0.088432336,4.47E-04,0.556498437,0.003126396,0.183564091,0.027244305,0.055828495,0.064314426,0.00223314,0.359552263,0.640447737,10,0.115676641,0.334077713
11010,392,6,14,0,236,4,75,6,37,14,0,0.015306122,0.035714286,0,0.602040816,0.010204082,0.191326531,0.015306122,0.094387755,0.035714286,0,0.411091733,0.588908267,8,0.051020408,0.346938776
11101,5886,90,600,2,3365,13,1058,134,186,419,19,0.01529052,0.101936799,3.40E-04,0.571695549,0.002208631,0.179748556,0.022765885,0.031600408,0.071185865,0.003227999,0.376369967,0.623630033,10,0.124702684,0.307509344
11102,1961,20,244,0,1154,2,263,44,76,144,14,0.010198878,0.124426313,0,0.588475268,0.001019888,0.134115247,0.022437532,0.038755737,0.073431922,0.007139215,0.387325671,0.612674329,9,0.146863845,0.269760326
11103,2589,37,262,0,1552,3,405,29,101,191,9,0.014291232,0.101197374,0,0.599459251,0.001158749,0.156431054,0.011201236,0.039011201,0.073773658,0.003476246,0.401370537,0.598629463,9,0.11239861,0.281575898
11104,2301,22,238,0,1421,3,304,54,71,183,5,0.00956106,0.10343329,0,0.617557584,0.001303781,0.132116471,0.023468057,0.03085615,0.079530639,0.002172968,0.417456386,0.582543614,9,0.126901347,0.267275098
11105,2214,25,296,0,1264,4,297,60,104,162,2,0.01129178,0.13369467,0,0.570912376,0.001806685,0.134146341,0.027100271,0.046973803,0.073170732,9.03E-04,0.37023695,0.62976305,9,0.160794941,0.283197832
11106,1359,26,164,0,746,3,222,26,67,104,1,0.019131714,0.120676968,0,0.548933039,0.002207506,0.163355408,0.019131714,0.049300957,0.076526858,7.36E-04,0.351599805,0.648400195,9,0.139808683,0.310522443
11107,5891,42,658,2,3287,10,939,248,215,480,10,0.00712952,0.111695807,3.40E-04,0.557969784,0.001697505,0.159395688,0.042098116,0.03649635,0.081480224,0.001697505,0.359013189,0.640986811,10,0.153793923,0.321167883
11108,1842,28,244,1,1103,4,198,44,92,126,2,0.015200869,0.132464712,5.43E-04,0.598805646,0.002171553,0.107491857,0.023887079,0.049945711,0.068403909,0.001085776,0.395651118,0.604348882,10,0.156351792,0.251900109
11109,1017,7,109,0,587,0,145,18,49,101,1,0.006882989,0.107177974,0,0.577187807,0,0.142576205,0.017699115,0.048180924,0.099311701,9.83E-04,0.377506674,0.622493326,8,0.124877089,0.307767945
11110,867,19,110,0,460,3,122,17,67,69,0,0.021914648,0.126874279,0,0.530565167,0.003460208,0.14071511,0.019607843,0.07727797,0.079584775,0,0.330579535,0.669420465,8,0.146482122,0.320645905
