lgcode,n_firms,rev_total,exp_total,wage_bill_total,value_added_total,profit_proxy_total,cap_total,cap_fixed_total,emp_total,log_rev_total,log_exp_total,log_value_added_total,log_profit_proxy_total,log_cap_total,log_emp_total,mean_rev_per_worker,median_rev_per_worker,p90_rev_per_worker,mean_value_added_per_worker,median_value_added_per_worker,mean_profit_per_worker,median_profit_per_worker,mean_capital_per_worker,median_capital_per_worker,mean_revenue_per_capital,median_revenue_per_capital,mean_profit_margin,median_profit_margin,wage_share_of_revenue,value_added_share_of_revenue,capital_intensity_aggregate,share_positive_revenue,share_positive_capital
10101,539,13819735536,209835264,82770456,13609900272,13609900272,582634863,244341588,1210,23.349363518851025,19.161833328457018,23.334063326103145,23.334063326103145,20.183071242786337,7.099201743553092,8738861.6240011,120000,481500.0000000003,8583029.162961692,30000,8583029.162961692,30000,469867.3408098632,130000,6533.570110405229,1.0854545454545454,0.29673680225882426,0.3333333333333333,0.005989293773703949,0.9848162605244228,481516.41570247937,0.9833024118738405,0.9833024118738405
10102,269,834879504,279555156,45501324,555324348,555324348,287206818,112576896,612,20.542797967012884,19.448710172771694,20.135062913620775,20.135062913620775,19.475713137892694,6.418364935936212,2782184.6051454223,120000,673328.7999999996,2162965.991042741,19200,2162965.991042741,19200,430987.7045483941,150000,16.411964752738953,0.9,0.20999542509949928,0.24470870608771547,0.05450046836938519,0.6651550856613195,469292.1862745098,0.9479553903345725,0.9702602230483272
10103,397,664706352,608614356,141762924,56091996,56091996,450481861,261812450,1139,20.314855926661338,20.22669538535593,17.842503704345113,17.842503704345113,19.925828372270946,7.038783541388542,572430.3813446887,180000,1751999.9999999993,122072.57596377307,39980,122072.57596377307,39980,564427.1413470667,125000,4.028843652441419,1.4594594594594594,0.1670140149029598,0.32266666666666666,0.21327150488852256,0.0843861290496589,395506.46268656716,0.9546599496221663,0.9571788413098237
10104,310,733091160,513049908,67513176,220041252,220041252,1883757772,356743725,786,20.412780619102985,20.05588368690185,19.209325600374516,19.209325600374516,21.356534434240196,6.668228248417403,1534787.0250295755,264000,2400000,656870.9180413322,60000,656870.9180413322,60000,2436137.6058659446,133000,11.411527148890277,3,0.1972975879848469,0.3076923076923077,0.09209383455121734,0.3001553749468211,2396638.3867684477,0.964516129032258,0.964516129032258
10105,433,331051608,293047104,66876804,38004504,38004504,340366700,221515154,1364,19.617784839616323,19.495843921977652,17.45321526329543,17.45321526329543,19.64553412672926,7.21890970761906,341341.92959502974,99000,480000,38596.961707578404,17814,38596.961707578404,17814,338779.0425799115,100000,2.461066099780619,1.0954505454545456,0.2461149255223952,0.28320325500898624,0.2020132281006773,0.11479933364347229,249535.70381231673,0.9653579676674365,0.9445727482678984
10106,1603,2389045812,1817360376,249578868,571685436,571685436,2488976383,1191288308,3966,21.59415988174916,21.32065094296298,20.1640994627595,20.1640994627595,21.635137372139003,8.28576542051433,573488.6100713772,240000,1080000,169778.98487519406,72000,169778.98487519406,72000,554075.0689797722,160000,3.300219143888618,1.6,0.35663435188964687,0.3333333333333333,0.1044680126041886,0.23929446355882605,627578.5131114473,0.9451029320024953,0.9494697442295695
10107,398,255906264,234313800,64412496,21592464,21592464,1321298066,254382770,889,19.36032178304995,19.272171804858967,16.88785496920207,16.88785496920207,21.001880474430223,6.7912214627261855,292074.7152542048,102000,521150.10000000015,163360.18228273033,35874,163360.18228273033,35874,929680.9328364282,162760,2.9148864594787067,0.9045671438309475,6.43047093918805e-4,0.39230769230769236,0.25170347530062803,0.0843764574672545,1486274.5399325085,0.9547738693467337,0.9623115577889447
10108,452,369159984,322817400,110704884,46342584,46342584,622378950,388691680,1047,19.726740671728862,19.592597399350787,17.651571858753197,17.651571858753197,20.249059711169174,6.954638864880987,434709.91664016113,180000,763560.5250000005,66895.33420611279,42000,66895.33420611279,42000,543249.7020390633,185000,1.9260385735599357,1.2923076923076924,0.38730145976190256,0.38461538461538464,0.2998832181117442,0.12553523135920389,594440.2578796562,0.8296460176991151,0.8495575221238938
10109,249,446270088,410961708,58231992,35308380,35308380,2579984094,285670242,560,19.91643490741182,19.834010602670215,17.37963091581968,17.37963091581968,21.671049071132252,6.329720905522696,507287.5387215026,112860,480000,130841.0382546324,22080,130841.0382546324,22080,2167564.102011818,210000,1.2880253051770918,0.562594484534539,0.477742809225945,0.3875,0.1304859849804677,0.07911885862267336,4607114.453571429,0.9558232931726908,0.9437751004016064
10201,293,161519148,140741472,61524888,20777676,20777676,162325041,104014101,1434,18.900134263257602,18.762435240555625,16.8493897472035,16.8493897472035,18.905111315098974,7.268920128193722,95544.01774598066,28000,287575.6800000007,18896.560011559366,9000,18896.560011559366,9000,105350.90623010916,36277.056277056276,1.8393176466882868,0.5937974683544304,-0.08655246299069826,0.43342776203966005,0.380913896351162,0.12863908866086887,113197.37866108786,0.9795221843003413,0.9761092150170648
