lgcode,n_firms,emp_total,log_n_firms,log_emp_total,mean_emp_per_firm,median_emp_per_firm,p90_emp_per_firm,share_registered,share_tax_registered,share_keeps_accounts,share_operates_year_round,share_borrowed,share_uses_formal_credit,share_female_led,share_has_foreign_capital,formality_index,n_firms_size_1_worker,n_firms_size_2_9_workers,n_firms_size_10_50_workers,n_firms_size_51plus_workers,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers
10101,539,1210,6.29156913955832,7.099201743553092,2.2448979591836733,2,4,0.6159554730983302,0.12048192771084337,0.8584905660377359,0.9981447124304267,0.12452830188679245,0.03018867924528302,0.33210332103321033,0,0.648268169819334,249,276,14,0,0.4619666048237477,0.5120593692022264,0.025974025974025976,0
10102,269,612,5.598421958998375,6.418364935936212,2.275092936802974,1,4,0.5650557620817844,0.1118421052631579,0.6896551724137931,0.9851301115241635,0.14942528735632185,0.04597701149425287,0.3181818181818182,0,0.5879207878207248,175,88,5,1,0.6505576208178439,0.3271375464684015,0.01858736059479554,0.0037174721189591076
10103,397,1139,5.986452005284438,7.038783541388542,2.8690176322418135,2,7,0.5516372795969773,0.2146118721461187,0.5157894736842106,0.9949622166246851,0.3736842105263158,0.09473684210526316,0.3359683794466403,0.002631578947368421,0.569250210512998,156,227,14,0,0.3929471032745592,0.5717884130982368,0.03526448362720403,0
10104,310,786,5.739792912179234,6.668228248417403,2.535483870967742,2,5,0.535483870967742,0.22289156626506024,0.6254180602006689,1,0.03678929765886288,0.006688963210702341,0.36199095022624433,0,0.5959483743583678,153,148,9,0,0.4935483870967742,0.4774193548387097,0.02903225806451613,0
10105,433,1364,6.073044534100405,7.21890970761906,3.1501154734411085,2,8,0.5796766743648961,0.11952191235059761,0.6095238095238096,0.9907621247113164,0.14285714285714285,0.05,0.33440514469453375,0.002380952380952381,0.5748711302376549,211,198,23,1,0.48729792147806006,0.45727482678983833,0.053117782909930716,0.0023094688221709007
10106,1603,3966,7.38025578842646,8.28576542051433,2.474111041796631,1,4,0.6412975670617592,0.5038910505836576,0.4697462589459987,0.9962570180910792,0.22280130293159608,0.19218241042345277,0.41634835752482813,0,0.6527979736706236,863,692,45,3,0.5383655645664379,0.43169058016219586,0.028072364316905803,0.0018714909544603868
10107,398,889,5.988961416889864,6.7912214627261855,2.2336683417085426,2,4,0.6708542713567839,0.12359550561797752,0.5091383812010444,1,0.0026109660574412533,0,0.24535315985130113,0,0.5758970395439514,190,198,10,0,0.47738693467336685,0.49748743718592964,0.02512562814070352,0
10108,452,1047,6.115892125483034,6.954638864880987,2.316371681415929,1,4.900000000000034,0.5199115044247787,0.2680851063829787,0.3234624145785877,1,0.17539863325740318,0.05011389521640091,0.3092369477911647,0.002277904328018223,0.5278647563465863,238,200,14,0,0.5265486725663717,0.4424778761061947,0.030973451327433628,0
10109,249,560,5.521460917862246,6.329720905522696,2.248995983935743,1,5,0.7028112449799196,0.24571428571428572,0.6276150627615062,0.9959839357429718,0.100418410041841,0.008368200836820083,0.41916167664670656,0,0.6430311322996709,166,75,8,0,0.6666666666666666,0.30120481927710846,0.0321285140562249,0
10201,293,1434,5.683579767338681,7.268920128193722,4.8941979522184305,3,10.800000000000011,0.29692832764505117,0.21839080459770116,0.926829268292683,1,0.20209059233449478,0.024390243902439025,0.2641509433962264,0,0.6105371001338589,15,246,31,1,0.051194539249146756,0.8395904436860068,0.10580204778156997,0.0034129692832764505
10202,437,1148,6.082218910376446,7.046647277848756,2.6270022883295194,2,5,0.41418764302059496,0.24861878453038674,0.9152941176470588,0.9908466819221968,0.2964705882352941,0.13176470588235295,0.5412186379928315,0,0.6422368067800593,107,320,10,0,0.2448512585812357,0.7322654462242563,0.02288329519450801,0
10203,402,2104,5.998936561946683,7.652070746116482,5.233830845771144,3,11,0.4900497512437811,0.15228426395939088,0.9187817258883249,0.972636815920398,0.2131979695431472,0.07614213197969544,0.3991228070175439,0.0025380710659898475,0.6334381392529737,104,225,73,0,0.25870646766169153,0.5597014925373134,0.18159203980099503,0
10204,199,479,5.298317366548036,6.173786103901937,2.407035175879397,2,4,0.5025125628140703,0.33,0.6479591836734694,0.9798994974874372,0.3163265306122449,0.16326530612244897,0.3253968253968254,0,0.6150928109937442,47,147,5,0,0.23618090452261306,0.7386934673366834,0.02512562814070352,0
10205,220,547,5.3981627015177525,6.306275286948016,2.4863636363636363,2,4,0.39545454545454545,0.3563218390804598,0.6820276497695853,1,0.10138248847926268,0.07373271889400922,0.4764705882352941,0,0.6084510085761476,53,162,5,0,0.2409090909090909,0.7363636363636363,0.022727272727272728,0
10206,1913,6597,7.5569505720129,8.794521851788527,3.4485101934134867,2,6,0.6089911134343963,0.6876075731497419,0.2608459869848156,0.997907949790795,0.32809110629067245,0.2781995661605206,0.4815035799522673,0.0010845986984815619,0.6388381558399372,518,1287,102,6,0.2707788813382122,0.67276529012023,0.05331939362258233,0.0031364349189754314
10207,591,1331,6.3835066348840055,7.194436851100335,2.252115059221658,2,3,0.5067796610169492,0.46153846153846156,0.546594982078853,0.9983079526226735,0.3602150537634409,0.1935483870967742,0.5845070422535211,0,0.6283052643142343,238,332,21,0,0.4027072758037225,0.5617597292724196,0.03553299492385787,0
10208,1035,2434,6.943122422819428,7.79770203551669,2.351690821256039,2,4,0.5777777777777777,0.49498327759197325,0.3968253968253968,0.9990338164251208,0.2881188118811881,0.2316831683168317,0.40703517587939697,0,0.6171550671550672,448,559,28,0,0.43285024154589374,0.5400966183574879,0.02705314009661836,0
