nsic_2digt,section,description,sector_short,tradability,ag_orientation,manuf_tier,modernity
01,A,"Crop and animal production, hunting and related service activities",agro,tradable_goods,crop_livestock_primary,not_manuf,traditional_agriculture
02,A,Forestry and logging,agro,tradable_goods,forestry_primary,not_manuf,traditional_agriculture
03,A,Fishing and aquaculture,agro,tradable_goods,fishery_primary,not_manuf,other
05,B,Mining of coal and lignite,mining,tradable_goods,not_ag,not_manuf,other
06,B,Extraction of crude petroleum and natural gas,mining,tradable_goods,not_ag,not_manuf,other
07,B,Mining of metal ores,mining,tradable_goods,not_ag,not_manuf,other
08,B,Other mining and quarrying,mining,tradable_goods,not_ag,not_manuf,other
09,B,Mining support service activities,mining,tradable_goods,not_ag,not_manuf,other
10,C,Manufacture of food products,manuf,tradable_goods,agro_processing,low_tech,industrial_sector
11,C,Manufacture of beverages,manuf,tradable_goods,agro_processing,low_tech,industrial_sector
12,C,Manufacture of tobacco products,manuf,tradable_goods,agro_processing,low_tech,industrial_sector
13,C,Manufacture of textiles,manuf,tradable_goods,agro_downstream_manuf,low_tech,industrial_sector
14,C,Manufacture of wearing apparel,manuf,tradable_goods,agro_downstream_manuf,low_tech,industrial_sector
15,C,Manufacture of leather and related products,manuf,tradable_goods,agro_downstream_manuf,low_tech,industrial_sector
16,C,Manufacture of wood and of products of wood and cork,manuf,tradable_goods,agro_downstream_manuf,low_tech,industrial_sector
17,C,Manufacture of paper and paper products,manuf,tradable_goods,not_ag,low_tech,industrial_sector
18,C,Printing and reproduction of recorded media,manuf,tradable_goods,not_ag,low_tech,industrial_sector
19,C,Manufacture of coke and refined petroleum products,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
20,C,Manufacture of chemicals and chemical products,manuf,tradable_goods,not_ag,medium_high_tech,industrial_sector
21,C,Manufacture of pharmaceuticals,manuf,tradable_goods,not_ag,high_tech,modern_manuf
22,C,Manufacture of rubber and plastics products,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
23,C,Manufacture of other non-metallic mineral products,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
24,C,Manufacture of basic metals,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
25,C,Manufacture of fabricated metal products,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
26,C,"Manufacture of computer, electronic and optical products",manuf,tradable_goods,not_ag,high_tech,modern_manuf
27,C,Manufacture of electrical equipment,manuf,tradable_goods,not_ag,medium_high_tech,modern_manuf
