hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,hh_any_worker,hh_n_workers,hh_n_working_age,hh_lfp_rate,hh_female_lfp_rate,hh_child_workers,n_jobs_total,n_jobs_wage_agri,n_jobs_wage_nonagri,n_jobs_self_agri,n_jobs_self_nonagri,hh_has_wage_nonagri,hh_total_days_worked_12m,hh_total_hours_12m,hh_work_intensity_per_worker,hh_has_wage_job,wage_daily_income_12m_rs,wage_longterm_income_12m_rs,wage_contract_income_12m_rs,wage_total_income_12m_rs,wage_sector_agri,wage_sector_fish_mine,wage_sector_manufacturing,wage_sector_utilities,wage_sector_construction,wage_sector_trade,wage_sector_hotels,wage_sector_transport,wage_sector_finance,wage_sector_public,wage_sector_community,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any,wage_sector_tradable_any,wage_sector_nontradable_any,hh_foreign_worker_any,hh_returned_foreign_any
1,2016,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,1,2,0.5,0,0,1,1,0,0,0,0,80,640,80,1,30400,0,0,30400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1,2017,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,2,2,1,1,0,2,0,1,1,0,1,382,1236,191,1,0,0,85000,85000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
1,2018,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,1,1,1,,0,1,0,1,0,0,1,121,968,121,1,48400,0,0,48400,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,2016,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,1,4,0.25,0,0,2,0,1,1,0,1,156,1152,156,1,52800,0,0,52800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
2,2017,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,2,5,0.4,0.25,0,2,0,0,2,0,0,148,1184,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,3,5,0.6,0.5,0,4,0,0,3,0,0,612,2352,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,2,2,1,1,0,2,0,0,2,0,0,250,2000,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2017,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,2,3,0.6666666666666666,1,0,3,0,1,2,0,1,184,968,92,1,0,75992,0,75992,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3,2018,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,2,3,0.6666666666666666,1,0,3,0,1,2,0,1,682,5456,341,1,0,120000,0,120000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
4,2016,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,5,5,1,1,0,6,0,2,4,0,1,922,5618,184.4,1,0,240000,0,240000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,
4,2017,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,5,5,1,1,0,7,0,3,4,0,1,1069,6812,213.8,1,78400,228784,0,307184,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
4,2018,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,4,5,0.8,0.5,0,4,0,2,2,0,1,1359,5935,339.75,1,0,456784,0,456784,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0
5,2016,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,1,0,,,0,1,1,0,0,0,0,137,1096,137,1,68500,0,0,68500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
5,2017,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,2,1,2,1,0,3,0,1,2,0,1,268,2144,134,1,88800,0,0,88800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5,2018,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,2,0,,,0,2,0,0,2,0,0,445,2670,222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,1,1,2,0.5,0,0,2,0,1,1,0,1,162,1116,162,1,51000,0,0,51000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
6,2017,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,1,2,2,1,1,0,2,0,0,2,0,0,137,1096,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,1,2,2,1,1,0,3,2,0,1,0,0,761,3198,380.5,1,125700,0,0,125700,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2016,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,1,6,0.16666666666666666,0,0,1,0,0,1,0,0,146,1022,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2017,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,3,4,0.75,0.3333333333333333,0,3,0,0,2,1,0,462,4648,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,4,4,1,0.6666666666666666,0,5,0,0,4,1,0,807,3936,201.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,4,9,0.4444444444444444,0,0,4,0,0,4,0,0,197,1220,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2017,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,5,7,0.7142857142857143,0.5,0,5,1,1,3,0,1,323,1936,64.6,1,80700,0,0,80700,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
8,2018,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,7,7,1,1,0,8,4,0,4,0,0,701,5608,100.14285714285714,1,86000,0,0,86000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2016,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,4,5,0.8,1,0,4,0,3,1,0,1,1208,7874,302,1,460400,0,0,460400,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
9,2017,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,3,5,0.6,1,0,3,0,2,1,0,1,804,6432,268,1,98500,240000,0,338500,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
9,2018,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,4,5,0.8,1,0,4,0,3,1,0,1,1089,9220,272.25,1,0,564000,150000,714000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
10,2016,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,2,5,0.4,0.3333333333333333,0,3,0,0,2,0,0,768,3996,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,2017,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,5,5,1,1,0,5,0,1,4,0,1,886,6928,177.2,1,91500,0,0,91500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
10,2018,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,3,4,0.75,0.6666666666666666,0,5,2,0,3,0,0,1460,8427,486.6666666666667,1,170400,0,0,170400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2016,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,2,2,1,1,0,3,0,0,2,1,0,177,1242,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,2017,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,2,2,1,1,0,3,0,0,2,1,0,249,1728,124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,2,2,1,1,0,3,0,1,2,0,1,713,4261,356.5,1,51000,0,0,51000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
12,2016,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,2,2,1,1,0,2,0,1,1,0,1,118,848,59,1,16000,0,0,16000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,,
12,2017,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,2,2,1,0,1,2,0,2,0,0,1,130,1040,65,1,88600,0,0,88600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
12,2018,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,2,3,0.6666666666666666,1,0,2,0,1,1,0,1,477,2967,238.5,1,0,0,200000,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
13,2016,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,2,2,1,1,0,2,0,0,1,1,0,427,3358,213.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,2017,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,2,2,1,1,0,3,0,0,2,1,0,553,1565,276.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,2,2,1,1,0,2,0,0,1,1,0,552,3790,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,1,2,3,0.6666666666666666,1,0,4,1,1,2,0,1,319,2143,159.5,1,35000,0,0,35000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
