hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
1,2016,1,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2018,1,1,260000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2016,1,1,40000,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2016,1,1,50000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
5,2016,1,2,45000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
6,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,2016,1,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2016,1,3,40000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
9,2016,1,1,11000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2016,1,1,15000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,2016,1,1,150000,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
11,2017,1,1,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,2018,1,1,4600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2016,1,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13,2016,1,1,27000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2017,1,1,30000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
14,2016,1,2,450000,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15,2016,1,2,47500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2018,1,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,2016,1,1,150000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,2016,1,2,31000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
19,2016,1,1,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,2018,1,1,110000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,2016,1,1,50000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,2017,1,1,28500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,2016,1,2,75000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
25,2016,1,1,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,2018,1,1,15000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,2016,1,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2016,1,5,25100,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0
