hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,agri_hh,owned_plots_n,owned_area_sqm,cultivated_area_sqm,rented_in_area_sqm,rented_in_any,plot_wet_farmed_share,plot_wet_rented_share,plot_wet_shared_share,plot_wet_fallow_share,plot_dry_farmed_share,plot_dry_rented_share,plot_dry_shared_share,plot_dry_fallow_share,double_crop_share,wet_use_seed,wet_use_fertiliser,wet_use_pesticide,wet_use_equipment,wet_use_hired_labour,dry_use_seed,dry_use_fertiliser,dry_use_pesticide,dry_use_equipment,dry_use_hired_labour,input_total_12m_rs,input_intensity_per_sqm,n_crop_types,grows_staple,grows_cashcrop,grows_horticulture,wet_grows_staple,dry_grows_staple,crop_sold_any,crop_sales_12m_rs,crop_sale_share,owns_tractor,owns_pump,owns_modern_equip,n_modern_equip_types,ag_equip_stock_value_rs,livestock_has
1,2016,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
1,2017,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1
1,2018,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,5000,0
2,2016,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,2,3386.31591796875,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,15050,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,2017,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,2,3386.31591796875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,6600,,4,1,0,0,1,1,1,24000,0.4,0,0,0,0,0,1
2,2018,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,1,2,3386.31591796875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,13400,,2,1,0,0,1,1,1,55000,0.4166666666666667,0,0,0,0,0,1
3,2016,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,1,1065.1680908203125,3052.422119140625,3052.422119140625,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,3900,1.2776738759506832,3,1,0,0,1,1,0,0,0,0,0,0,0,400,1
3,2017,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,1,1065.1680908203125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3200,,3,1,0,0,1,1,0,0,0,0,0,0,0,2500,1
3,2018,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,1,1,1065.1680908203125,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1050,,2,1,0,0,1,0,0,0,0,0,0,0,0,5,1
4,2016,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,2,15069.105712890625,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,22160,,7,1,0,1,1,1,1,93350,0.599512987012987,0,0,0,0,3200,1
4,2017,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,2,15069.105712890625,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,1,1,1,1,0,0,0,23000,,3,1,0,1,1,0,0,0,0,0,1,1,2,37000,1
4,2018,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,1,2,15069.105712890625,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,1,0,1,1,1,0,0,1,1,17000,,2,1,0,0,1,1,1,102000,0.6167608286252354,0,0,0,0,17800,1
5,2016,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
5,2017,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,0,0,0,0,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,900,,2,1,0,0,1,0,0,0,0,0,0,0,0,500,1
5,2018,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,0,0,0,0,0,,,,,,,,,,0,1,0,0,1,1,1,1,0,1,11800,,3,1,0,1,1,1,1,8000,0.09523809523809523,0,0,0,0,2500,1
6,2016,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,1,1,101.589599609375,5079.473876953125,5079.473876953125,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,26900,5.295824065963248,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1
6,2017,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,1,1,101.589599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5200,,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1
