hhid,year,n_enrolled,n_school_age,any_enrolled,n_private_school,n_scholarship,scholarship_amt_12m,edu_spend_tuition_12m,edu_spend_books_12m,edu_spend_uniforms_12m,edu_spend_transport_12m,edu_spend_food_lodging_12m,edu_spend_other_12m,edu_spend_total_12m,edu_spend_per_enrolled
1,2016,1,1,1,0,0,0,550,900,1000,0,0,0,2450,2450
1,2017,1,1,1,0,0,0,1800,1000,500,0,2000,0,5300,5300
1,2018,1,1,1,0,0,0,1600,1200,1000,0,0,0,3800,3800
2,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3,2016,1,1,1,0,0,0,500,0,1000,0,0,0,1500,1500
3,2017,1,1,1,0,0,0,4200,1500,750,0,0,0,6450,6450
3,2018,1,1,1,0,0,0,3600,1600,2000,0,1800,0,9000,9000
4,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5,2016,2,2,1,0,2,800,1250,2800,1600,0,3100,0,8750,4375
5,2017,2,2,1,0,1,400,600,3400,3950,0,4100,1000,13050,6525
5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
6,2016,2,2,1,0,0,0,200,800,200,0,0,0,1200,600
6,2017,3,3,1,0,0,0,300,2000,2000,0,0,0,4300,1433.3333333333333
6,2018,3,3,1,0,0,0,130,2900,5500,0,11200,10800,30530,10176.666666666666
7,2016,2,2,1,2,0,0,10036,3000,6500,0,500,0,20036,10018
7,2017,1,1,1,1,0,0,9000,1400,2500,3600,3000,0,19500,19500
7,2018,2,2,1,2,0,0,38400,4500,13000,3900,3000,0,62800,31400
8,2016,1,1,1,0,0,0,50,1400,1000,0,0,0,2450,2450
8,2017,2,2,1,0,1,450,600,0,1700,0,1000,0,3300,1650
8,2018,2,2,1,0,0,0,200,1850,1100,0,7000,0,10150,5075
9,2016,1,1,1,1,0,0,19000,2500,3000,0,0,2500,27000,27000
9,2017,1,1,1,1,0,0,35000,2100,800,0,7000,2500,47400,47400
9,2018,1,1,1,1,0,0,96000,5000,7000,0,4500,0,112500,112500
10,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10,2017,1,1,1,1,0,0,3600,1500,2500,0,0,0,7600,7600
10,2018,1,1,1,1,0,0,7800,2800,4600,0,300,0,15500,15500
11,2016,3,3,1,0,3,1200,0,0,0,0,0,0,0,0
11,2017,3,3,1,0,3,1500,0,0,0,0,0,0,0,0
11,2018,3,3,1,0,2,1000,1000,2500,1000,0,1000,0,5500,1833.3333333333333
12,2016,2,2,1,1,0,0,18700,1700,9600,0,6680,0,36680,18340
12,2017,1,1,1,1,0,0,14000,2500,3200,0,7000,0,26700,26700
12,2018,1,1,1,1,0,0,5000,1500,2500,0,0,0,9000,9000
13,2016,2,2,1,1,0,0,8510,2200,3700,0,2000,0,16410,8205
13,2017,2,2,1,1,1,450,750,1600,500,0,1500,0,4350,2175
13,2018,2,2,1,0,1,400,4200,2700,3000,0,480,0,10380,5190
14,2016,1,1,1,0,0,0,8400,1500,3000,0,6000,0,18900,18900
14,2017,1,1,1,0,0,0,10000,3000,3000,10000,0,0,26000,26000
14,2018,2,2,1,1,1,180000,195000,4000,15000,0,2400,0,216400,108200
15,2016,1,1,1,0,0,0,2000,950,850,0,0,0,3800,3800
15,2017,1,1,1,0,0,0,800,2400,3000,0,0,900,7100,7100
15,2018,1,1,1,0,0,0,2500,1500,3000,0,0,0,7000,7000
16,2016,1,1,1,0,0,0,5000,2000,500,0,500,0,8000,8000
16,2017,1,1,1,0,0,0,0,0,1000,0,0,0,1000,1000
16,2018,2,2,1,2,0,0,8400,3000,3000,7200,3000,0,24600,12300
17,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
18,2016,3,3,1,0,2,5000,2690,1900,3200,0,0,1000,8790,2930
18,2017,3,3,1,0,0,0,3200,7000,7300,0,0,0,17500,5833.333333333333
18,2018,3,3,1,0,0,0,3500,5700,6100,0,4900,1500,21700,7233.333333333333
19,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
19,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
19,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
21,2016,2,2,1,2,0,0,11550,1000,1100,0,3500,0,17150,8575
21,2017,2,2,1,2,0,0,20600,2000,5000,0,3000,0,30600,15300
21,2018,2,2,1,2,0,0,26400,4500,5400,0,6000,0,42300,21150
22,2016,1,1,1,1,0,0,8000,2500,5000,0,500,0,16000,16000
22,2017,1,1,1,1,0,0,2500,2000,1000,0,0,0,5500,5500
22,2018,1,1,1,0,0,0,150,0,1500,0,300,0,1950,1950
23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
23,2017,1,1,1,1,0,0,2500,700,400,0,400,0,4000,4000
23,2018,1,1,1,1,0,0,8000,1500,1800,0,0,0,11300,11300
24,2016,3,3,1,0,0,0,0,400,1000,0,0,0,1400,466.6666666666667
24,2017,3,3,1,0,3,1200,1020,3000,6200,0,0,0,10220,3406.6666666666665
24,2018,3,3,1,0,3,1200,400,3900,5000,0,0,0,9300,3100
25,2016,2,2,1,0,2,1750,2000,3500,5000,0,7600,2000,20100,10050
25,2017,1,1,1,0,1,1000,1720,2500,3500,0,4000,3500,15220,15220
25,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
26,2016,2,2,1,1,0,0,25200,3200,8000,0,8500,17000,61900,30950
26,2017,2,2,1,2,0,0,53000,7000,17000,0,0,0,77000,38500
26,2018,2,2,1,2,0,0,57600,6000,7500,0,18000,2400,91500,45750
27,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
27,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
27,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,2017,1,1,1,1,0,0,3200,1500,600,0,0,0,5300,5300
28,2018,1,1,1,1,0,0,8000,2000,2000,0,0,0,12000,12000
29,2016,1,1,1,1,0,0,13500,2000,3500,0,5000,0,24000,24000
29,2017,1,1,1,1,0,0,8500,1700,2500,0,5000,0,17700,17700
29,2018,1,1,1,1,0,0,12000,1900,4500,0,0,0,18400,18400
30,2016,2,2,1,0,1,400,1150,3100,1100,0,0,0,5350,2675
30,2017,1,1,1,0,1,400,1200,1000,1500,0,1000,0,4700,4700
30,2018,1,1,1,0,1,400,2000,1750,1500,0,0,0,5250,5250
31,2016,1,1,1,0,1,400,250,850,1200,0,2000,0,4300,4300
31,2017,1,1,1,0,1,350,0,800,600,0,200,0,1600,1600
31,2018,2,2,1,0,1,200,1000,1600,1600,0,800,0,5000,2500
32,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
32,2017,2,2,1,0,0,0,0,1700,800,0,0,0,2500,1250
32,2018,2,2,1,0,2,0,0,0,4500,0,300,0,4800,2400
33,2017,1,1,1,1,0,0,17000,2500,2500,0,3000,0,25000,25000
34,2016,2,2,1,2,0,0,13000,1000,2700,0,0,0,16700,8350
34,2017,2,2,1,2,0,0,11900,3800,8100,0,0,0,23800,11900
34,2018,2,2,1,2,0,0,21600,6000,11000,7200,650,0,46450,23225
35,2016,1,1,1,0,0,0,0,1000,1000,0,0,0,2000,2000
35,2017,1,1,1,1,0,0,800,730,675,0,500,0,2705,2705
35,2018,1,1,1,1,0,0,9500,1050,2500,0,150,0,13200,13200
36,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
36,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
36,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
37,2016,3,3,1,0,0,0,3100,2600,8000,0,12000,0,25700,8566.666666666666
37,2017,3,3,1,0,2,800,1325,1725,3050,0,0,0,6100,2033.3333333333333
37,2018,3,3,1,0,2,800,4100,2200,1900,0,1300,7200,16700,5566.666666666667
38,2016,4,4,1,0,3,1000,0,3100,2050,0,0,0,5150,1287.5
38,2017,4,4,1,0,0,0,2200,3400,3100,0,0,0,8700,2175
38,2018,4,4,1,0,3,900,350,3800,2200,0,700,0,7050,1762.5
39,2016,1,1,1,1,0,0,9200,3000,2850,0,850,0,15900,15900
39,2017,1,1,1,1,0,0,24000,3500,4000,0,8000,2400,41900,41900
39,2018,1,1,1,1,0,0,15000,2500,3500,0,800,0,21800,21800
40,2017,1,1,1,0,0,0,200,800,500,0,500,0,2000,2000
41,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
42,2016,3,3,1,0,0,0,420,0,6500,0,0,0,6920,2306.6666666666665
42,2017,3,3,1,0,0,0,1300,2700,4500,0,3000,0,11500,3833.3333333333335
42,2018,3,3,1,0,0,0,1350,4600,5000,0,0,17000,27950,9316.666666666666
43,2016,4,4,1,2,1,300,3000,1400,1000,0,0,0,5400,1350
43,2017,2,2,1,0,2,600,0,1900,1300,0,0,0,3200,1600
43,2018,2,2,1,0,1,400,275,2450,3130,0,0,0,5855,2927.5
44,2016,3,3,1,0,0,0,2050,8500,1400,0,0,0,11950,3983.3333333333335
44,2017,2,2,1,0,2,400,1150,6000,6500,0,12000,5000,30650,15325
44,2018,2,2,1,0,0,0,3850,3500,5500,0,0,12600,25450,12725
45,2016,2,2,1,0,0,0,900,3500,2500,0,3500,7000,17400,8700
45,2017,2,2,1,0,0,0,1100,1925,1850,0,1500,0,6375,3187.5
45,2018,2,2,1,0,0,0,2400,3450,4100,0,0,0,9950,4975
46,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
46,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
46,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
47,2016,2,2,1,2,0,0,5000,3000,2400,0,0,0,10400,5200
47,2017,2,2,1,2,0,0,20000,4500,3000,0,0,2000,29500,14750
47,2018,2,2,1,2,0,0,27000,3800,7000,0,3000,0,40800,20400
48,2016,2,2,1,1,1,400,7800,3000,4700,0,3600,0,19100,9550
48,2017,2,2,1,1,0,0,13000,3000,5500,0,2500,0,24000,12000
48,2018,1,1,1,0,0,0,0,800,1000,0,500,0,2300,2300
49,2016,2,2,1,1,0,0,55000,10500,12000,0,0,0,77500,38750
49,2017,1,1,1,0,0,0,30000,2000,6000,0,6000,0,44000,44000
49,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,2017,1,1,1,0,0,0,0,0,0,0,0,0,0,0
50,2018,1,1,1,1,0,0,1500,1080,3500,0,200,0,6280,6280
51,2016,2,2,1,2,0,0,21000,2000,4200,0,0,0,27200,13600
51,2017,2,2,1,1,0,0,12500,4500,4200,0,0,0,21200,10600
51,2018,2,2,1,1,0,0,12100,3200,7500,0,8000,0,30800,15400
52,2016,3,3,1,0,0,0,2200,5700,10100,0,13500,1400,32900,10966.666666666666
52,2017,3,3,1,0,0,0,5400,3000,3200,0,0,0,11600,3866.6666666666665
52,2018,2,2,1,0,0,0,900,1500,1300,0,0,0,3700,1850
53,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
53,2017,1,1,1,0,1,200,200,500,800,0,0,0,1500,1500
53,2018,1,1,1,0,0,0,100,600,500,0,0,0,1200,1200
54,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
54,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
54,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
55,2016,1,1,1,1,0,0,15000,2500,7500,0,650,0,25650,25650
55,2017,1,1,1,1,0,0,20000,5000,6000,0,8000,0,39000,39000
55,2018,1,1,1,0,1,400,200,2000,1500,0,0,0,3700,3700
56,2016,2,2,1,0,1,400,600,0,5000,0,0,0,5600,2800
56,2017,3,3,1,0,0,0,400,500,2550,0,0,3200,6650,2216.6666666666665
56,2018,2,2,1,0,2,700,2420,2400,2705,0,645,0,8170,4085
57,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
57,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
57,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
58,2016,2,2,1,0,0,0,0,1100,1214,0,0,0,2314,1157
58,2017,2,2,1,0,1,400,220,3100,3200,0,0,4800,11320,5660
58,2018,3,3,1,0,2,800,750,4800,11300,0,3100,6400,26350,8783.333333333334
59,2016,1,1,1,1,0,0,15000,0,2000,0,0,0,17000,17000
59,2017,1,1,1,1,0,0,18000,900,2600,0,0,0,21500,21500
59,2018,1,1,1,1,0,0,22800,1750,3500,0,1500,7000,36550,36550
60,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
60,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
60,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
61,2016,1,1,1,0,1,300,2500,5000,5500,0,1500,500,15000,15000
61,2017,1,1,1,0,0,0,180,1200,3500,0,1500,0,6380,6380
61,2018,1,1,1,0,0,0,750,1500,1800,0,800,3000,7850,7850
62,2016,3,3,1,0,2,1150,600,1700,2900,0,0,0,5200,1733.3333333333333
62,2017,3,3,1,0,1,300,700,1500,4500,0,0,0,6700,2233.3333333333335
62,2018,3,3,1,0,2,800,1150,900,2550,0,0,1500,6100,2033.3333333333333
63,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
63,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
63,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
64,2016,2,2,1,0,0,0,11000,8000,11000,0,1400,3000,34400,17200
64,2017,2,2,1,0,0,0,30000,5000,12000,0,7000,5000,59000,29500
64,2018,2,2,1,0,0,0,9000,3250,12500,0,0,0,24750,12375
65,2016,3,3,1,0,1,400,600,2400,2200,0,1200,0,6400,2133.3333333333335
65,2017,2,2,1,0,1,500,600,2400,4000,0,7500,0,14500,7250
65,2018,2,2,1,0,1,400,750,1000,1300,0,0,0,3050,1525
66,2016,3,3,1,0,2,900,600,2250,450,0,0,0,3300,1100
66,2017,3,3,1,0,2,600,2350,3400,4200,0,0,0,9950,3316.6666666666665
66,2018,3,3,1,0,2,800,2835,3000,1800,0,400,0,8035,2678.3333333333335
67,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
67,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
67,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
68,2016,1,1,1,1,0,0,18000,700,4000,0,1000,0,23700,23700
68,2017,1,1,1,1,0,0,9600,2500,2500,0,3500,0,18100,18100
68,2018,1,1,1,1,0,0,5000,1200,3000,0,5000,0,14200,14200
69,2016,2,2,1,2,0,0,15000,2700,11000,0,0,0,28700,14350
69,2017,2,2,1,2,0,0,8600,1800,1700,0,2200,0,14300,7150
69,2018,2,2,1,0,0,0,1100,2500,5000,0,6000,2500,17100,8550
70,2016,1,1,1,0,0,0,0,1200,1500,0,0,0,2700,2700
70,2017,1,1,1,0,0,0,0,1500,1500,0,0,0,3000,3000
70,2018,1,1,1,0,0,0,1200,2700,800,0,2000,0,6700,6700
71,2016,1,1,1,0,0,0,500,300,5000,0,500,0,6300,6300
71,2017,1,1,1,0,1,1700,150,1500,1500,0,0,0,3150,3150
71,2018,1,1,1,0,0,0,0,1500,1200,0,0,800,3500,3500
72,2016,2,2,1,0,2,1900,0,0,0,0,0,0,0,0
72,2017,2,2,1,0,2,1900,2260,4000,3600,0,0,0,9860,4930
72,2018,2,2,1,0,0,0,2700,3000,5500,0,2400,0,13600,6800
73,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
73,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
73,2018,2,2,1,0,1,400,160,1000,2500,0,1000,0,4660,2330
74,2016,1,1,1,1,0,0,12000,4800,10000,0,9000,7000,42800,42800
74,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
74,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
76,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
76,2017,1,1,1,0,0,0,0,0,0,0,0,0,0,0
76,2018,1,1,1,0,1,500,0,0,200,0,0,0,200,200
77,2016,3,3,1,0,1,0,650,2700,3500,0,800,0,7650,2550
77,2017,3,3,1,0,1,400,0,8500,3500,0,2300,0,14300,4766.666666666667
77,2018,4,4,1,0,0,0,6450,7500,11400,0,350,3000,28700,7175
78,2016,1,1,1,1,0,0,2400,1000,2000,0,0,0,5400,5400
78,2017,1,1,1,0,0,0,250,0,500,0,0,0,750,750
78,2018,1,1,1,1,0,0,10000,1000,1500,0,1200,0,13700,13700
79,2016,1,1,1,0,0,0,1200,1200,4000,0,6000,0,12400,12400
79,2017,1,1,1,0,0,0,1160,1200,4000,0,6000,2500,14860,14860
79,2018,1,1,1,0,1,400,1500,800,700,0,300,800,4100,4100
80,2016,1,1,1,0,0,0,200,850,1000,0,400,0,2450,2450
80,2017,1,1,1,0,1,400,300,2400,1500,0,2000,0,6200,6200
80,2018,1,1,1,0,1,300,2000,2500,2500,0,4000,0,11000,11000
81,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
81,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
81,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
82,2016,2,2,1,0,0,0,160,2700,1200,0,0,0,4060,2030
82,2017,3,3,1,0,0,0,1200,5500,3500,0,0,0,10200,3400
82,2018,3,3,1,0,0,0,2900,6000,5500,0,0,3000,17400,5800
83,2016,1,1,1,1,0,0,8000,1500,4000,0,0,0,13500,13500
83,2017,1,1,1,1,0,0,13500,800,2000,0,5000,0,21300,21300
83,2018,1,1,1,0,0,0,1100,1200,1500,0,500,0,4300,4300
84,2016,2,2,1,0,0,0,0,2700,3100,0,0,0,5800,2900
84,2017,1,1,1,0,0,0,2000,1500,800,0,500,2000,6800,6800
84,2018,1,1,1,0,0,0,750,2500,3500,0,1500,0,8250,8250
85,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
85,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
85,2018,1,1,1,1,0,0,6000,800,1500,0,0,0,8300,8300
86,2016,2,2,1,0,0,0,250,2300,1500,0,900,0,4950,2475
86,2017,2,2,1,0,0,0,120,1300,3200,0,5500,0,10120,5060
86,2018,2,2,1,0,0,0,450,1000,900,0,0,0,2350,1175
87,2016,1,1,1,0,0,0,0,0,0,0,0,0,0,0
87,2017,1,1,1,1,0,0,1500,2000,1200,0,0,600,5300,5300
87,2018,1,1,1,1,0,0,4000,850,1800,0,500,0,7150,7150
88,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
