hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,has_nonag_enterprise,n_nonag_enterprises,n_enterprises_valid_sector,n_full_owned,n_partial_owned,enterprise_workers_total,enterprise_workers_mean,enterprise_revenue_12m,enterprise_expenses_12m,enterprise_profit_12m,enterprise_capex_12m,enterprise_asset_sales_12m,enterprise_rev_per_firm,enterprise_profit_per_firm,enterprise_rev_per_worker,enterprise_profit_margin,ind_agri_forestry_fish,ind_mining_quarrying,ind_manufacturing,ind_electricity_gas_water,ind_water_waste,ind_construction,ind_wholesale_retail,ind_accommodation_food,ind_transport_storage,ind_information_comm,ind_financial_insurance,ind_real_estate,ind_professional_technical,ind_public_admin_defence,ind_education,ind_health_social,ind_others,sector_agriculture_share,sector_manufacturing_construction_share,sector_services_share
1,2016,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
