hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,n_jobs_total,share_wage_agri,share_wage_nonagri,share_self_agri,share_self_nonagri,hh_has_wage_job,n_wage_jobs_hh,wage_total_income_12m_rs,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any
1,2016,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,1,0,0,0,1,1,30400,1,0,0
1,2017,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,2,0,0.5,0.5,0,1,1,85000,0,1,0
1,2018,666.9111328125,2,Khajurakhurda,51105,Janaki Gaunpalika,Banke,Banke,Rural municipality,janki,4,1,0,1,0,0,1,1,48400,0,1,0
2,2016,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,2,0,0.5,0.5,0,1,1,52800,0,1,0
2,2017,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,2,0,0,1,0,0,0,0,0,0,0
2,2018,990.53192138671875,6,Hajariya,20504,Barahathawa Municipality,Sarlahi,Sarlahi,Municipality,Barhathwa,3,4,0,0,1,0,0,0,0,0,0,0
3,2016,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,2,0,0,1,0,0,0,0,0,0,0
3,2017,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,3,0,0.3333333333333333,0.6666666666666666,0,1,1,75992,0,0,1
3,2018,487.4611206054687,1,Bharta Pundyadevi,31203,Kailash Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Kailash,7,3,0,0.3333333333333333,0.6666666666666666,0,1,1,120000,0,0,1
4,2016,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,6,0,0.3333333333333333,0.6666666666666666,0,1,2,240000,0,0,1
4,2017,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,7,0,0.42857142857142855,0.5714285714285714,0,1,3,307184,0,1,1
4,2018,898.64581298828125,1,Charpane,11112,Birtamod Municipality,Jhapa,Jhapa,Municipality,Bitramod,1,4,0,0.5,0.5,0,1,2,456784,0,0,1
5,2016,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,1,1,0,0,0,1,1,68500,1,0,0
5,2017,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,3,0,0.3333333333333333,0.6666666666666666,0,1,1,88800,0,1,0
5,2018,754.5958251953125,2,Khudi,40602,Marshyangdi Gaunpalika,Lamjung,Lamjung,Rural municipality,Marsyangdi,3,2,0,0,1,0,0,0,0,0,0,0
6,2016,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,2,0,0.5,0.5,0,1,1,51000,0,1,0
6,2017,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,2,0,0,1,0,0,0,0,0,0,0
6,2018,990.53192138671875,8,Banouta,20407,Balawa Municipality,Mahottari,Mahottari,Municipality,Balawa,8,3,0.6666666666666666,0,0.3333333333333333,0,1,2,125700,1,0,0
7,2016,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,0,0,1,0,0,0,0,0,0,0
7,2017,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,3,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
7,2018,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,5,0,0,0.8,0.2,0,0,0,0,0,0
8,2016,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,4,0,0,1,0,0,0,0,0,0,0
8,2017,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,5,0.2,0.2,0.6,0,1,2,80700,1,1,0
8,2018,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,8,0.5,0,0.5,0,1,4,86000,1,0,0
9,2016,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,4,0,0.75,0.25,0,1,3,460400,0,1,0
9,2017,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,3,0,0.6666666666666666,0.3333333333333333,0,1,2,338500,0,1,1
9,2018,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,4,0,0.75,0.25,0,1,3,714000,0,0,1
10,2016,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,3,0,0,1,0,0,0,0,0,0,0
10,2017,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,5,0,0.2,0.8,0,1,1,91500,0,1,0
10,2018,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,5,0.4,0,0.6,0,1,2,170400,1,0,0
