hhid,year,member_id,n_jobs,n_wage_agri,n_wage_nonagri,n_self_agri,n_self_nonagri,worked,n_wage_jobs,longterm_income_rs_member,contract_income_rs_member,has_sec_primary,has_sec_secondary,has_sec_tertiary,daily_income_rs_member,wage_total_income_member
1,2016,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2524,1,1,0,0,0,1,1,0,0,1,0,0,30400,30400
1,2016,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,2527,2,0,1,1,0,1,1,0,0,0,1,0,52800,52800
3,2016,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,2532,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3,2016,2533,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,2016,2535,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,2016,2539,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,2016,2537,1,0,1,0,0,1,1,144000,0,0,0,0,0,144000
4,2016,2536,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,2016,2538,2,0,1,1,0,1,1,96000,0,0,0,1,0,96000
5,2016,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,2540,1,1,0,0,0,1,1,0,0,1,0,0,68500,68500
5,2016,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,2544,2,0,1,1,0,1,1,0,0,0,1,0,51000,51000
6,2016,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,2550,1,0,0,1,0,1,0,0,0,0,0,0,0,0
7,2016,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2559,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,2016,2556,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,2016,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2564,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,2016,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,2561,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9,2016,2568,1,0,1,0,0,1,1,0,0,0,0,0,212400,212400
9,2016,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,2567,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9,2016,2566,1,0,1,0,0,1,1,0,0,0,1,0,115500,115500
9,2016,2569,1,0,1,0,0,1,1,0,0,0,0,0,132500,132500
10,2016,2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,2571,1,0,0,1,0,1,0,0,0,0,0,0,0,0
10,2016,2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,2572,2,0,0,2,0,1,0,0,0,0,0,0,0,0
10,2016,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,2577,2,0,0,1,1,1,0,0,0,0,0,0,0,0
11,2016,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,2578,1,0,0,1,0,1,0,0,0,0,0,0,0,0
12,2016,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,2583,1,0,0,1,0,1,0,0,0,0,0,0,0,0
12,2016,2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,2582,1,0,1,0,0,1,1,0,0,0,1,0,16000,16000
13,2016,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,2586,1,0,0,0,1,1,0,0,0,0,0,0,0,0
13,2016,2587,1,0,0,1,0,1,0,0,0,0,0,0,0,0
13,2016,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,2590,2,0,1,1,0,1,1,0,0,1,0,0,18200,18200
14,2016,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,2592,2,1,0,1,0,1,1,0,0,1,0,0,16800,16800
15,2016,2594,1,0,0,1,0,1,0,0,0,0,0,0,0,0
15,2016,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,2593,2,0,1,1,0,1,1,0,40000,0,1,0,0,40000
16,2016,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,2596,1,0,0,1,0,1,0,0,0,0,0,0,0,0
16,2016,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016,2600,1,0,0,1,0,1,0,0,0,0,0,0,0,0
17,2016,2599,1,0,0,1,0,1,0,0,0,0,0,0,0,0
18,2016,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016,2602,2,1,0,1,0,1,1,0,0,1,0,0,1000,1000
18,2016,2601,1,0,0,1,0,1,0,0,0,0,0,0,0,0
18,2016,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016,2605,1,0,0,1,0,1,0,0,0,0,0,0,0,0
19,2016,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016,2607,1,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2016,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016,2610,1,0,0,1,0,1,0,0,0,0,0,0,0,0
20,2016,2609,1,0,0,1,0,1,0,0,0,0,0,0,0,0
20,2016,2611,1,0,0,1,0,1,0,0,0,0,0,0,0,0
21,2016,2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,2612,1,0,0,1,0,1,0,0,0,0,0,0,0,0
21,2016,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,2613,1,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2016,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
