hhid,year,any_shock,coped_self,coped_external,cope_category
1,2016,1,0,0,neither
1,2018,1,0,0,neither
2,2016,1,1,1,both
3,2016,1,0,1,external_only
5,2016,1,0,0,neither
6,2016,1,0,0,neither
7,2016,1,0,0,neither
8,2016,1,0,0,neither
9,2016,1,1,0,self_only
10,2016,1,1,0,self_only
11,2016,1,0,1,external_only
11,2017,1,0,0,neither
11,2018,1,0,0,neither
12,2016,1,0,0,neither
13,2016,1,1,0,self_only
13,2017,1,0,0,neither
14,2016,1,0,1,external_only
15,2016,1,0,0,neither
16,2018,1,0,0,neither
17,2016,1,0,1,external_only
18,2016,1,0,1,external_only
19,2016,1,0,0,neither
19,2018,1,1,0,self_only
21,2016,1,1,1,both
21,2017,1,0,0,neither
23,2016,1,0,0,neither
25,2016,1,0,0,neither
25,2018,1,0,0,neither
26,2016,1,0,0,neither
27,2016,1,1,0,self_only
27,2017,1,0,0,neither
28,2016,1,1,1,both
29,2017,1,1,0,self_only
30,2016,1,1,0,self_only
31,2016,1,0,0,neither
31,2017,1,0,0,neither
32,2016,1,1,0,self_only
32,2017,1,0,1,external_only
34,2016,1,1,0,self_only
35,2017,1,0,0,neither
37,2016,1,0,1,external_only
37,2017,1,1,0,self_only
38,2018,1,0,0,neither
39,2016,1,0,0,neither
40,2016,1,0,0,neither
41,2016,1,0,0,neither
42,2016,1,1,0,self_only
42,2018,1,1,1,both
43,2016,1,0,0,neither
43,2017,1,0,1,external_only
44,2017,1,0,0,neither
45,2016,1,1,0,self_only
46,2016,1,1,0,self_only
47,2016,1,1,0,self_only
48,2016,1,0,0,neither
48,2018,1,0,0,neither
49,2016,1,0,0,neither
51,2016,1,0,0,neither
52,2016,1,0,1,external_only
52,2017,1,0,0,neither
52,2018,1,0,0,neither
53,2017,1,1,0,self_only
54,2016,1,0,0,neither
55,2016,1,1,0,self_only
55,2017,1,0,0,neither
56,2016,1,0,0,neither
57,2016,1,0,0,neither
57,2018,1,0,1,external_only
59,2016,1,0,0,neither
60,2016,1,0,0,neither
61,2016,1,1,0,self_only
62,2016,1,0,0,neither
62,2017,1,0,0,neither
63,2016,1,0,1,external_only
64,2016,1,0,1,external_only
64,2017,1,0,0,neither
65,2016,1,1,0,self_only
65,2017,1,0,0,neither
66,2016,1,0,0,neither
67,2018,1,0,0,neither
68,2016,1,0,0,neither
69,2018,1,0,0,neither
70,2017,1,0,0,neither
70,2018,1,0,0,neither
72,2016,1,0,1,external_only
73,2016,1,0,0,neither
74,2017,1,0,0,neither
75,2016,1,1,0,self_only
75,2017,1,0,0,neither
76,2016,1,0,1,external_only
77,2016,1,1,0,self_only
77,2017,1,0,0,neither
77,2018,1,0,1,external_only
78,2016,1,1,0,self_only
79,2016,1,0,1,external_only
79,2017,1,0,0,neither
79,2018,1,0,1,external_only
80,2016,1,1,0,self_only
80,2017,1,0,0,neither
81,2016,1,1,1,both
81,2017,1,0,0,neither
82,2016,1,0,1,external_only
83,2016,1,0,0,neither
84,2016,1,0,0,neither
84,2017,1,0,0,neither
84,2018,1,0,0,neither
85,2016,1,1,0,self_only
86,2016,1,1,0,self_only
86,2017,1,0,0,neither
87,2016,1,0,1,external_only
87,2018,1,1,0,self_only
89,2016,1,0,0,neither
89,2018,1,0,0,neither
90,2016,1,0,0,neither
90,2017,1,0,0,neither
91,2016,1,0,1,external_only
91,2017,1,0,0,neither
91,2018,1,0,0,neither
92,2016,1,0,0,neither
92,2017,1,0,1,external_only
93,2016,1,0,0,neither
93,2017,1,0,0,neither
94,2016,1,0,0,neither
94,2018,1,0,0,neither
95,2016,1,0,0,neither
96,2016,1,0,1,external_only
96,2017,1,0,0,neither
97,2016,1,0,0,neither
98,2016,1,0,0,neither
99,2016,1,0,0,neither
99,2017,1,0,0,neither
99,2018,1,0,0,neither
100,2016,1,0,0,neither
100,2017,1,0,0,neither
101,2016,1,0,0,neither
102,2016,1,1,0,self_only
102,2018,1,1,1,both
103,2016,1,1,0,self_only
103,2017,1,0,0,neither
103,2018,1,0,0,neither
104,2016,1,0,0,neither
105,2016,1,0,0,neither
105,2017,1,0,0,neither
106,2016,1,0,0,neither
107,2016,1,0,0,neither
107,2017,1,0,0,neither
107,2018,1,0,0,neither
108,2016,1,0,0,neither
108,2017,1,0,1,external_only
109,2016,1,0,0,neither
109,2017,1,1,1,both
110,2016,1,1,1,both
110,2017,1,1,1,both
111,2016,1,1,0,self_only
111,2018,1,1,1,both
112,2016,1,0,1,external_only
112,2017,1,0,0,neither
112,2018,1,0,0,neither
113,2016,1,0,0,neither
115,2016,1,0,0,neither
116,2016,1,1,0,self_only
117,2016,1,0,1,external_only
118,2016,1,1,1,both
119,2016,1,1,1,both
119,2017,1,0,0,neither
120,2017,1,0,0,neither
121,2018,1,0,0,neither
122,2016,1,0,0,neither
122,2017,1,0,0,neither
122,2018,1,0,0,neither
123,2016,1,0,0,neither
124,2016,1,1,0,self_only
125,2018,1,0,0,neither
126,2016,1,1,1,both
127,2016,1,1,1,both
127,2017,1,0,0,neither
127,2018,1,0,0,neither
129,2016,1,1,0,self_only
130,2016,1,0,0,neither
130,2018,1,0,0,neither
131,2016,1,0,0,neither
132,2016,1,1,0,self_only
132,2018,1,1,0,self_only
133,2016,1,1,1,both
133,2017,1,0,0,neither
134,2016,1,0,1,external_only
136,2016,1,0,1,external_only
137,2016,1,0,0,neither
137,2017,1,0,0,neither
138,2016,1,1,0,self_only
138,2018,1,0,0,neither
139,2016,1,1,0,self_only
141,2016,1,1,0,self_only
141,2017,1,0,0,neither
141,2018,1,0,0,neither
142,2016,1,1,0,self_only
143,2016,1,1,0,self_only
146,2016,1,1,0,self_only
147,2016,1,0,0,neither
147,2018,1,0,0,neither
148,2018,1,1,0,self_only
149,2016,1,1,0,self_only
149,2017,1,1,0,self_only
150,2016,1,0,0,neither
150,2017,1,1,0,self_only
150,2018,1,0,0,neither
152,2016,1,0,1,external_only
153,2016,1,0,0,neither
153,2017,1,0,0,neither
154,2016,1,0,0,neither
154,2017,1,0,0,neither
155,2016,1,0,0,neither
156,2016,1,0,0,neither
158,2016,1,1,0,self_only
159,2016,1,1,0,self_only
160,2016,1,0,0,neither
160,2017,1,0,0,neither
161,2016,1,1,0,self_only
161,2018,1,1,0,self_only
162,2016,1,0,0,neither
163,2017,1,0,0,neither
164,2016,1,0,0,neither
164,2017,1,0,0,neither
165,2016,1,1,1,both
166,2016,1,0,1,external_only
167,2016,1,0,0,neither
168,2016,1,0,0,neither
169,2016,1,0,0,neither
170,2016,1,0,0,neither
171,2016,1,0,0,neither
171,2017,1,0,0,neither
172,2016,1,0,0,neither
173,2016,1,0,0,neither
174,2016,1,1,0,self_only
174,2017,1,1,0,self_only
175,2016,1,0,1,external_only
175,2017,1,0,0,neither
178,2016,1,0,0,neither
178,2018,1,0,0,neither
179,2016,1,1,1,both
180,2016,1,0,0,neither
180,2017,1,0,0,neither
181,2016,1,0,0,neither
181,2017,1,0,0,neither
181,2018,1,0,0,neither
182,2016,1,1,0,self_only
183,2016,1,1,0,self_only
183,2017,1,0,1,external_only
184,2016,1,0,0,neither
184,2018,1,0,0,neither
185,2016,1,0,0,neither
186,2016,1,0,0,neither
186,2018,1,0,0,neither
187,2016,1,0,0,neither
187,2017,1,0,0,neither
187,2018,1,0,0,neither
188,2016,1,1,0,self_only
189,2016,1,0,0,neither
190,2016,1,0,0,neither
190,2018,1,0,1,external_only
191,2016,1,0,0,neither
192,2016,1,0,1,external_only
192,2017,1,0,0,neither
193,2016,1,1,0,self_only
194,2017,1,0,0,neither
194,2018,1,0,0,neither
195,2016,1,1,0,self_only
195,2017,1,0,0,neither
196,2016,1,0,0,neither
196,2017,1,0,0,neither
198,2016,1,0,0,neither
199,2016,1,0,0,neither
199,2017,1,0,0,neither
201,2016,1,0,0,neither
201,2018,1,1,0,self_only
202,2016,1,0,0,neither
202,2018,1,0,0,neither
203,2016,1,1,1,both
204,2016,1,1,1,both
205,2016,1,0,0,neither
206,2016,1,1,1,both
206,2017,1,0,0,neither
207,2016,1,0,0,neither
208,2016,1,0,1,external_only
208,2017,1,0,1,external_only
209,2016,1,0,1,external_only
209,2017,1,0,0,neither
210,2016,1,1,1,both
210,2018,1,0,1,external_only
211,2016,1,0,1,external_only
213,2016,1,1,0,self_only
213,2018,1,1,0,self_only
214,2016,1,1,0,self_only
214,2017,1,0,0,neither
215,2016,1,1,1,both
216,2017,1,0,0,neither
217,2016,1,0,0,neither
218,2016,1,1,1,both
219,2016,1,1,1,both
220,2016,1,0,0,neither
220,2018,1,1,0,self_only
221,2016,1,1,0,self_only
222,2016,1,0,0,neither
222,2017,1,0,0,neither
223,2016,1,0,0,neither
224,2016,1,1,0,self_only
224,2017,1,0,0,neither
226,2016,1,0,0,neither
227,2016,1,0,1,external_only
227,2018,1,0,0,neither
228,2016,1,0,0,neither
228,2017,1,0,0,neither
229,2016,1,1,1,both
230,2016,1,1,0,self_only
230,2018,1,0,0,neither
231,2016,1,0,0,neither
232,2016,1,1,1,both
232,2018,1,0,0,neither
233,2016,1,0,0,neither
234,2016,1,0,0,neither
234,2017,1,0,0,neither
235,2016,1,1,0,self_only
236,2016,1,1,1,both
239,2016,1,1,0,self_only
240,2017,1,0,0,neither
241,2016,1,0,0,neither
241,2017,1,0,0,neither
241,2018,1,0,0,neither
242,2016,1,0,0,neither
243,2016,1,0,1,external_only
244,2016,1,0,0,neither
245,2016,1,1,0,self_only
246,2016,1,0,0,neither
246,2017,1,0,1,external_only
246,2018,1,0,0,neither
247,2016,1,0,0,neither
247,2018,1,0,0,neither
248,2016,1,0,0,neither
249,2016,1,0,1,external_only
250,2016,1,0,1,external_only
250,2017,1,0,0,neither
251,2016,1,1,0,self_only
252,2016,1,0,0,neither
252,2017,1,0,0,neither
253,2016,1,1,0,self_only
253,2017,1,0,0,neither
254,2017,1,0,0,neither
255,2016,1,0,0,neither
258,2016,1,1,1,both
258,2017,1,0,0,neither
259,2016,1,0,0,neither
259,2018,1,0,0,neither
260,2016,1,1,1,both
260,2017,1,0,1,external_only
261,2016,1,0,0,neither
261,2017,1,0,0,neither
262,2016,1,0,1,external_only
263,2017,1,0,0,neither
263,2018,1,1,0,self_only
264,2016,1,1,1,both
264,2017,1,0,0,neither
264,2018,1,0,0,neither
265,2016,1,1,0,self_only
265,2017,1,0,0,neither
266,2016,1,0,0,neither
266,2017,1,0,0,neither
267,2016,1,1,0,self_only
267,2017,1,0,0,neither
268,2016,1,0,0,neither
269,2016,1,0,0,neither
270,2016,1,0,1,external_only
270,2017,1,0,0,neither
271,2018,1,0,0,neither
273,2016,1,0,0,neither
273,2017,1,1,0,self_only
273,2018,1,0,0,neither
274,2016,1,1,0,self_only
275,2017,1,1,0,self_only
277,2016,1,1,0,self_only
277,2017,1,0,0,neither
278,2016,1,1,0,self_only
279,2016,1,1,0,self_only
280,2017,1,0,0,neither
281,2016,1,1,0,self_only
282,2016,1,0,0,neither
283,2016,1,0,0,neither
283,2017,1,0,0,neither
283,2018,1,0,0,neither
284,2016,1,0,1,external_only
285,2016,1,0,1,external_only
286,2016,1,0,0,neither
287,2016,1,1,0,self_only
287,2018,1,0,0,neither
288,2016,1,0,0,neither
289,2017,1,0,0,neither
290,2016,1,0,1,external_only
291,2016,1,1,1,both
291,2017,1,0,0,neither
292,2016,1,0,0,neither
292,2017,1,0,0,neither
293,2016,1,0,0,neither
294,2016,1,1,0,self_only
295,2018,1,0,0,neither
296,2016,1,1,0,self_only
296,2017,1,0,0,neither
297,2016,1,1,0,self_only
297,2018,1,0,0,neither
298,2016,1,0,1,external_only
298,2017,1,1,0,self_only
299,2016,1,0,0,neither
299,2017,1,0,0,neither
300,2016,1,1,0,self_only
301,2016,1,1,1,both
301,2017,1,0,0,neither
301,2018,1,0,0,neither
302,2017,1,0,0,neither
304,2016,1,1,0,self_only
305,2016,1,0,1,external_only
305,2018,1,0,0,neither
306,2016,1,0,0,neither
307,2016,1,1,1,both
308,2016,1,1,1,both
309,2016,1,0,1,external_only
309,2017,1,0,0,neither
309,2018,1,0,0,neither
310,2016,1,0,0,neither
310,2018,1,0,0,neither
311,2016,1,0,1,external_only
312,2016,1,1,1,both
313,2016,1,0,0,neither
314,2016,1,0,1,external_only
314,2017,1,0,0,neither
314,2018,1,0,0,neither
315,2016,1,0,0,neither
315,2017,1,0,0,neither
316,2016,1,0,0,neither
318,2016,1,0,0,neither
318,2018,1,0,0,neither
319,2016,1,1,0,self_only
319,2017,1,0,0,neither
320,2016,1,0,0,neither
321,2016,1,0,1,external_only
321,2018,1,0,0,neither
322,2016,1,1,1,both
322,2018,1,0,0,neither
323,2016,1,1,1,both
323,2017,1,0,0,neither
323,2018,1,0,0,neither
325,2016,1,1,0,self_only
326,2016,1,1,0,self_only
327,2016,1,0,0,neither
328,2017,1,0,0,neither
329,2016,1,1,0,self_only
329,2018,1,0,0,neither
330,2016,1,0,0,neither
331,2016,1,0,0,neither
331,2017,1,0,0,neither
331,2018,1,0,0,neither
332,2016,1,0,0,neither
334,2016,1,0,0,neither
335,2016,1,1,0,self_only
335,2017,1,0,0,neither
336,2016,1,0,0,neither
337,2016,1,0,0,neither
338,2016,1,0,0,neither
339,2016,1,1,1,both
339,2017,1,0,0,neither
341,2016,1,0,0,neither
341,2017,1,1,0,self_only
341,2018,1,0,0,neither
342,2016,1,0,1,external_only
343,2016,1,0,1,external_only
343,2017,1,0,1,external_only
344,2016,1,0,0,neither
346,2016,1,0,0,neither
347,2016,1,0,1,external_only
347,2017,1,0,0,neither
348,2016,1,0,1,external_only
348,2017,1,0,0,neither
349,2016,1,0,0,neither
350,2016,1,0,1,external_only
351,2016,1,0,0,neither
352,2016,1,1,0,self_only
354,2016,1,0,0,neither
355,2016,1,0,0,neither
356,2016,1,0,0,neither
356,2017,1,1,0,self_only
357,2017,1,0,0,neither
357,2018,1,0,0,neither
359,2016,1,0,0,neither
360,2016,1,0,0,neither
360,2018,1,0,0,neither
361,2016,1,0,0,neither
361,2017,1,0,0,neither
362,2018,1,1,0,self_only
363,2016,1,0,0,neither
365,2016,1,1,1,both
366,2016,1,0,0,neither
366,2017,1,0,0,neither
367,2016,1,0,0,neither
368,2016,1,0,1,external_only
369,2016,1,0,0,neither
369,2017,1,0,0,neither
369,2018,1,0,0,neither
370,2017,1,0,0,neither
371,2016,1,0,0,neither
371,2018,1,0,0,neither
372,2016,1,0,1,external_only
372,2017,1,0,0,neither
373,2017,1,0,0,neither
373,2018,1,0,0,neither
374,2016,1,1,0,self_only
375,2016,1,0,1,external_only
375,2018,1,0,0,neither
376,2016,1,1,1,both
376,2017,1,0,0,neither
377,2017,1,1,1,both
378,2016,1,0,0,neither
378,2017,1,1,0,self_only
378,2018,1,0,0,neither
380,2016,1,0,0,neither
380,2017,1,1,1,both
380,2018,1,0,0,neither
381,2017,1,0,0,neither
381,2018,1,0,0,neither
382,2016,1,0,0,neither
382,2017,1,0,0,neither
383,2016,1,0,0,neither
383,2017,1,0,0,neither
383,2018,1,0,0,neither
384,2016,1,0,0,neither
385,2016,1,1,0,self_only
387,2016,1,1,1,both
387,2018,1,0,0,neither
388,2016,1,1,0,self_only
388,2018,1,1,1,both
389,2016,1,1,0,self_only
390,2016,1,1,0,self_only
391,2016,1,0,1,external_only
391,2017,1,0,0,neither
392,2016,1,1,1,both
392,2017,1,0,0,neither
393,2016,1,0,0,neither
393,2018,1,0,0,neither
395,2016,1,0,1,external_only
396,2017,1,0,0,neither
397,2016,1,0,0,neither
398,2016,1,1,0,self_only
399,2016,1,1,0,self_only
400,2016,1,0,0,neither
