hhid,year,any_shock,n_shocks,total_loss_rs,mean_loss_per_shock_rs,health_shock_any,death_shock_any,natural_disaster_shock_any,agricultural_shock_any,economic_shock_any,other_shock_any,any_coping_reported,cope_self_insurance_any,cope_credit_or_asset_any,cope_external_support_any,cope_savings_any,cope_borrow_any,cope_sell_assets_any,cope_family_community_any,cope_public_private_aid_any,cope_migration_remittance_any,main_coping_savings_consumption,main_coping_borrow,main_coping_sell_assets,main_coping_external_support,severe_loss_any,multiple_shocks
1,2016,1,1,10000,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2018,1,1,260000,260000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2,2016,1,1,40000,40000,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
3,2016,1,1,50000,50000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
5,2016,1,2,45000,22500,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,1,1,2000,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2016,1,3,40000,13333.333333333334,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
9,2016,1,1,11000,11000,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,2016,1,1,15000,15000,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
11,2016,1,1,150000,150000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
11,2017,1,1,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,2018,1,1,4600,4600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,2016,1,1,10000,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,2016,1,1,27000,27000,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0
13,2017,1,1,30000,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
14,2016,1,2,450000,225000,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
15,2016,1,2,47500,23750,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
16,2018,1,1,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,2016,1,1,150000,150000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
18,2016,1,2,31000,15500,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
19,2016,1,1,60000,60000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2018,1,1,110000,110000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
21,2016,1,1,50000,50000,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
21,2017,1,1,28500,28500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,2016,1,2,75000,37500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25,2016,1,1,30000,30000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,2018,1,1,15000,15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,2016,1,1,10000,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,2016,1,5,25100,5020,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1
27,2017,1,2,29500,14750,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
