category,variable,unit,reference,source,definition
agriculture,agri_hh,HH × year,past year,9a/9b/9d presence,"1 if household appears in land, crop, or livestock agriculture modules; 0 otherwise."
agriculture,owned_plots_n,HH × year,current,9a1,Number of owned plots reported by household.
agriculture,owned_area_sqm,HH × year,current,9a1 area_sqm,Total area of owned plots in square metres.
agriculture,cultivated_area_sqm,HH × year,past year,9a1 + 9a2,Total cultivated area: own self-cultivated area plus rented/sharecropped-in area.
agriculture,rented_in_area_sqm,HH × year,past year,9a2 area_sqm,Total area rented or sharecropped in by household.
agriculture,rented_in_any,HH × year,past year,9a2,1 if household rented or sharecropped in any agricultural land.
agriculture,plot_wet_farmed_share,HH × year,wet season,9a1 s09q07,Share of owned plots self-cultivated by household in the wet season.
agriculture,plot_wet_rented_share,HH × year,wet season,9a1 s09q07,Share of owned plots rented out in the wet season.
agriculture,plot_wet_shared_share,HH × year,wet season,9a1 s09q07,Share of owned plots sharecropped out in the wet season.
agriculture,plot_wet_fallow_share,HH × year,wet season,9a1 s09q07,Share of owned plots kept fallow in the wet season.
agriculture,plot_dry_farmed_share,HH × year,dry season,9a1 s09q11,Share of owned plots self-cultivated by household in the dry season.
agriculture,plot_dry_rented_share,HH × year,dry season,9a1 s09q11,Share of owned plots rented out in the dry season.
agriculture,plot_dry_shared_share,HH × year,dry season,9a1 s09q11,Share of owned plots sharecropped out in the dry season.
agriculture,plot_dry_fallow_share,HH × year,dry season,9a1 s09q11,Share of owned plots kept fallow in the dry season.
agriculture,double_crop_share,HH × year,past year,9a1 s09q07/s09q11,Share of owned plots self-cultivated in both wet and dry seasons.
agriculture,wet_use_seed,HH × year,wet season,9c s09q52a,1 if household used purchased seed in the wet season.
agriculture,wet_use_fertiliser,HH × year,wet season,9c s09q52c,1 if household used fertiliser in the wet season.
agriculture,wet_use_pesticide,HH × year,wet season,9c s09q52e,1 if household used pesticide/insecticide in the wet season.
agriculture,wet_use_equipment,HH × year,wet season,9c s09q52g,1 if household hired agricultural equipment in the wet season.
agriculture,wet_use_hired_labour,HH × year,wet season,9c s09q52i,1 if household hired agricultural labour in the wet season.
agriculture,dry_use_seed,HH × year,dry season,9c s09q53a,1 if household used purchased seed in the dry season.
agriculture,dry_use_fertiliser,HH × year,dry season,9c s09q53c,1 if household used fertiliser in the dry season.
agriculture,dry_use_pesticide,HH × year,dry season,9c s09q53e,1 if household used pesticide/insecticide in the dry season.
agriculture,dry_use_equipment,HH × year,dry season,9c s09q53g,1 if household hired agricultural equipment in the dry season.
agriculture,dry_use_hired_labour,HH × year,dry season,9c s09q53i,1 if household hired agricultural labour in the dry season.
agriculture,input_total_12m_rs,HH × year,12 months,9c s09q52/53,Total agricultural input spending across wet and dry seasons.
agriculture,input_intensity_per_sqm,HH × year,12 months,derived,Agricultural input spending per square metre of cultivated area. NA if cultivated area is zero.
agriculture,n_crop_types,HH × year,past year,9b1/9b2 cropid,Number of distinct crops grown across wet and dry seasons.
agriculture,grows_staple,HH × year,past year,9b1/9b2 cropid,"1 if household grew any staple crop such as rice/paddy, wheat, maize, millet, or barley."
agriculture,grows_cashcrop,HH × year,past year,9b1/9b2 cropid,"1 if household grew any cash crop such as sugarcane, jute, tobacco, cardamom, tea, mustard, or oilseed."
agriculture,grows_horticulture,HH × year,past year,9b1/9b2 cropid,1 if household grew any fruits or vegetables.
agriculture,wet_grows_staple,HH × year,wet season,9b1 cropid,1 if household grew any staple crop in the wet season.
agriculture,dry_grows_staple,HH × year,dry season,9b2 cropid,1 if household grew any staple crop in the dry season.
agriculture,crop_sold_any,HH × year,past year,9b1/9b2 sold quantity,1 if household sold any crop output in either season.
agriculture,crop_sales_12m_rs,HH × year,past year,9b1/9b2 sold quantity × price,Total crop sales value across wet and dry seasons.
