"dname","year","n_absentees","n_absentees_weighted","n_male","n_female"
"Achham",2021,143,102.243731319904,129,14
"Arghakhanchi",2021,1227,1088.71390759945,1160,67
"Baglung",2021,2712,2224.76033425331,2359,353
"Baitadi",2021,350,256.904809176922,337,13
"Bajhang",2021,159,101.630174398422,145,14
"Bajura",2021,146,86.8810937106609,131,15
"Banke",2021,1362,1665.82689213753,1239,123
"Bara",2021,1635,1578.95865052938,1536,99
"Bardiya",2021,1164,1269.09208649397,1079,85
"Bhaktapur",2021,1448,2215.94594728947,1030,418
"Bhojpur",2021,1224,815.377091825008,1146,78
"Chitawan",2021,3232,5573.32533860207,2628,604
"Dadeldhura",2021,210,143.253509938717,202,8
"Dailekh",2021,345,242.158537745476,338,7
"Dang",2021,2386,3346.05072468519,2220,166
"Darchula",2021,341,199.78602796793,328,13
"Dhading",2021,2037,1647.89974194765,1695,342
"Dhankuta",2021,1302,955.236898720264,1183,119
"Dhanusa",2021,7334,6949.91619616747,7298,36
"Dolakha",2021,979,723.089531183243,782,197
"Dolpa",2021,48,21.9116590023041,39,9
"Doti",2021,151,114.170926749706,139,12
"Gorkha",2021,2169,1807.16920366883,1901,268
"Gulmi",2021,2425,1808.12732815742,2200,225
"Humla",2021,73,33.0237287580967,47,26
"Ilam",2021,1924,1605.89174777269,1589,335
"Jajarkot",2021,256,196.62776517868,245,11
"Jhapa",2021,6301,7688.75526738167,5245,1056
"Jumla",2021,117,70.1834165453911,114,3
"Kailali",2021,890,1169.05024969578,801,89
"Kalikot",2021,131,75.4228979051113,123,8
"Kanchanpur",2021,996,1120.98129844666,925,71
"Kapilbastu",2021,2198,2399.39450103045,2114,84
"Kaski",2021,2324,5417.23656922579,1919,405
"Kathmandu",2021,5731,12900.1601914167,3983,1748
"Kavrepalanchok",2021,2280,1923.68461722136,1771,509
"Khotang",2021,1558,1073.37237918377,1438,120
"Lalitpur",2021,1807,3368.77038249373,1214,593
"Lamjung",2021,1873,1437.60049921274,1668,205
"Mahottari",2021,4859,4458.42843180895,4820,39
"Makwanpur",2021,1652,1910.41237926483,1274,378
"Manang",2021,100,28.0415741354227,64,36
"Morang",2021,5392,6457.07268434763,4731,661
"Mugu",2021,101,54.5015266537666,92,9
"Mustang",2021,326,106.470842778683,193,133
"Myagdi",2021,1405,1010.07460588217,1203,202
"Nawalparasi East",2021,3106,3427.94046992064,2767,339
"Nawalparasi West",2021,2082,2255.13618469238,1903,179
"Nuwakot",2021,1722,1325.75569170713,1374,348
"Okhaldhunga",2021,878,594.260933756828,786,92
"Palpa",2021,2239,1828.85168623924,2136,103
"Panchthar",2021,1494,1111.96536415815,1353,141
"Parbat",2021,1625,1187.14668810368,1465,160
"Parsa",2021,988,911.233522355556,949,39
"Pyuthan",2021,945,747.184131622314,917,28
"Ramechhap",2021,1130,843.291108906269,902,228
"Rasuwa",2021,426,219.908748984337,218,208
"Rautahat",2021,1975,1707.53709977865,1926,49
"Rolpa",2021,1544,1132.59561437368,1520,24
"Rukum East",2021,320,212.549097657204,310,10
"Rukum West",2021,525,416.703222453594,500,25
"Rupandehi",2021,4382,5558.45704382658,3933,449
"Salyan",2021,1274,941.783806145191,1230,44
"Sankhuwasabha",2021,1053,723.025032639503,945,108
"Saptari",2021,3338,2982.98634111881,3299,39
"Sarlahi",2021,3232,2953.30650222301,3111,121
"Sindhuli",2021,1438,1265.5216101408,1272,166
"Sindhupalchok",2021,1924,1489.2475053072,1266,658
"Siraha",2021,5653,5252.89843440056,5625,28
"Solukhumbu",2021,728,465.580442935228,549,179
"Sunsari",2021,4036,5611.94122046232,3617,419
"Surkhet",2021,788,838.774564564228,727,61
"Syangja",2021,3081,2483.59644061327,2848,233
"Tanahu",2021,2948,2867.1092286706,2723,225
"Taplejung",2021,895,526.685499370098,793,102
"Terhathum",2021,838,528.806852787733,772,66
"Udayapur",2021,1766,1879.55458801985,1590,176
