dname,year,native_pop,inmig_count,outmig_count,net_internal_mig_count,mig_in_internal_share,mig_out_internal_share,net_internal_mig_share,mig_out_economic_share,mig_out_noneconomic_share,mig_in_economic_share,mig_in_noneconomic_share,mig_in_temp_share,mig_out_temp_share,net_temp_mig_share,mig_out_temp_economic_share,mig_out_temp_noneconomic_share,mig_in_temp_economic_share,mig_in_temp_noneconomic_share
Achham,2011,30833,804,7956,-7152,0.02607595757791976,0.25803522200240003,-0.23195926442448025,NA,NA,NA,NA,0.008628924409348532,0.05521237980003821,-0.04658345539068968,0.012609055594472394,0.036107750111443675,0.0022607145131503534,0.004935362669553588
Achham,2021,23833.767747282982,1129.9772130846977,9506.207587450743,-8376.230374366045,0.04741076715466079,0.3988545868302521,-0.35144381967559135,0.09628858313216712,0.2557913716506215,0.009002736275214392,0.03770010745010312,0.056159504133008506,0.38576568181370263,-0.3296061776806941,0.09180042799799466,0.24919417781285516,0.011167823913285038,0.044058225703447064
Arghakhanchi,2011,23519,1108,7621,-6513,0.0471108465495982,0.32403588587950166,-0.2769250393299035,NA,NA,NA,NA,0.010074122609443466,0.08968426225480158,-0.07961013964535812,0.01900159711699906,0.062328514681190876,0.001842827306605512,0.006879888611327246
Arghakhanchi,2021,17549.394721508026,1812.8862787485123,9790.71635439992,-7977.830075651407,0.10330192622123267,0.5578948168736956,-0.4545928906524629,0.16324737905046727,0.33765154155260985,0.01905369501215384,0.07911979977461447,0.1209757284358861,0.5629750442256194,-0.44199931578973334,0.1590440098989792,0.34846340556649463,0.022570210054964727,0.09229179030149731
Baglung,2011,53607,5148,10301,-5153,0.0960322345962281,0.1921577405935792,-0.09612550599735109,NA,NA,NA,NA,0.03531192789747923,0.04478242501056189,-0.009470497113082664,0.009206449795803408,0.03186170961836361,0.008643148852274327,0.01885297845373891
Baglung,2021,25297.09605151415,1980.3545727729797,13427.596092671156,-11447.241519898176,0.07828386976672155,0.5307959484886192,-0.45251207872189764,0.13993629044930406,0.3254176613478964,0.012949169218631224,0.06185842309061898,0.0886277192740521,0.5325759164714288,-0.4439481971973767,0.13855931947220368,0.3325288302178143,0.014321750992878825,0.07039263642167341
Baitadi,2011,44577,1408,8282,-6874,0.031585795365322925,0.18579087870426453,-0.15420508333894162,NA,NA,NA,NA,0.009965537678073622,0.0382817130188555,-0.028316175340781877,0.010119191342713524,0.024321180060144436,0.0026340628223983143,0.004938867791996839
Baitadi,2021,25446.615264356136,1151.7902893424034,10186.152816832066,-9034.362527489662,0.04526300560514041,0.40029499841183697,-0.35503199280669656,0.12295714980359829,0.24453215196727604,0.007951875369304051,0.03661292282579897,0.05041588379028137,0.39812771229208294,-0.34771182850180155,0.11747426953385416,0.24908847393192737,0.009939717120628268,0.03977254677576924
Bajhang,2011,23537,385,3724,-3339,0.01635722479500361,0.1582189743807622,-0.1418617495857586,NA,NA,NA,NA,0.006307556452630251,0.0385181447373954,-0.03221058828476515,0.007905470753963247,0.025524578444977082,0.0015558639249821286,0.003195828602665994
Bajhang,2021,20077.13259240985,573.9553613066673,4545.324081718922,-3971.3687204122543,0.02858751660202966,0.2263930897899872,-0.19780557318795755,0.06261535866580525,0.1421373817671452,0.003768662002522408,0.024273878672295104,0.031919755818555794,0.2196317665234747,-0.1877120107049189,0.0610694547815093,0.13804164534422508,0.0043068770184324905,0.027014487732280358
Bajura,2011,16256,508,2299,-1791,0.03125,0.14142470472440946,-0.11017470472440945,NA,NA,NA,NA,0.010847947929849937,0.032483577412161756,-0.02163562948231182,0.004459711926716085,0.02296148978484903,0.003857048152835533,0.005423973964924968
Bajura,2021,14749.937782377005,415.24684408307076,2820.912715882063,-2405.665871798992,0.028152447163485746,0.19124912643716,-0.16309667927367424,0.043871962976633594,0.13103543176015972,0.005596524712869521,0.02196487151274654,0.029341401860095456,0.1821614413157501,-0.15282003945565464,0.037814693347027376,0.12863027508985317,0.005981333059478056,0.02273698799621786
Banke,2011,47823,12061,2275,9786,0.25220082387135895,0.04757125232628651,0.20462957154507244,NA,NA,NA,NA,0.05731148696264975,0.023925299506694857,0.0333861874559549,0.00766384778012685,0.01331923890063425,0.012385482734319943,0.04009866102889359
Banke,2021,48211.796069681644,15174.357465565205,3219.679018497467,11954.678447067738,0.31474366654238206,0.06678197621685758,0.24796169032552448,0.016699338014343604,0.04522039831750609,0.08226177460957264,0.19289008150222672,0.299724715389123,0.07954475188397063,0.22017996350515237,0.02287221729536869,0.05135333414402413,0.07789238287294319,0.18546928629550669
Bara,2011,113698,8182,5664,2518,0.07196256750338616,0.04981617970412848,0.022146387799257684,NA,NA,NA,NA,0.012052090245520902,0.018264764432647643,-0.006212674187126742,0.0057067020570670205,0.009729595222295953,0.0019741207697412076,0.007241207697412077
