variable,unit,reference,source,definition
food_exp_purchased_7day,HH × year,7 days,5a s05q03,Rs. value of food purchased in past 7 days (all items summed).
food_exp_homeprod_7day,HH × year,7 days,5a s05q06,Rs. market-value of food consumed from own production in past 7 days.
food_exp_total_7day,HH × year,7 days,5a s05q03+06+09,"Total food value (purchased + home-produced + received as gift), 7-day recall."
food_exp_staples_7day,HH × year,7 days,5a subset,"Rs. value of cereals/grains (rice, wheat, maize, millet, barley, beaten rice) across all sources."
food_exp_protein_7day,HH × year,7 days,5a subset,"Rs. value of protein foods: meat/fish, dairy, eggs, pulses — all sources."
food_exp_vice_7day,HH × year,7 days,5a subset,Rs. value of alcohol + cigarettes + tobacco/jarda/khan/beetle — all sources.
food_insec_worried,HH × year,12 months,5b s05q10,1 if HH worried about food in any month in past 12 (gateway question); 0 if no worry; NA if not asked.
food_insec_any,HH × year,12 months,5b s05q11b..s05q19,1 if any of 9 severity items reported above 'Never'; 0 if gateway=No or all 'Never'; NA if gateway missing.
food_insec_score,HH × year,12 months,5b s05q11b..s05q19,"0–27 HFIAS-style severity sum (Never=0, Rarely=1, Sometimes=2, Often=3). Gateway=No → 0."
nonfood_exp_30day,HH × year,30 days,6a s06q01a,Total frequent-nonfood spending reported over past 30 days.
nonfood_exp_12m,HH × year,12 months,6a s06q01b + 6b s06q02,Total nonfood spending over past 12 months (frequent annual-recall + infrequent).
nonfood_cat_sum_12m,HH × year,12 months,derived,Sum of the 13 activity-category columns below; validates against nonfood_exp_12m.
nonfood_transport_12m,HH × year,12 months,6a+6b subset,"Public transport, petrol/diesel, bicycles, motorcycles, cars, vehicle repair/registration."
nonfood_communication_12m,HH × year,12 months,6a+6b subset,"Telephone sets, mobile phones, postal/telegram/fax expenses."
nonfood_entertainment_leisure_12m,HH × year,12 months,6a+6b subset,"Cinema, CDs, newspapers, books, stationery, toys, sports, holidays, TV/VCR/radio/camera."
nonfood_ceremonies_12m,HH × year,12 months,6a+6b subset,"Religious ceremonies, marriage/birth, funeral/death expenses."
nonfood_taxes_12m,HH × year,12 months,6b subset,"Income, land, housing, property taxes."
nonfood_fuel_lighting_12m,HH × year,12 months,6a subset,"Wood, LPG, kerosene, coal, matches, candles, lanterns, light bulbs, batteries."
nonfood_personal_care_12m,HH × year,12 months,6a subset,"Personal care items, household cleaning, haircut/shaving, dry cleaning."
nonfood_clothing_footwear_12m,HH × year,12 months,6a subset,"Shoes/slippers/sandals, ready-made clothing."
nonfood_household_goods_12m,HH × year,12 months,6b subset,"Crockery/cutlery/utensils, bedding, furniture, kitchen appliances, small electrics, repair of HH effects."
nonfood_housing_improvement_12m,HH × year,12 months,6b subset,"Home improvements, repair and maintenance of the house itself."
nonfood_electronics_tech_12m,HH × year,12 months,6b subset,Computer/printer.
nonfood_jewellery_luxury_12m,HH × year,12 months,6b subset,"Jewellery, watches."
nonfood_legal_insurance_12m,HH × year,12 months,6b subset,"Legal expenses, insurance (life, car, etc.)."
nonfood_other_nonfood_12m,HH × year,12 months,6a+6b residual,"Items not matched by any activity category (pocket money, wages to help, misc). Large value here = mapping gap."
durables_stock_value,HH × year,stock,6c s06q03b,Rs. current market value of all durable goods owned by HH (wealth).
durables_use_value_12m,HH × year,12 months,derived from 6c,Imputed annual consumption flow from durables = 0.10 × durables_stock_value.
selfprod_nonfood_count,HH × year,past year,6d s06q04a,Count of nonfood items where HH reported self-producing (Yes).
