"dname","country","dist_mig_pop_2001"
"Achham","Australia",6
"Achham","Bangladesh",15
"Achham","Bhutan",4
"Achham","China",10
"Achham","Hong Kong SAR China",3
"Achham","Japan",5
"Achham","Kuwait",1
"Achham","Malaysia",3
"Achham","Maldives",6
"Achham","Pakistan",13
"Achham","Russia",13
"Achham","Saudi Arabia",2
"Achham","Singapore",2
"Achham","South Korea",2
"Achham","United Arab Emirates",3
"Arghakhanchi","Australia",17
"Arghakhanchi","Bahrain",2
"Arghakhanchi","Bangladesh",15
"Arghakhanchi","Bhutan",1
"Arghakhanchi","China",7
"Arghakhanchi","Germany",14
"Arghakhanchi","Hong Kong SAR China",14
"Arghakhanchi","Japan",22
"Arghakhanchi","Kuwait",27
"Arghakhanchi","Malaysia",35
"Arghakhanchi","Maldives",3
"Arghakhanchi","Pakistan",15
"Arghakhanchi","Qatar",163
"Arghakhanchi","Russia",4
"Arghakhanchi","Saudi Arabia",405
"Arghakhanchi","Singapore",11
"Arghakhanchi","South Korea",22
"Arghakhanchi","Sri Lanka",3
"Arghakhanchi","United Arab Emirates",137
"Arghakhanchi","United Kingdom",16
"Arghakhanchi","United States",18
"Baglung","Australia",38
"Baglung","Bahrain",37
"Baglung","Bangladesh",25
"Baglung","Bhutan",2
"Baglung","China",20
"Baglung","France",1
"Baglung","Germany",50
"Baglung","Hong Kong SAR China",253
"Baglung","Japan",226
"Baglung","Kuwait",101
"Baglung","Malaysia",405
"Baglung","Maldives",10
"Baglung","Pakistan",11
"Baglung","Qatar",801
"Baglung","Russia",14
"Baglung","Saudi Arabia",2391
"Baglung","Singapore",103
"Baglung","South Korea",81
"Baglung","Sri Lanka",16
"Baglung","United Arab Emirates",346
"Baglung","United Kingdom",173
"Baglung","United States",81
"Baitadi","Australia",3
"Baitadi","Bangladesh",9
"Baitadi","Bhutan",7
"Baitadi","China",6
"Baitadi","Hong Kong SAR China",5
"Baitadi","Japan",3
"Baitadi","Kuwait",4
"Baitadi","Malaysia",6
"Baitadi","Pakistan",11
"Baitadi","Qatar",11
"Baitadi","Russia",2
"Baitadi","Saudi Arabia",37
"Baitadi","Singapore",2
"Baitadi","Sri Lanka",1
"Baitadi","United Arab Emirates",8
"Baitadi","United Kingdom",7
"Baitadi","United States",8
"Bajhang","Australia",5
"Bajhang","Bangladesh",6
"Bajhang","Bhutan",2
"Bajhang","China",6
"Bajhang","Germany",1
"Bajhang","Hong Kong SAR China",3
"Bajhang","Malaysia",5
"Bajhang","Pakistan",4
"Bajhang","Russia",3
"Bajhang","Saudi Arabia",2
"Bajhang","Singapore",1
"Bajhang","Sri Lanka",1
"Bajhang","United Kingdom",5
"Bajhang","United States",5
"Bajura","Bangladesh",6
"Bajura","China",2
"Bajura","Malaysia",2
"Bajura","Pakistan",3
"Bajura","Russia",1
"Bajura","Saudi Arabia",1
"Bajura","United Kingdom",1
"Banke","Australia",4
"Banke","Bahrain",5
"Banke","Bangladesh",8
"Banke","China",4
"Banke","Germany",5
"Banke","Hong Kong SAR China",24
"Banke","Japan",5
"Banke","Kuwait",8
"Banke","Malaysia",9
"Banke","Maldives",3
"Banke","Pakistan",8
"Banke","Qatar",55
"Banke","Russia",3
"Banke","Saudi Arabia",386
"Banke","Singapore",30
"Banke","South Korea",6
"Banke","Sri Lanka",1
"Banke","United Arab Emirates",34
"Banke","United Kingdom",22
"Banke","United States",29
"Bara","Australia",12
"Bara","Bahrain",3
"Bara","Bangladesh",4
"Bara","China",2
"Bara","France",3
"Bara","Germany",1
"Bara","Hong Kong SAR China",3
"Bara","Japan",6
"Bara","Kuwait",6
"Bara","Malaysia",17
"Bara","Pakistan",11
"Bara","Qatar",86
"Bara","Russia",14
"Bara","Saudi Arabia",229
"Bara","Singapore",1
"Bara","South Korea",1
"Bara","United Arab Emirates",41
"Bara","United Kingdom",7
"Bara","United States",24
"Bardiya","Australia",4
"Bardiya","Bahrain",3
"Bardiya","Bangladesh",5
"Bardiya","China",2
"Bardiya","Germany",3
"Bardiya","Hong Kong SAR China",4
"Bardiya","Japan",4
"Bardiya","Kuwait",5
"Bardiya","Malaysia",17
"Bardiya","Maldives",4
"Bardiya","Pakistan",2
"Bardiya","Qatar",30
"Bardiya","Russia",4
"Bardiya","Saudi Arabia",170
"Bardiya","Singapore",10
