"district_rename","country","year","Gender","total_migrants"
"ACHHAM","Afghanistan",2012,"Male",1
"ACHHAM","Afghanistan",2017,"Male",1
"ACHHAM","Afghanistan",2019,"Male",1
"ACHHAM","Albania",2023,"Female",1
"ACHHAM","Albania",2023,"Male",6
"ACHHAM","Albania",2024,"Male",2
"ACHHAM","Australia",2012,"Male",1
"ACHHAM","Australia",2022,"Male",1
"ACHHAM","Australia",2023,"Male",2
"ACHHAM","Azerbaijan",2024,"Male",1
"ACHHAM","Bahrain",2011,"Male",2
"ACHHAM","Bahrain",2012,"Male",7
"ACHHAM","Bahrain",2013,"Male",2
"ACHHAM","Bahrain",2014,"Male",6
"ACHHAM","Bahrain",2015,"Female",1
"ACHHAM","Bahrain",2015,"Male",6
"ACHHAM","Bahrain",2016,"Male",12
"ACHHAM","Bahrain",2017,"Male",15
"ACHHAM","Bahrain",2018,"Male",3
"ACHHAM","Bahrain",2019,"Male",11
"ACHHAM","Bahrain",2021,"Male",5
"ACHHAM","Bahrain",2022,"Male",4
"ACHHAM","Bahrain",2023,"Female",2
"ACHHAM","Bahrain",2023,"Male",16
"ACHHAM","Bahrain",2024,"Female",2
"ACHHAM","Bahrain",2024,"Male",31
"ACHHAM","Bosnia & Herzegovina",2023,"Male",5
"ACHHAM","Bosnia & Herzegovina",2024,"Male",1
"ACHHAM","Brunei",2023,"Male",1
"ACHHAM","Brunei",2024,"Male",3
"ACHHAM","Bulgaria",2023,"Male",8
"ACHHAM","Bulgaria",2024,"Female",3
"ACHHAM","Bulgaria",2024,"Male",16
"ACHHAM","Canada",2018,"Male",1
"ACHHAM","Canada",2022,"Male",1
"ACHHAM","Canada",2023,"Male",2
"ACHHAM","Canada",2024,"Female",1
"ACHHAM","Canada",2024,"Male",1
"ACHHAM","Cayman Islands",2023,"Male",2
"ACHHAM","Cayman Islands",2024,"Male",1
"ACHHAM","China",2019,"Male",1
"ACHHAM","Croatia",2020,"Male",2
"ACHHAM","Croatia",2021,"Male",4
"ACHHAM","Croatia",2022,"Female",1
"ACHHAM","Croatia",2022,"Male",33
"ACHHAM","Croatia",2023,"Female",16
"ACHHAM","Croatia",2023,"Male",94
