"dist","district","district_population_2011","year","total_migrants"
69,"Achham",257477,2009,36
69,"Achham",257477,2010,218
69,"Achham",257477,2011,342
69,"Achham",257477,2012,632
69,"Achham",257477,2013,899
69,"Achham",257477,2014,1420
69,"Achham",257477,2015,1255
69,"Achham",257477,2016,1005
69,"Achham",257477,2017,922
69,"Achham",257477,2018,566
69,"Achham",257477,2019,549
69,"Achham",257477,2020,159
69,"Achham",257477,2021,323
69,"Achham",257477,2022,1819
69,"Achham",257477,2023,3192
69,"Achham",257477,2024,2114
51,"Arghakhanchi",197632,2009,549
51,"Arghakhanchi",197632,2010,1959
51,"Arghakhanchi",197632,2011,2869
51,"Arghakhanchi",197632,2012,5562
51,"Arghakhanchi",197632,2013,6219
51,"Arghakhanchi",197632,2014,7343
51,"Arghakhanchi",197632,2015,6610
51,"Arghakhanchi",197632,2016,6351
51,"Arghakhanchi",197632,2017,6416
51,"Arghakhanchi",197632,2018,5704
51,"Arghakhanchi",197632,2019,5604
51,"Arghakhanchi",197632,2020,1806
51,"Arghakhanchi",197632,2021,4403
51,"Arghakhanchi",197632,2022,8353
51,"Arghakhanchi",197632,2023,9008
51,"Arghakhanchi",197632,2024,3720
45,"Baglung",268613,2009,1103
45,"Baglung",268613,2010,3785
45,"Baglung",268613,2011,5579
45,"Baglung",268613,2012,11035
45,"Baglung",268613,2013,10549
45,"Baglung",268613,2014,12388
45,"Baglung",268613,2015,11201
45,"Baglung",268613,2016,10584
45,"Baglung",268613,2017,10581
45,"Baglung",268613,2018,9573
45,"Baglung",268613,2019,9552
45,"Baglung",268613,2020,3002
45,"Baglung",268613,2021,6669
45,"Baglung",268613,2022,13215
45,"Baglung",268613,2023,13404
45,"Baglung",268613,2024,6007
74,"Baitadi",250898,2009,130
74,"Baitadi",250898,2010,490
74,"Baitadi",250898,2011,593
74,"Baitadi",250898,2012,1228
74,"Baitadi",250898,2013,1904
74,"Baitadi",250898,2014,2539
74,"Baitadi",250898,2015,2065
74,"Baitadi",250898,2016,1811
74,"Baitadi",250898,2017,1914
74,"Baitadi",250898,2018,1476
74,"Baitadi",250898,2019,1350
74,"Baitadi",250898,2020,497
74,"Baitadi",250898,2021,948
74,"Baitadi",250898,2022,3508
74,"Baitadi",250898,2023,4367
74,"Baitadi",250898,2024,1776
68,"Bajhang",195159,2009,64
68,"Bajhang",195159,2010,124
68,"Bajhang",195159,2011,230
68,"Bajhang",195159,2012,428
68,"Bajhang",195159,2013,714
68,"Bajhang",195159,2014,1221
68,"Bajhang",195159,2015,898
68,"Bajhang",195159,2016,717
68,"Bajhang",195159,2017,682
68,"Bajhang",195159,2018,444
68,"Bajhang",195159,2019,425
68,"Bajhang",195159,2020,144
68,"Bajhang",195159,2021,216
68,"Bajhang",195159,2022,1492
68,"Bajhang",195159,2023,2368
68,"Bajhang",195159,2024,1200
67,"Bajura",134912,2009,74
67,"Bajura",134912,2010,78
67,"Bajura",134912,2011,157
67,"Bajura",134912,2012,388
67,"Bajura",134912,2013,574
67,"Bajura",134912,2014,938
67,"Bajura",134912,2015,914
67,"Bajura",134912,2016,794
67,"Bajura",134912,2017,679
67,"Bajura",134912,2018,478
67,"Bajura",134912,2019,359
67,"Bajura",134912,2020,182
67,"Bajura",134912,2021,161
67,"Bajura",134912,2022,1266
67,"Bajura",134912,2023,1984
67,"Bajura",134912,2024,948
57,"Banke",491313,2009,559
57,"Banke",491313,2010,2562
57,"Banke",491313,2011,2632
57,"Banke",491313,2012,5481
57,"Banke",491313,2013,7139
57,"Banke",491313,2014,8775
57,"Banke",491313,2015,8094
57,"Banke",491313,2016,8031
57,"Banke",491313,2017,8541
57,"Banke",491313,2018,6803
57,"Banke",491313,2019,6353
57,"Banke",491313,2020,1937
57,"Banke",491313,2021,4744
57,"Banke",491313,2022,10039
57,"Banke",491313,2023,10022
57,"Banke",491313,2024,4648
33,"Bara",687708,2009,795
33,"Bara",687708,2010,3575
33,"Bara",687708,2011,4000
33,"Bara",687708,2012,8606
33,"Bara",687708,2013,9898
33,"Bara",687708,2014,13061
33,"Bara",687708,2015,11144
33,"Bara",687708,2016,11085
33,"Bara",687708,2017,12454
33,"Bara",687708,2018,8593
33,"Bara",687708,2019,7343
33,"Bara",687708,2020,2318
33,"Bara",687708,2021,6250
33,"Bara",687708,2022,13557
33,"Bara",687708,2023,12144
33,"Bara",687708,2024,6578
58,"Bardiya",426576,2009,516
58,"Bardiya",426576,2010,1991
58,"Bardiya",426576,2011,2321
58,"Bardiya",426576,2012,4373
58,"Bardiya",426576,2013,5505
58,"Bardiya",426576,2014,6854
58,"Bardiya",426576,2015,6376
58,"Bardiya",426576,2016,6077
58,"Bardiya",426576,2017,6322
58,"Bardiya",426576,2018,5112
58,"Bardiya",426576,2019,5342
58,"Bardiya",426576,2020,1711
58,"Bardiya",426576,2021,3785
58,"Bardiya",426576,2022,8328
58,"Bardiya",426576,2023,8427
58,"Bardiya",426576,2024,4026
26,"Bhaktapur",304651,2009,199
26,"Bhaktapur",304651,2010,762
26,"Bhaktapur",304651,2011,1228
26,"Bhaktapur",304651,2012,2182
26,"Bhaktapur",304651,2013,2324
26,"Bhaktapur",304651,2014,2892
26,"Bhaktapur",304651,2015,2477
26,"Bhaktapur",304651,2016,2308
26,"Bhaktapur",304651,2017,2215
26,"Bhaktapur",304651,2018,1790
26,"Bhaktapur",304651,2019,1801
26,"Bhaktapur",304651,2020,525
26,"Bhaktapur",304651,2021,1148
26,"Bhaktapur",304651,2022,2603
26,"Bhaktapur",304651,2023,3542
26,"Bhaktapur",304651,2024,1652
10,"Bhojpur",182459,2009,1068
10,"Bhojpur",182459,2010,3168
10,"Bhojpur",182459,2011,3507
10,"Bhojpur",182459,2012,6779
10,"Bhojpur",182459,2013,7427
10,"Bhojpur",182459,2014,8507
10,"Bhojpur",182459,2015,6931
10,"Bhojpur",182459,2016,6972
10,"Bhojpur",182459,2017,7113
10,"Bhojpur",182459,2018,5979
10,"Bhojpur",182459,2019,5714
10,"Bhojpur",182459,2020,1661
10,"Bhojpur",182459,2021,3240
10,"Bhojpur",182459,2022,8059
10,"Bhojpur",182459,2023,7748
10,"Bhojpur",182459,2024,3344
35,"Chitwan",579984,2009,1691
35,"Chitwan",579984,2010,4922
35,"Chitwan",579984,2011,6490
35,"Chitwan",579984,2012,14205
35,"Chitwan",579984,2013,15006
35,"Chitwan",579984,2014,17149
35,"Chitwan",579984,2015,14584
35,"Chitwan",579984,2016,13917
35,"Chitwan",579984,2017,13846
35,"Chitwan",579984,2018,12822
35,"Chitwan",579984,2019,12236
35,"Chitwan",579984,2020,3938
35,"Chitwan",579984,2021,8686
35,"Chitwan",579984,2022,15498
35,"Chitwan",579984,2023,16249
35,"Chitwan",579984,2024,8209
73,"Dadeldhura",142094,2009,172
73,"Dadeldhura",142094,2010,765
73,"Dadeldhura",142094,2011,804
73,"Dadeldhura",142094,2012,1495
