"dname","share_e_asia","share_gulf","share_oecd_north","share_other","share_s_asia","share_se_asia","share_oecd_europe"
"Achham",0.16304347826087,0.0652173913043478,0.0652173913043478,0.239130434782609,0.41304347826087,0.0543478260869565,0
"Arghakhanchi",0.0281553398058252,0.712621359223301,0.0339805825242718,0.115533980582524,0.0359223300970874,0.0446601941747573,0.029126213592233
"Baglung",0.045844204248975,0.685054043980619,0.022176667909057,0.0985836749906821,0.0119269474468878,0.094670145359672,0.0417443160641073
"Baitadi",0.0625,0.416666666666667,0.0763888888888889,0.145833333333333,0.194444444444444,0.0555555555555556,0.0486111111111111
"Bajhang",0.111111111111111,0.037037037037037,0.185185185185185,0.203703703703704,0.240740740740741,0.111111111111111,0.111111111111111
"Bajura",0.105263157894737,0.0526315789473684,0,0.210526315789474,0.473684210526316,0.105263157894737,0.0526315789473684
"Banke",0.0132939438700148,0.72082717872969,0.0487444608567208,0.0901033973412112,0.0295420974889217,0.0576070901033973,0.0398818316100443
"Bara",0.0161943319838057,0.738866396761134,0.0728744939271255,0.0829959514170041,0.0303643724696356,0.0364372469635627,0.0222672064777328
"Bardiya",0.0176991150442478,0.68141592920354,0.0442477876106195,0.126843657817109,0.0353982300884956,0.079646017699115,0.0147492625368732
"Bhaktapur",0.0871862615587847,0.416116248348745,0.204755614266843,0.130779392338177,0.0330250990752972,0.0383091149273448,0.0898282694848085
"Bhojpur",0.0144135188866799,0.726143141153082,0.0164015904572565,0.100397614314115,0.0198807157057654,0.0815109343936382,0.0412524850894632
"Chitawan",0.0386794295760891,0.566712248486032,0.0820472748583708,0.154327016995507,0.00820472748583708,0.0603633522172299,0.0896659503809338
"Dadeldhura",0.0961538461538462,0.25,0.0384615384615385,0.346153846153846,0.173076923076923,0.0961538461538462,0
"Dailekh",0.0365853658536585,0.304878048780488,0.024390243902439,0.268292682926829,0.109756097560976,0.134146341463415,0.121951219512195
"Dang",0.0344497607655502,0.616267942583732,0.0564593301435407,0.0947368421052632,0.0229665071770335,0.105263157894737,0.0698564593301435
"Darchula",0.0833333333333333,0.222222222222222,0.194444444444444,0.166666666666667,0.0555555555555556,0.125,0.152777777777778
"Dhading",0.00998185117967332,0.763611615245009,0.0176950998185118,0.0558076225045372,0.0158802177858439,0.102087114337568,0.0349364791288566
"Dhankuta",0.00701107011070111,0.823985239852399,0.0118081180811808,0.059409594095941,0.00516605166051661,0.0749077490774908,0.0177121771217712
"Dhanusa",0.00368351259761308,0.945631354059231,0.0116398998084573,0.0109031972889347,0.00972447325769854,0.015470752909975,0.00294681007809047
"Dolakha",0.0622950819672131,0.613114754098361,0.0491803278688525,0.0622950819672131,0.0918032786885246,0.059016393442623,0.0622950819672131
"Dolpa",0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.0833333333333333,0
"Doti",0.101694915254237,0.254237288135593,0.0508474576271186,0.169491525423729,0.288135593220339,0.0847457627118644,0.0508474576271186
"Gorkha",0.0204081632653061,0.707739699653446,0.0415864458991144,0.0897189064304967,0.0157874470542934,0.0604543704274162,0.0643049672699268
"Gulmi",0.0457746478873239,0.639788732394366,0.0404929577464789,0.140492957746479,0.0193661971830986,0.0616197183098592,0.0524647887323944
"Humla",0.294117647058824,0.0588235294117647,0.294117647058824,0.294117647058824,0,0,0.0588235294117647
"Ilam",0.00968523002421308,0.75363196125908,0.0181598062953995,0.0587167070217918,0.0187651331719128,0.0926150121065375,0.0484261501210654
"Jajarkot",0.142857142857143,0.142857142857143,0,0.142857142857143,0.214285714285714,0.285714285714286,0.0714285714285714
"Jhapa",0.0133593515460823,0.727559291504053,0.0388772140498349,0.0995196637646352,0.0168117682377664,0.0737015911137796,0.0301711197838487
"Jumla",0.19047619047619,0.0952380952380952,0.19047619047619,0.428571428571429,0.0476190476190476,0.0476190476190476,0
"Kailali",0.0943396226415094,0.29811320754717,0.120754716981132,0.241509433962264,0.158490566037736,0.0150943396226415,0.0716981132075472
"Kanchanpur",0.0443548387096774,0.44758064516129,0.112903225806452,0.145161290322581,0.0725806451612903,0.112903225806452,0.0645161290322581
"Kapilbastu",0.0150489089541008,0.817155756207675,0.018811136192626,0.0752445447705041,0.0218209179834462,0.0338600451467269,0.018058690744921
"Kaski",0.0469525384909021,0.525893879628451,0.0356279424863214,0.253976332866777,0.00496246341773763,0.0512787886499555,0.0813080544598549
"Kathmandu",0.0787391275913936,0.199136747106141,0.362697011313845,0.180629128245373,0.0219737100255052,0.029036688247989,0.127787587469753
"Kavrepalanchok",0.0514285714285714,0.538285714285714,0.130285714285714,0.126857142857143,0.048,0.0342857142857143,0.0708571428571429
"Khotang",0.00611620795107034,0.801223241590214,0.00705716302046577,0.080216419665961,0.00682192425311691,0.0689249588332157,0.0296400846859562
"Lalitpur",0.102906704172527,0.244256915142991,0.268870135958744,0.213783403656821,0.0241443975621191,0.0309423347398031,0.115096108766995
"Lamjung",0.00905840286054827,0.753754469606675,0.0214541120381406,0.109892729439809,0.00405244338498212,0.06746126340882,0.034326579261025
"Mahottari",0.00671140939597315,0.917225950782998,0.0102908277404922,0.0214765100671141,0.0232662192393736,0.0187919463087248,0.00223713646532438
"Makwanpur",0.0304487179487179,0.567307692307692,0.150641025641026,0.110576923076923,0.032051282051282,0.0496794871794872,0.0592948717948718
"Manang",0.0419161676646707,0.131736526946108,0.191616766467066,0.455089820359281,0,0.101796407185629,0.0778443113772455
"Morang",0.0127597109304426,0.735320686540199,0.033423667570009,0.11449864498645,0.0125338753387534,0.0705736224028907,0.0208897922312556
"Mugu",0,0.105263157894737,0.0526315789473684,0.526315789473684,0.0526315789473684,0.263157894736842,0
"Mustang",0.247443762781186,0.186094069529652,0.329243353783231,0.139059304703476,0.0081799591002045,0.0224948875255624,0.0674846625766871
"Myagdi",0.0231136580706781,0.778605539637058,0.0223495702005731,0.0796561604584527,0.00286532951289398,0.0552053486150907,0.0382043935052531
"Nawalparasi",0.0165626500240038,0.745799327892463,0.0268843014882381,0.101776284205473,0.0103216514642343,0.0679308689390302,0.0307249159865578
"Nuwakot",0.0204918032786885,0.742622950819672,0.0344262295081967,0.0581967213114754,0.0254098360655738,0.0950819672131148,0.0237704918032787
"Okhaldhunga",0.00726392251815981,0.684422921711057,0.0274414850686037,0.0831315577078289,0.0322841000807102,0.0920096852300242,0.0734463276836158
"Palpa",0.0102783725910064,0.765310492505353,0.0179871520342612,0.0963597430406852,0.00985010706638116,0.0603854389721627,0.0398286937901499
"Panchthar",0.00224775224775225,0.815184815184815,0.003996003996004,0.0529470529470529,0.0127372627372627,0.0901598401598402,0.0227272727272727
"Parbat",0.015625,0.756453804347826,0.0166440217391304,0.115489130434783,0.0118885869565217,0.047554347826087,0.0363451086956522
"Parsa",0.0292553191489362,0.577127659574468,0.125,0.117021276595745,0.0718085106382979,0.0372340425531915,0.0425531914893617
"Pyuthan",0.036281179138322,0.564625850340136,0.0430839002267574,0.124716553287982,0.054421768707483,0.154195011337868,0.0226757369614512
"Ramechhap",0.0116129032258065,0.735483870967742,0.0245161290322581,0.103225806451613,0.0490322580645161,0.0438709677419355,0.032258064516129
"Rasuwa",0.0571428571428571,0.571428571428571,0.0714285714285714,0.157142857142857,0.0857142857142857,0,0.0571428571428571
"Rautahat",0.0297872340425532,0.659574468085106,0.0851063829787234,0.0893617021276596,0.0936170212765957,0.0212765957446809,0.0212765957446809
"Rolpa",0.00516795865633075,0.882859603789836,0.00516795865633075,0.0335917312661499,0.0267011197243755,0.0301464254952627,0.016365202411714
"Rukum",0.00366300366300366,0.879120879120879,0.00549450549450549,0.0183150183150183,0.00915750915750916,0.0549450549450549,0.0293040293040293
"Rupandehi",0.0353982300884956,0.53834808259587,0.0421173385775156,0.248279252704031,0.00803015404785316,0.0678466076696165,0.0599803343166175
"Salyan",0,0.666666666666667,0,0.256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256
"Sankhuwasabha",0.00685673042223024,0.805485384337784,0.0126308191988452,0.0808372428726092,0.0133525802959221,0.062432334897149,0.0184049079754601
"Saptari",0.00816802800466744,0.889148191365227,0.0268378063010502,0.0303383897316219,0.029171528588098,0.00816802800466744,0.00816802800466744
"Sarlahi",0.0524534686971235,0.651438240270728,0.0592216582064298,0.115059221658206,0.0456852791878173,0.0355329949238579,0.0406091370558376
"Sindhuli",0.0103986135181976,0.814558058925477,0.0277296360485269,0.0641247833622184,0.0502599653379549,0.0277296360485269,0.00519930675909879
"Sindhupalchok",0.0705725699067909,0.525965379494008,0.0892143808255659,0.145139813581891,0.0878828229027963,0.0545938748335553,0.0266311584553928
"Siraha",0.0046347793845013,0.959399332591769,0.00593251761216166,0.010567296996663,0.0046347793845013,0.0133481646273637,0.00148312940304042
"Solukhumbu",0.0564236111111111,0.405381944444444,0.237847222222222,0.0928819444444444,0.0381944444444444,0.0755208333333333,0.09375
"Sunsari",0.0149299207800122,0.418342474101158,0.0421998781230957,0.360755636806825,0.0117306520414381,0.0615478366849482,0.0904936014625228
"Surkhet",0.0357142857142857,0.346428571428571,0.0642857142857143,0.203571428571429,0.0428571428571429,0.196428571428571,0.110714285714286
"Syangja",0.0127491207502931,0.718200468933177,0.0196365767878077,0.130128956623681,0.00674091441969519,0.0769343493552169,0.035609613130129
"Tanahu",0.0078875663272623,0.80553563745877,0.0174960562168364,0.0804531765380754,0.00903484870213681,0.0450308332138248,0.0345618815430948
"Taplejung",0.00689154878491114,0.703663402248821,0.0126949582879942,0.135291984040624,0.00797968806673921,0.0990206746463547,0.0344577439245557
"Terhathum",0.00647109577221743,0.726056945642796,0.00862812769628991,0.087144089732528,0.00862812769628991,0.122950819672131,0.0401207937877481
"Udayapur",0.0153698366954851,0.703170028818444,0.0268972142170989,0.120076849183477,0.0259365994236311,0.0749279538904899,0.0336215177713737
