dname,year,DIST,founding_year_ad,n_new_firms,emp_new_firms,rev_new_firms,cap_new_firms,n_new_firms_size_micro_1,n_new_firms_size_small_2_9,n_new_firms_size_medium_10_50,n_new_firms_size_large_51p,n_new_firms_education_health_social,n_new_firms_manufacturing,n_new_firms_other_services,n_new_firms_trade_retail,n_new_firms_finance_prof_realestate,n_new_firms_hospitality_food,n_new_firms_transport_storage,n_new_firms_agriculture,n_new_firms_construction,log_n_new_firms,log_emp_new_firms,log_rev_new_firms,log_cap_new_firms,log_n_new_firms_size_micro_1,log_n_new_firms_size_small_2_9,log_n_new_firms_size_medium_10_50,log_n_new_firms_size_large_51p,log_n_new_firms_education_health_social,log_n_new_firms_manufacturing,log_n_new_firms_other_services,log_n_new_firms_trade_retail,log_n_new_firms_finance_prof_realestate,log_n_new_firms_hospitality_food,log_n_new_firms_transport_storage,log_n_new_firms_agriculture,log_n_new_firms_construction
Achham,1980,707,1980,5,34,13463820,19437970,1,2,2,0,4,0,0,0,0,1,0,0,0,1.791759469228055,3.5553480614894135,16.41551672005258,16.7827389791214,0.6931471805599453,1.0986122886681098,1.0986122886681098,0,1.6094379124341003,0,0,0,0,0.6931471805599453,0,0,0
Achham,1981,707,1981,17,143,86476476,97872716,4,9,4,0,11,1,0,3,0,0,1,1,0,2.8903717578961645,4.969813299576001,18.27538299272259,18.399178386332697,1.6094379124341003,2.302585092994046,1.6094379124341003,0,2.4849066497880004,0.6931471805599453,0,1.3862943611198906,0,0,0.6931471805599453,0.6931471805599453,0
Achham,1982,707,1982,11,59,15417180,33785426,2,8,1,0,6,0,0,3,0,1,1,0,0,2.4849066497880004,4.0943445622221,16.550993094860257,17.33554011363355,1.0986122886681098,2.1972245773362196,0.6931471805599453,0,1.9459101490553132,0,0,1.3862943611198906,0,0.6931471805599453,0.6931471805599453,0,0
Achham,1983,707,1983,16,100,120822660,52003868,2,12,2,0,10,2,0,3,0,1,0,0,0,2.833213344056216,4.61512051684126,18.609834416931587,17.766828677624027,1.0986122886681098,2.5649493574615367,1.0986122886681098,0,2.3978952727983707,1.0986122886681098,0,1.3862943611198906,0,0.6931471805599453,0,0,0
Achham,1984,707,1984,9,46,25632504,28984025,2,6,1,0,6,0,0,2,0,1,0,0,0,2.302585092994046,3.8501476017100584,17.059371830591225,17.182255408603293,1.0986122886681098,1.9459101490553132,0.6931471805599453,0,1.9459101490553132,0,0,1.0986122886681098,0,0.6931471805599453,0,0,0
Achham,1985,707,1985,15,87,15203532,34022930,2,10,3,0,8,0,0,1,0,4,1,1,0,2.772588722239781,4.477336814478207,16.537038393018385,17.342545296423665,1.0986122886681098,2.3978952727983707,1.3862943611198906,0,2.1972245773362196,0,0,0.6931471805599453,0,1.6094379124341003,0.6931471805599453,0.6931471805599453,0
Achham,1986,707,1986,7,36,4693236,16482265,0,7,0,0,3,0,0,1,1,0,2,0,0,2.0794415416798357,3.6109179126442243,15.361633094247226,16.61779557299334,0,2.0794415416798357,0,0,1.3862943611198906,0,0,0.6931471805599453,0.6931471805599453,0,1.0986122886681098,0,0
Achham,1987,707,1987,12,62,19406412,46212148,3,8,1,0,7,1,2,2,0,0,0,0,0,2.5649493574615367,4.143134726391533,16.78111413641863,17.6487532868506,1.3862943611198906,2.1972245773362196,0.6931471805599453,0,2.0794415416798357,0.6931471805599453,1.0986122886681098,1.0986122886681098,0,0,0,0,0
Achham,1988,707,1988,30,191,114024120,69761798,4,23,3,0,17,0,0,6,0,3,2,2,0,3.4339872044851463,5.2574953720277815,18.55192057169654,18.060597125649913,1.6094379124341003,3.1780538303479458,1.3862943611198906,0,2.8903717578961645,0,0,1.9459101490553132,0,1.3862943611198906,1.0986122886681098,1.0986122886681098,0
Achham,1989,707,1989,26,150,76947084,92709331,4,18,4,0,19,0,0,5,0,1,1,0,0,3.295836866004329,5.017279836814924,18.15862853579024,18.34497969429348,1.6094379124341003,2.9444389791664403,1.6094379124341003,0,2.995732273553991,0,0,1.791759469228055,0,0.6931471805599453,0.6931471805599453,0,0
Achham,1990,707,1990,10,33,8711076,26803000,3,7,0,0,4,2,0,2,0,1,0,1,0,2.3978952727983707,3.5263605246161616,15.980105992160423,17.104024416824,1.3862943611198906,2.0794415416798357,0,0,1.6094379124341003,1.0986122886681098,0,1.0986122886681098,0,0.6931471805599453,0,0.6931471805599453,0
Achham,1991,707,1991,27,145,31587612,89974689,3,22,2,0,21,0,0,2,0,3,0,1,0,3.332204510175204,4.983606621708336,17.268275608036653,18.315038966521932,1.3862943611198906,3.1354942159291497,1.0986122886681098,0,3.091042453358316,0,0,1.0986122886681098,0,1.3862943611198906,0,0.6931471805599453,0
Achham,1992,707,1992,30,160,31256868,55541043,1,26,3,0,23,0,0,2,0,2,0,3,0,3.4339872044851463,5.081404364984463,17.257749717992446,17.832632836929495,0.6931471805599453,3.295836866004329,1.3862943611198906,0,3.1780538303479458,0,0,1.0986122886681098,0,1.0986122886681098,0,1.3862943611198906,0
Achham,1993,707,1993,55,236,314140560,325340812,10,41,4,0,22,4,2,20,0,5,1,1,0,4.02535169073515,5.4680601411351315,19.565351090205542,19.60038384622366,2.3978952727983707,3.7376696182833684,1.6094379124341003,0,3.1354942159291497,1.6094379124341003,1.0986122886681098,3.044522437723423,0,1.791759469228055,0.6931471805599453,0.6931471805599453,0
Achham,1994,707,1994,36,139,27236148,37114560,7,29,0,0,19,0,1,10,1,1,0,4,0,3.6109179126442243,4.941642422609304,17.120055656270573,17.429519930361987,2.0794415416798357,3.4011973816621555,0,0,2.995732273553991,0,0.6931471805599453,2.3978952727983707,0.6931471805599453,0.6931471805599453,0,1.6094379124341003,0
Achham,1995,707,1995,70,304,110500548,100077676599,17,50,2,1,32,2,4,14,0,7,0,11,0,4.2626798770413155,5.720311776607412,18.520531047235533,25.329212487407926,2.8903717578961645,3.9318256327243257,1.0986122886681098,0.6931471805599453,3.4965075614664802,1.0986122886681098,1.6094379124341003,2.70805020110221,0,2.0794415416798357,0,2.4849066497880004,0
Achham,1996,707,1996,32,121,16191132,26577555,7,25,0,0,15,1,1,5,0,1,0,9,0,3.4965075614664802,4.804021044733257,16.59997430467527,17.09557765818811,2.0794415416798357,3.258096538021482,0,0,2.772588722239781,0.6931471805599453,0.6931471805599453,1.791759469228055,0,0.6931471805599453,0,2.302585092994046,0
Achham,1997,707,1997,61,318,135619200,74326951,15,44,1,1,24,1,4,21,0,4,2,5,0,4.127134385045092,5.765191102784844,18.725361523741178,18.12398418953754,2.772588722239781,3.8066624897703196,0.6931471805599453,0.6931471805599453,3.2188758248682006,0.6931471805599453,1.6094379124341003,3.091042453358316,0,1.6094379124341003,1.0986122886681098,1.791759469228055,0
