dname_raw,year,n_hh,n_hh_with_intl_migrant,n_total_migrants,n_intl_migrants,remit_amount_intl_12m_rs,remit_amount_total_12m_rs,wt_intl_migrants,wt_remit_intl
Achham,2016,93,30,58,46,867000,912000,2342315.971069336,44147564063.41553
Achham,2017,97,51,103,79,1759098,1820098,4195691.277770996,93425723232.20764
Achham,2018,106,50,118,80,2982000,3182000,4643019.970703125,173068569407.95898
Baglung,2016,85,47,105,73,10785000,10890000,4682267.095336914,691756857852.1729
Baglung,2017,87,51,142,77,16078000,16561000,5055037.432983398,1055518075941.6504
Baglung,2018,90,45,132,75,13058000,13923000,5093521.820068359,886816105686.0352
Baitadi,2016,83,28,66,35,495000,810000,1590562.8555297852,22495103242.492676
Baitadi,2017,86,36,96,46,1940000,2852000,2166012.618408203,91349227819.82422
Baitadi,2018,90,35,86,44,4320000,5050500,2168202.7221679688,212878085449.21875
Bajhang,2016,70,14,20,18,492000,492000,737797.21435546875,20166457192.382813
Bajhang,2017,73,26,66,50,885000,885000,2137269.708251953,37829673836.05957
Bajhang,2018,75,29,68,55,3130003,3220003,2415407.5469970703,137458779424.0631
Bajura,2016,39,9,31,19,587000,707000,433895.0284423828,13405072720.825195
Bajura,2017,40,10,40,23,604000,624000,538709.0771484375,14146968808.59375
Bajura,2018,45,10,39,23,1120000,1255000,606047.7117919922,29511888574.21875
Banke,2016,174,53,91,68,5497000,6727000,7890892.5234375,637885826490.2344
Banke,2017,178,57,138,80,7189572,9354738,9496814.53125,853475398038.3516
Banke,2018,190,55,126,70,10244000,13237000,8869918.06640625,1298049152460.9375
Bara,2016,130,23,36,25,3906000,4051000,3219228.744506836,502972299041.74805
Bara,2017,130,24,42,26,5154000,5549000,3347997.8942871094,663676197967.5293
Bara,2018,136,30,52,32,5052000,5612000,4310794.921875,680566748291.0156
Bhojpur,2016,87,28,81,36,3417000,3638500,1705258.9204101563,161857492528.93066
Bhojpur,2017,90,37,95,45,5860000,5970000,2205076.190185547,287149921655.27344
Bhojpur,2018,90,39,104,47,6227000,6747000,2303079.5764160156,305133543028.56445
Dailekh,2016,101,41,112,58,2619000,2874000,3621828.9923095703,163544312601.01318
Dailekh,2017,103,36,138,54,1572300,1832300,3438820.903930664,100127001986.1145
Dailekh,2018,105,38,141,54,3010000,3330000,3505594.125366211,195404413284.30176
Dang,2016,175,48,86,53,7976000,9513000,6185600.7568359375,930874559179.6875
Dang,2017,176,51,114,58,11448000,12569500,6807828.84375,1343724562125
Dang,2018,186,42,118,49,12150000,14210000,6078228.064453125,1507152469042.9688
Darchula,2016,56,13,56,17,1134000,1634000,557446.7841796875,37184979603.515625
Darchula,2017,58,17,86,24,1161000,1721000,815090.255859375,39429991127.197266
Darchula,2018,60,16,78,22,2013000,2976500,772930.4150390625,70723132976.07422
Dhading,2016,170,53,126,62,7848300,8333300,5137840.21118164,650375989184.143
Dhading,2017,172,54,154,62,7994000,8986000,5198285.390136718,670243442076.66
Dhading,2018,180,43,168,51,8325000,10565000,4474893.087158202,730460489227.2948
Dhankuta,2016,74,35,53,40,6585000,6585000,1611611.240234375,265311500423.58398
Dhankuta,2017,74,32,56,37,7508000,7508000,1490740.3972167969,302499429791.9922
Dhankuta,2018,75,33,65,37,7636000,7666000,1510885.5377197266,311814107189.9414
Dhanusha,2016,160,62,65,65,14791000,14791000,10301531.982421875,2344153223876.953
Dhanusha,2017,163,81,123,92,16893000,16893000,14854016.693115234,2727488086921.692
Dhanusha,2018,165,80,125,93,15440000,15450000,15199712.3336792,2523479122924.8047
Dolakha,2016,72,14,49,15,1292000,1501000,632397.6123046875,54470514339.84375
Dolakha,2017,74,16,70,17,1600000,2435000,736626.1076660156,69329516015.625
Dolakha,2018,75,16,67,17,2820000,3450000,746580.5145263672,123844532409.66797
Doti,2016,68,27,41,37,1203000,1283000,1377575.2648925781,44789811990.9668
Doti,2017,74,35,60,50,1696000,1836000,2025845.9777832031,68716695566.40625
Doti,2018,76,44,81,69,4673000,4773000,2871226.0290527344,194452742518.31055
Gorkha,2016,68,18,27,20,3705000,3830000,1026250.322265625,190112872199.70703
Gorkha,2017,71,23,86,29,2805000,3139000,1553712.8040771484,150281531566.77246
Gorkha,2018,75,18,90,22,3090000,3580000,1245083.1115722656,174877582489.01367
