dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
census,absent_hh_share,lin,0,M2,-0.0092823675455187,0.02981368894890422,0.756413162524354,,0.24070385950673548,150
census,absent_hh_share,lin,0,M3,-0.02232430273898117,0.030564104505688798,0.46744628035615143,,0.24070385950673548,150
census,absent_hh_share,lin,0,M4,0.006546889537358351,0.029155887043926815,0.8229499656999681,,0.24070385950673548,150
census,absent_hh_share,lin,0,M5,0.02251927871669064,0.024281973673466822,0.35673014309034967,,0.24070385950673548,150
census,absent_hh_share,lin,1,M2,-0.024380994843272052,0.04025701374545129,0.5466112600920445,,0.24070385950673548,150
census,absent_hh_share,lin,1,M3,-0.0396863245782913,0.035358388176353436,0.265320180549506,,0.24070385950673548,150
census,absent_hh_share,lin,1,M4,-0.0039062109783686155,0.03318308982057095,0.9066108978918681,,0.24070385950673548,150
census,absent_hh_share,lin,1,M5,0.01964429758876729,0.02987419790409969,0.512856429134982,,0.24070385950673548,150
census,absent_hh_share,lin,2,M2,-0.0331494938956709,0.056801324721564184,0.5612612478410146,,0.24070385950673548,150
census,absent_hh_share,lin,2,M3,-0.054334724406577335,0.050419341419827755,0.2846876506427579,,0.24070385950673548,150
census,absent_hh_share,lin,2,M4,-0.003383673278856851,0.047448335267509884,0.9433411967957128,,0.24070385950673548,150
census,absent_hh_share,lin,2,M5,0.029073218166035114,0.04233733826427429,0.49441560442252774,,0.24070385950673548,150
census,absent_hh_share,lin,3,M2,-0.0329888373728755,0.05787261858530517,0.5703873827249646,,0.24070385950673548,150
census,absent_hh_share,lin,3,M3,-0.05396651395306371,0.05163565185058959,0.29936008302058975,,0.24070385950673548,150
census,absent_hh_share,lin,3,M4,-0.0019592538419338015,0.0484225440072982,0.9678340848454201,,0.24070385950673548,150
census,absent_hh_share,lin,3,M5,0.030814711952114347,0.04304981422139413,0.4763724462430633,,0.24070385950673548,150
census,absent_hh_share,lin,5,M2,-0.04778633277349087,0.08380462327746636,0.5702617506330787,,0.24070385950673548,150
census,absent_hh_share,lin,5,M3,-0.08004579977727772,0.07409907976271228,0.28353744391699826,,0.24070385950673548,150
census,absent_hh_share,lin,5,M4,-0.005090697337879936,0.06952726597472647,0.941829621876611,,0.24070385950673548,150
census,absent_hh_share,lin,5,M5,0.04429314195102102,0.06250009752963764,0.480744038632557,,0.24070385950673548,150
census,absent_hh_share,log,0,M2,-0.02747647311831347,0.020783242292486,0.1902238277561705,,0.24070385950673548,150
census,absent_hh_share,log,0,M3,-0.03652104128315774,0.018191142141263793,0.04833437184648511,**,0.24070385950673548,150
census,absent_hh_share,log,0,M4,-0.0026630978639664675,0.024456851970323937,0.9135847537280218,,0.24070385950673548,150
census,absent_hh_share,log,0,M5,0.016745205220525416,0.02164805914679995,0.4416787941212773,,0.24070385950673548,150
census,absent_hh_share,log,1,M2,-0.0383372300909528,0.02801516809850281,0.17531310421596616,,0.24070385950673548,150
