dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
hh,capex_12m,lin,0,M2,28571.01554797731,28004.9150775448,0.3126376746277717,,19331.580044421666,17362
hh,capex_12m,lin,0,M3,10116.284648220058,23804.22540967079,0.6727128083583089,,19331.580044421666,17362
hh,capex_12m,lin,0,M4,7159.4656845197405,31738.821171858064,0.8224706615929013,,19331.580044421666,17362
hh,capex_12m,lin,1,M2,-3823.43378941682,8388.66101686363,0.6505574669863011,,19331.580044421666,17362
hh,capex_12m,lin,1,M3,-2547.032902994133,7857.37838519122,0.7471980415789538,,19331.580044421666,17362
hh,capex_12m,lin,1,M4,-5264.635598532727,8475.27211458475,0.5373629629766852,,19331.580044421666,17362
hh,capex_12m,lin,2,M2,-726.1873470867158,3025.55342983054,0.8113175735558714,,19331.580044421666,17362
hh,capex_12m,lin,2,M3,-705.4515181471073,2863.0892934813373,0.8064056074297413,,19331.580044421666,17362
hh,capex_12m,lin,2,M4,-1722.7205861701984,3199.7689218398873,0.5927459236094172,,19331.580044421666,17362
hh,capex_12m,lin,3,M2,-3107.9661625060107,2856.9710525617165,0.28198179689441266,,19331.580044421666,17362
hh,capex_12m,lin,3,M3,-1373.7424659853202,2431.030121467108,0.5745931468522003,,19331.580044421666,17362
hh,capex_12m,lin,3,M4,-1728.9208198547121,2832.9316404641877,0.5444874411866933,,19331.580044421666,17362
hh,capex_12m,lin,5,M2,-83565.95827278867,79624.34130020037,0.2990957313821591,,19331.580044421666,17362
hh,capex_12m,lin,5,M3,-39224.0365462772,69222.25121515569,0.5735458831022207,,19331.580044421666,17362
hh,capex_12m,lin,5,M4,-51257.43810177618,77085.34066498937,0.5092039375226378,,19331.580044421666,17362
hh,capex_12m,log,0,M2,40711.10818980972,30605.84675328874,0.18961914095201934,,19331.580044421666,17362
hh,capex_12m,log,0,M3,15637.13310650477,22420.42093459263,0.4888171688085894,,19331.580044421666,17362
hh,capex_12m,log,0,M4,13986.794009943436,42232.21065419487,0.7419148451554698,,19331.580044421666,17362
hh,capex_12m,log,1,M2,-2318.495961625391,9728.044834567287,0.812618169442669,,19331.580044421666,17362
hh,capex_12m,log,1,M3,-1143.6301212224314,7596.268491845846,0.8809475242133871,,19331.580044421666,17362
hh,capex_12m,log,1,M4,-5007.0137597019,9472.538698960161,0.5994815847316677,,19331.580044421666,17362
hh,capex_12m,log,2,M2,61.780234607153034,3446.9559423862356,0.9857729610083028,,19331.580044421666,17362
hh,capex_12m,log,2,M3,-102.86858289825682,2747.0407574591195,0.9702807038363814,,19331.580044421666,17362
hh,capex_12m,log,2,M4,-1506.2234125123682,3589.426432522044,0.6765915019860909,,19331.580044421666,17362
hh,capex_12m,log,3,M2,-3721.949058438981,3302.078528627113,0.26516714309798667,,19331.580044421666,17362
hh,capex_12m,log,3,M3,-1521.9291983873659,2372.2593380223007,0.52415354528398606,,19331.580044421666,17362
hh,capex_12m,log,3,M4,-2258.130849565152,3709.5230192999584,0.5455094323782639,,19331.580044421666,17362
hh,capex_12m,log,5,M2,-93688.52985591581,93585.05897930202,0.3216940500223561,,19331.580044421666,17362
hh,capex_12m,log,5,M3,-40023.39679247076,68565.61828576405,0.5620835501284023,,19331.580044421666,17362
hh,capex_12m,log,5,M4,-62809.337932175324,98129.76561833246,0.5251126746633447,,19331.580044421666,17362
hh,capex_12m,raw,0,M2,8601.133702118548,2461.4133076899466,0.0010182925774934904,***,19331.580044421666,17362
hh,capex_12m,raw,0,M3,2240.7239445671257,5272.558030129299,0.672712808356716,,19331.580044421666,17362
hh,capex_12m,raw,0,M4,1585.7982201309849,7030.045025912959,0.8224706615938178,,19331.580044421666,17362
hh,capex_12m,raw,1,M2,-726.2990184861997,1117.5679487365333,0.5187969991101542,,19331.580044421666,17362
hh,capex_12m,raw,1,M3,-564.1594529706854,1740.383599427137,0.747198041578905,,19331.580044421666,17362
hh,capex_12m,raw,1,M4,-1166.09955680649,1877.245038459699,0.5373629629771852,,19331.580044421666,17362
hh,capex_12m,raw,2,M2,-62.6049084375168,394.85261306852146,0.8746730412200966,,19331.580044421666,17362
hh,capex_12m,raw,2,M3,-156.2552027131792,634.1649091853784,0.8064056074304146,,19331.580044421666,17362
hh,capex_12m,raw,2,M4,-381.57697231783845,708.738345099405,0.5927459236089838,,19331.580044421666,17362
hh,capex_12m,raw,3,M2,-837.3255469197659,317.74707576294827,0.011226918162970858,**,19331.580044421666,17362
hh,capex_12m,raw,3,M3,-304.2794607098758,538.465216475781,0.5745931468518308,,19331.580044421666,17362
hh,capex_12m,raw,3,M4,-382.9503037884009,627.4850877301369,0.544487441185755,,19331.580044421666,17362
hh,capex_12m,raw,5,M2,-21612.84427103144,9654.96660839831,0.029762738970539243,**,19331.580044421666,17362
hh,capex_12m,raw,5,M3,-8687.995738836464,15332.501993012846,0.5735458798813531,,19331.580044421666,17362
hh,capex_12m,raw,5,M4,-11353.354805557252,17074.15053687822,0.5092039333826623,,19331.580044421666,17362
