dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
nec_cs,emp_total,lin,0,M2,-34570.090794166295,22119.873929622405,0.1224723563834595,,43046.09333333333,75
nec_cs,emp_total,lin,0,M3,-31505.378112869075,18324.908118362655,0.08992324082685361,*,43046.09333333333,75
nec_cs,emp_total,lin,0,M4,-27347.9257058004,11379.254105138212,0.019109657934318274,**,43046.09333333333,75
nec_cs,emp_total,lin,1,M2,-34622.20518100865,22128.50841963227,0.12206226470966068,,43046.09333333333,75
nec_cs,emp_total,lin,1,M3,-31565.318181322156,18332.29491436604,0.0894524221721461,*,43046.09333333333,75
nec_cs,emp_total,lin,1,M4,-27413.85434070191,11402.651668446322,0.019068975876549564,**,43046.09333333333,75
nec_cs,emp_total,lin,2,M2,-34591.48322060727,22121.893892506458,0.12227852514161593,,43046.09333333333,75
nec_cs,emp_total,lin,2,M3,-31550.634883678154,18330.315308849702,0.08956461910127583,*,43046.09333333333,75
nec_cs,emp_total,lin,2,M4,-27400.651157876026,11396.98121996513,0.019067174827408957,**,43046.09333333333,75
nec_cs,emp_total,lin,3,M2,-34550.40144149129,22129.170576241097,0.12283661874714807,,43046.09333333333,75
nec_cs,emp_total,lin,3,M3,-31508.24854960275,18325.613182234512,0.08990667349143155,*,43046.09333333333,75
nec_cs,emp_total,lin,3,M4,-27299.900597631065,11341.241099884184,0.01892748727759168,**,43046.09333333333,75
nec_cs,emp_total,lin,5,M2,35811.91967715527,22672.844124227446,0.11860334492376752,,43046.09333333333,75
nec_cs,emp_total,lin,5,M3,32921.383656965256,18714.125798605095,0.08285638486509654,*,43046.09333333333,75
nec_cs,emp_total,lin,5,M4,29111.899333045563,12286.609012689132,0.020796627269940606,**,43046.09333333333,75
nec_cs,emp_total,log,0,M2,-39768.24478949122,25465.532145320205,0.1227554838645665,,43046.09333333333,75
nec_cs,emp_total,log,0,M3,-37969.99347192333,22190.97968425773,0.0914368712656755,*,43046.09333333333,75
nec_cs,emp_total,log,0,M4,-40698.62618504267,16172.893877537752,0.014331164231622725,**,43046.09333333333,75
nec_cs,emp_total,log,1,M2,-39855.66979577105,25483.32822367699,0.12220485394357562,,43046.09333333333,75
nec_cs,emp_total,log,1,M3,-38071.7938905021,22206.218781637333,0.0908056472102161,*,43046.09333333333,75
nec_cs,emp_total,log,1,M4,-40851.751168556926,16195.762138265589,0.014114457814266958,**,43046.09333333333,75
nec_cs,emp_total,log,2,M2,-39843.630686602264,25487.125612540123,0.12237062339655895,,43046.09333333333,75
nec_cs,emp_total,log,2,M3,-38075.37302383959,22211.426721671716,0.09085011241516243,*,43046.09333333333,75
nec_cs,emp_total,log,2,M4,-40901.64451601221,16196.741376252741,0.014008041674781934,**,43046.09333333333,75
nec_cs,emp_total,log,3,M2,-39799.224582500516,25495.951286806536,0.12290833486164272,,43046.09333333333,75
nec_cs,emp_total,log,3,M3,-38040.22112736273,22200.776780867076,0.09099072803047438,*,43046.09333333333,75
nec_cs,emp_total,log,3,M4,-40896.67526711262,16164.99138471179,0.01384043383151547,**,43046.09333333333,75
nec_cs,emp_total,log,5,M2,40725.59187909315,25415.83652954885,0.11345213722341695,,43046.09333333333,75
nec_cs,emp_total,log,5,M3,38945.964193791966,21986.182927515267,0.08078823510382804,*,43046.09333333333,75
nec_cs,emp_total,log,5,M4,40948.17613938674,16266.44835944139,0.014299095102434819,**,43046.09333333333,75
nec_cs,emp_total,raw,0,M2,595.2267128479548,531.1584591343216,0.2661736825216608,,43046.09333333333,75
nec_cs,emp_total,raw,0,M3,-6978.338152168111,4058.907180838151,0.08992324082685396,*,43046.09333333333,75
nec_cs,emp_total,raw,0,M4,-6057.4760490651515,2520.4675462271607,0.019109657934318982,**,43046.09333333333,75
nec_cs,emp_total,raw,1,M2,591.9401227590868,530.7448454524458,0.2684303313769805,,43046.09333333333,75
nec_cs,emp_total,raw,1,M3,-6991.614681179515,4060.5433319799827,0.08945242217214616,*,43046.09333333333,75
nec_cs,emp_total,raw,1,M4,-6072.079025947607,2525.6500299325153,0.019068975876549564,**,43046.09333333333,75
nec_cs,emp_total,raw,2,M2,595.1336214252892,530.6005313475601,0.26574970110934393,,43046.09333333333,75
nec_cs,emp_total,raw,2,M3,-6988.362378801715,4060.104855836259,0.08956461910127622,*,43046.09333333333,75
nec_cs,emp_total,raw,2,M4,-6069.154564158404,2524.3940441501795,0.019067174827408905,**,43046.09333333333,75
nec_cs,emp_total,raw,3,M2,615.0119455492159,532.841120742266,0.25222976930188934,,43046.09333333333,75
nec_cs,emp_total,raw,3,M3,-6978.973944511276,4059.063350178491,0.0899066734914317,*,43046.09333333333,75
nec_cs,emp_total,raw,3,M4,-6046.838644765516,2512.0477899591156,0.0189274872775917,**,43046.09333333333,75
nec_cs,emp_total,raw,5,M2,-461.71726999660336,528.0178712156405,0.3847889464847689,,43046.09333333333,75
nec_cs,emp_total,raw,5,M3,7291.978746375494,4145.117623315743,0.08285638486509626,*,43046.09333333333,75
