group,outcome,beta_dz,se_dz,t_dz,p_dz,beta_inter,se_inter,t_inter,p_inter,mean_dy,n
amenities,amen_water_piped,0.0332,0.0107,3.1,0.0019,-0.0052,0.0118,-0.44,0.6588,0.1108,75
amenities,amen_water_traditional,-0.0229,0.0102,-2.24,0.0249,-0.0101,0.0103,-0.98,0.3269,-0.1143,75
amenities,amen_cooking_modern,0.0102,0.0098,1.04,0.2981,0.0087,0.0103,0.84,0.3999,0.1473,75
amenities,amen_cooking_traditional,-0.0089,0.0097,-0.92,0.3583,-0.0089,0.0104,-0.85,0.3932,-0.143,75
amenities,amen_lighting_electricity,0.0836,0.0112,7.46,0.0,-0.0152,0.0129,-1.19,0.2357,0.2727,75
amenities,amen_toilet_modern,0.0381,0.0239,1.59,0.1116,-0.0091,0.027,-0.34,0.7355,0.2905,75
amenities,amen_toilet_any,0.0981,0.0228,4.31,0.0,-0.0071,0.0242,-0.29,0.7697,0.3613,75
assets,amen_assets_radio,0.0489,0.0097,5.03,0.0,-0.0345,0.011,-3.13,0.0017,-0.1384,75
assets,amen_assets_tv,-0.0337,0.011,-3.07,0.0021,-0.0098,0.0152,-0.64,0.5196,0.1325,75
assets,amen_assets_cycle,-0.0002,0.0037,-0.06,0.9529,0.0008,0.003,0.26,0.7928,0.01,75
assets,amen_assets_motorcycle,0.0007,0.0097,0.07,0.9412,0.0192,0.008,2.4,0.0163,0.1127,75
assets,amen_assets_car,-0.0046,0.0011,-4.33,0.0,0.0022,0.0014,1.53,0.1253,0.0091,75
assets,amen_assets_fridge,-0.0242,0.0084,-2.89,0.0039,0.0124,0.0071,1.74,0.081,0.0899,75
assets,amen_assets_landline,0.0067,0.0032,2.07,0.0385,-0.0135,0.005,-2.71,0.0067,-0.021,75
assets,amen_assets_mobile,0.0628,0.0106,5.94,0.0,-0.0333,0.0113,-2.94,0.0033,0.3328,75
assets,amen_assets_computer,-0.0091,0.0018,-4.95,0.0,0.0057,0.0023,2.51,0.012,0.0483,75
assets,amen_assets_internet,-0.0525,0.0115,-4.57,0.0,0.0296,0.0138,2.15,0.0317,0.2584,75
assets,amen_asset_count_mean,0.0652,0.0465,1.4,0.1605,-0.0002,0.0492,-0.0,0.9968,1.5262,75
industry,ind_agri_forestry_fish,0.0008,0.0066,0.12,0.9009,0.0045,0.0069,0.65,0.5153,-0.0141,75
industry,ind_manufacturing,0.0023,0.0016,1.47,0.1406,-0.0052,0.0023,-2.31,0.021,-0.0189,75
industry,ind_construction,0.0089,0.0031,2.9,0.0038,0.0049,0.0028,1.74,0.0818,0.0325,75
industry,ind_wholesale_retail,0.0025,0.002,1.22,0.2208,-0.0019,0.0024,-0.79,0.4268,0.0235,75
industry,ind_transport_accommodation,-0.0008,0.0011,-0.7,0.4866,-0.0005,0.0013,-0.35,0.7284,-0.0011,75
industry,ind_finance_real_estate_prof,-0.0018,0.0009,-1.87,0.061,0.0007,0.0011,0.64,0.5227,-0.0009,75
industry,ind_public_admin_defence,-0.0011,0.0018,-0.6,0.5491,0.0019,0.0033,0.56,0.5754,0.008,75
industry,ind_education,-0.0005,0.0006,-0.83,0.4067,-0.0019,0.0008,-2.51,0.0122,-0.0099,75
industry,ind_health,-0.0007,0.0003,-2.05,0.0405,-0.0003,0.0005,-0.62,0.5377,0.0014,75
industry,ind_arts_recreation,-0.0009,0.0003,-2.71,0.0067,0.0012,0.0006,1.84,0.0651,0.0013,75
industry,ind_others,-0.0088,0.0026,-3.4,0.0007,-0.0033,0.0047,-0.71,0.4753,-0.0217,75
occupation,occ_share_managers,-0.0073,0.0017,-4.2,0.0,0.0025,0.002,1.26,0.2091,0.0288,75
occupation,occ_share_professionals,-0.0011,0.0006,-1.73,0.083,-0.0017,0.0008,-2.17,0.0303,-0.0093,75
occupation,occ_share_technicians,-0.001,0.0008,-1.33,0.1825,-0.002,0.001,-2.06,0.0393,-0.0053,75
occupation,occ_share_office_assistants,-0.0015,0.0004,-3.37,0.0007,0.0008,0.0006,1.38,0.1673,-0.0019,75
occupation,occ_share_service_sales,0.0028,0.003,0.92,0.3564,-0.0047,0.0032,-1.46,0.1432,-0.0252,75
occupation,occ_share_agriculture,0.0029,0.0063,0.46,0.6478,0.0001,0.0061,0.01,0.9908,-0.0399,75
occupation,occ_share_craft_trades,0.0079,0.0024,3.3,0.001,-0.0062,0.0035,-1.78,0.0756,-0.0239,75
occupation,occ_share_machine_operators,0.0006,0.0008,0.77,0.4395,-0.0012,0.0012,-1.06,0.2889,0.0045,75
occupation,occ_share_elementary,-0.0024,0.0052,-0.46,0.6448,0.0104,0.0067,1.56,0.1198,0.0646,75
occupation,occ_share_armed_forces,-0.0006,0.001,-0.62,0.5326,0.0024,0.0019,1.27,0.2033,0.0068,75
