lag,config,controls,beta,se,t,p,sig,mean_y,n
0,full,bare,-0.0086,0.0365,-0.24,0.8142,,0.17792,1050
0,full,S,-0.0036,0.0374,-0.1,0.9229,,0.17792,1050
0,full,mi,0.0466,0.0463,1.01,0.3142,,0.17792,1050
0,non_gulf,bare,0.1507,0.0879,1.71,0.0868,*,0.17792,1050
0,non_gulf,S,0.1642,0.0888,1.85,0.0647,*,0.17792,1050
0,non_gulf,mi,0.1497,0.0779,1.92,0.0551,*,0.17792,1050
1,full,bare,-0.1262,0.0452,-2.79,0.0053,***,0.10056,975
1,full,S,-0.1348,0.0467,-2.89,0.004,***,0.10056,975
1,full,mi,-0.1397,0.0275,-5.08,0.0,***,0.10056,975
1,non_gulf,bare,-0.3097,0.1808,-1.71,0.0871,*,0.10056,975
1,non_gulf,S,-0.3304,0.1819,-1.82,0.0697,*,0.10056,975
1,non_gulf,mi,-0.2854,0.1067,-2.67,0.0076,***,0.10056,975
2,full,bare,0.0175,0.0334,0.52,0.6015,,0.09235,900
2,full,S,0.0125,0.032,0.39,0.6956,,0.09235,900
2,full,mi,-0.0012,0.0245,-0.05,0.9604,,0.09235,900
2,non_gulf,bare,-0.0998,0.0865,-1.15,0.249,,0.09235,900
2,non_gulf,S,-0.108,0.0867,-1.24,0.2135,,0.09235,900
2,non_gulf,mi,-0.0966,0.0492,-1.96,0.0501,*,0.09235,900
