group,outcome,model,beta,se,t,p,sig,mean_y,pct_of_mean,n
industry,ind_agri_forestry_fish,M1,0.0065,0.0059,1.11,0.2719,,0.6723,0.97,150
industry,ind_agri_forestry_fish,M2,-0.0402,0.0559,-0.72,0.4737,,0.6723,-5.99,150
industry,ind_agri_forestry_fish,M3,-0.0461,0.06,-0.77,0.4452,,0.6723,-6.85,150
industry,ind_agri_forestry_fish,M4,-0.1233,0.0672,-1.83,0.0706,*,0.6703,-18.39,148
industry,ind_manufacturing,M1,0.0016,0.0011,1.41,0.1618,,0.0373,4.26,150
industry,ind_manufacturing,M2,0.0414,0.0202,2.05,0.0441,**,0.0373,110.86,150
industry,ind_manufacturing,M3,0.0375,0.0174,2.15,0.0348,**,0.0373,100.41,150
industry,ind_manufacturing,M4,0.03,0.0136,2.2,0.0312,**,0.0376,79.72,148
industry,ind_construction,M1,-0,0.0019,-0.01,0.9905,,0.0479,-0.05,150
industry,ind_construction,M2,0.0041,0.026,0.16,0.8737,,0.0479,8.66,150
industry,ind_construction,M3,-0.0077,0.0267,-0.29,0.7741,,0.0479,-16.06,150
industry,ind_construction,M4,0.0087,0.0247,0.35,0.7256,,0.0482,18.07,148
industry,ind_wholesale_retail,M1,-5e-4,0.0015,-0.34,0.7318,,0.0741,-0.68,150
industry,ind_wholesale_retail,M2,0.0194,0.0202,0.96,0.3413,,0.0741,26.12,150
industry,ind_wholesale_retail,M3,0.0162,0.0198,0.82,0.4148,,0.0741,21.91,150
industry,ind_wholesale_retail,M4,0.0211,0.0208,1.01,0.3145,,0.0744,28.32,148
industry,ind_transport_accommodation,M1,7e-4,7e-4,1.01,0.316,,0.0345,1.94,150
industry,ind_transport_accommodation,M2,-6e-4,0.0103,-0.05,0.9566,,0.0345,-1.63,150
industry,ind_transport_accommodation,M3,1e-4,0.0111,0.01,0.9951,,0.0345,0.2,150
industry,ind_transport_accommodation,M4,-0.0054,0.0118,-0.46,0.6455,,0.0348,-15.64,148
industry,ind_finance_real_estate_prof,M1,-0.0014,6e-4,-2.47,0.0159,**,0.0177,-7.88,150
industry,ind_finance_real_estate_prof,M2,-0.0126,0.0091,-1.38,0.1723,,0.0177,-71.08,150
industry,ind_finance_real_estate_prof,M3,-0.0094,0.008,-1.18,0.2425,,0.0177,-53.23,150
industry,ind_finance_real_estate_prof,M4,4e-4,0.0076,0.06,0.9529,,0.0178,2.52,148
industry,ind_public_admin_defence,M1,0.0016,0.0024,0.64,0.5216,,0.021,7.44,150
industry,ind_public_admin_defence,M2,-0.006,0.0202,-0.3,0.7678,,0.021,-28.51,150
industry,ind_public_admin_defence,M3,-0.0048,0.0197,-0.24,0.8083,,0.021,-22.87,150
industry,ind_public_admin_defence,M4,0.0431,0.0328,1.31,0.1934,,0.0211,204.26,148
industry,ind_education,M1,-8e-4,4e-4,-2.01,0.0481,**,0.0372,-2.17,150
industry,ind_education,M2,0.012,0.0067,1.78,0.0794,*,0.0372,32.18,150
industry,ind_education,M3,0.0131,0.0068,1.94,0.0562,*,0.0372,35.33,150
industry,ind_education,M4,0.0129,0.0068,1.89,0.0623,*,0.0373,34.64,148
