outcome,lag,model,beta,se,t,p,sig,mean_y,pct_of_mean,n
DOFE log(permits+1),0,M1,0.0626,0.0143,4.36,0,***,8.1928,0.76,975
DOFE log(permits+1),0,M2,-0.1756,0.0629,-2.79,0.0066,***,8.1928,-2.14,975
DOFE log(permits+1),0,M3,-0.151,0.0589,-2.56,0.0124,**,8.1928,-1.84,975
DOFE log(permits+1),0,M4,-0.1295,0.07,-1.85,0.0685,*,8.2217,-1.57,962
DOFE log(permits+1),1,M1,0.0705,0.0157,4.48,0,***,8.1928,0.86,975
DOFE log(permits+1),1,M2,-0.2269,0.0747,-3.04,0.0033,***,8.1928,-2.77,975
DOFE log(permits+1),1,M3,-0.1975,0.0727,-2.72,0.0082,***,8.1928,-2.41,975
DOFE log(permits+1),1,M4,-0.1493,0.0847,-1.76,0.0821,*,8.2217,-1.82,962
DOFE log(permits+1),2,M1,0.07,0.0163,4.29,1e-4,***,8.1928,0.85,975
DOFE log(permits+1),2,M2,-0.1852,0.0715,-2.59,0.0115,**,8.1928,-2.26,975
DOFE log(permits+1),2,M3,-0.1673,0.0712,-2.35,0.0214,**,8.1928,-2.04,975
DOFE log(permits+1),2,M4,-0.1127,0.0813,-1.39,0.1698,,8.2217,-1.37,962
DOFE log(permits+1),3,M1,0.0638,0.016,3.98,2e-4,***,8.1928,0.78,975
DOFE log(permits+1),3,M2,-0.1077,0.0701,-1.54,0.1288,,8.1928,-1.31,975
DOFE log(permits+1),3,M3,-0.0992,0.0704,-1.41,0.1631,,8.1928,-1.21,975
DOFE log(permits+1),3,M4,-0.0554,0.0817,-0.68,0.4996,,8.2217,-0.67,962
RVS has_migrant,2,M1,0.004,0.0043,0.94,0.35,,0.4865,0.83,17362
RVS has_migrant,2,M2,-0.0137,0.012,-1.14,0.2583,,0.4865,-2.81,17362
RVS has_migrant,2,M3,-0.0108,0.0122,-0.88,0.381,,0.4865,-2.22,17362
RVS has_migrant,2,M4,-0.0168,0.0131,-1.29,0.2043,,0.4865,-3.46,17191
RVS has_migrant_internal,2,M1,-4e-4,0.0049,-0.09,0.9321,,0.18,-0.24,17362
RVS has_migrant_internal,2,M2,-0.028,0.0126,-2.23,0.0305,**,0.18,-15.58,17362
RVS has_migrant_internal,2,M3,-0.0222,0.0113,-1.96,0.0561,*,0.18,-12.33,17362
RVS has_migrant_internal,2,M4,-0.0227,0.0113,-2.01,0.0504,*,0.1789,-12.67,17191
RVS has_migrant_intl,2,M1,0.0065,0.0069,0.94,0.3527,,0.3235,1.99,17362
RVS has_migrant_intl,2,M2,0.0039,0.0129,0.3,0.7621,,0.3235,1.22,17362
RVS has_migrant_intl,2,M3,0.0048,0.0129,0.37,0.7114,,0.3235,1.49,17362
RVS has_migrant_intl,2,M4,-0.0025,0.0117,-0.21,0.8319,,0.3245,-0.77,17191
RVS n_migrants,2,M1,-0.0115,0.0093,-1.24,0.2206,,0.8117,-1.42,17362
RVS n_migrants,2,M2,-0.0917,0.0386,-2.37,0.0215,**,0.8117,-11.29,17362
RVS n_migrants,2,M3,-0.0722,0.0388,-1.86,0.0685,*,0.8117,-8.89,17362
RVS n_migrants,2,M4,-0.0733,0.0425,-1.73,0.0907,*,0.8092,-9.06,17191
RVS n_intl_migrants,2,M1,-3e-4,0.01,-0.03,0.9801,,0.4149,-0.06,17362
RVS n_intl_migrants,2,M2,-0.0043,0.0199,-0.22,0.83,,0.4149,-1.03,17362
RVS n_intl_migrants,2,M3,-0.0016,0.02,-0.08,0.9346,,0.4149,-0.4,17362
RVS n_intl_migrants,2,M4,-0.0112,0.0176,-0.63,0.5293,,0.416,-2.68,17191
RVS remit_received,2,M1,0.0034,0.0059,0.58,0.5645,,0.3418,1.01,17362
RVS remit_received,2,M2,0.0101,0.0156,0.65,0.5202,,0.3418,2.96,17362
RVS remit_received,2,M3,0.0091,0.016,0.57,0.5715,,0.3418,2.67,17362
RVS remit_received,2,M4,-8e-4,0.013,-0.06,0.9542,,0.343,-0.22,17191
RVS log_n_migrants,2,M1,-0.0015,0.0043,-0.34,0.7319,,0.4443,-0.33,17362
RVS log_n_migrants,2,M2,-0.0323,0.0143,-2.25,0.0288,**,0.4443,-7.27,17362
RVS log_n_migrants,2,M3,-0.0258,0.0144,-1.8,0.0782,*,0.4443,-5.82,17362
RVS log_n_migrants,2,M4,-0.0287,0.0159,-1.81,0.0771,*,0.4436,-6.47,17191
RVS log_n_intl_mig,2,M1,0.0024,0.0058,0.42,0.679,,0.2573,0.93,17362
RVS log_n_intl_mig,2,M2,-1e-4,0.011,-0.01,0.9929,,0.2573,-0.04,17362
RVS log_n_intl_mig,2,M3,0.0011,0.011,0.1,0.9239,,0.2573,0.41,17362
RVS log_n_intl_mig,2,M4,-0.0046,0.0096,-0.48,0.6369,,0.2579,-1.77,17191
RVS remit_amount (if has_migrant=1),2,M1,-1751.3586,2260.0435,-0.77,0.4421,,134416.2497,-1.3,8059
RVS remit_amount (if has_migrant=1),2,M2,19297.8739,10618.122,1.82,0.0753,*,134416.2497,14.36,8059
RVS remit_amount (if has_migrant=1),2,M3,16840.5606,10525.3834,1.6,0.116,,134416.2497,12.53,8059
RVS remit_amount (if has_migrant=1),2,M4,9501.5245,11070.1537,0.86,0.395,,135322.4644,7.02,7984
RVS log(remit+1) (if has_migrant=1),2,M1,0.0324,0.0875,0.37,0.7126,,8.2541,0.39,8059
RVS log(remit+1) (if has_migrant=1),2,M2,0.3953,0.2656,1.49,0.1431,,8.2541,4.79,8059
