dataset,outcome,label,group,scaling,lag,model,variant,beta,se,p,sig,mean_y,sd_y,n,n_unit
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,0,M2,baseline,-0.01393583390306035,0.01449858477198108,0.33958902488032683,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,0,M3,baseline,-0.01927183847183357,0.01338011300993119,0.1539904145905482,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,0,M4,baseline,-0.00477450315028414,0.01626525868893554,0.7699311558060999,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,0,M5,baseline,5.4087422318866915e-5,0.01039949711507933,0.9958642444965644,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,1,M2,baseline,-0.02174642558592193,0.01851605835471192,0.2439752873525906,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,1,M3,baseline,-0.02608703818915205,0.01769627134293101,0.1446816252361589,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,1,M4,baseline,-0.00741094542894995,0.01995715124092079,0.7114432717732329,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,1,M5,baseline,-0.00412179156826674,0.01202289070498572,0.7326993156281074,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,2,M2,baseline,-0.03056930676462255,0.02618277372270473,0.2467425743376437,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,2,M3,baseline,-0.03677905975066738,0.02485034784214274,0.14311237781963332,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,2,M4,baseline,-0.0103943582565227,0.02827285182453394,0.7141877674383541,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,lin,2,M5,baseline,-0.00540960356529785,0.01713581116491242,0.753126478716307,NA,0.01393885467174237,0.021698012921437988,150,75
