dname,top10_district,share_to_national_top10,jaccard_with_national_top10,spearman_with_national_full
Dhanusa,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.996,0.818,0.83
Siraha,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.996,0.667,0.814
Mahottari,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.995,0.667,0.838
Rautahat,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.991,0.667,0.804
Saptari,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.99,0.538,0.785
Salyan,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.988,0.818,0.759
Kapilbastu,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.987,0.818,0.845
Jajarkot,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.987,0.667,0.702
Sarlahi,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.986,0.667,0.831
Kalikot,"Malaysia, Qatar, United Arab Emirates, Saudi Arabia, Kuwait ...",0.984,0.818,0.654
Bara,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.983,0.667,0.891
Parsa,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.983,0.538,0.837
Doti,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.979,1.0,0.662
Banke,"Saudi Arabia, Malaysia, Qatar, United Arab Emirates, Kuwait ...",0.975,0.818,0.91
Baitadi,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.975,0.818,0.794
Dailekh,"Malaysia, Qatar, United Arab Emirates, Saudi Arabia, Kuwait ...",0.974,0.818,0.799
Panchthar,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.973,0.818,0.869
Pyuthan,"Saudi Arabia, Qatar, Malaysia, United Arab Emirates, Kuwait ...",0.973,0.667,0.85
Dadeldhura,"Malaysia, Saudi Arabia, United Arab Emirates, Qatar, Kuwait ...",0.973,0.818,0.755
Udayapur,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.971,0.818,0.887
Rukum,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.971,0.667,0.813
Khotang,"Saudi Arabia, Qatar, Malaysia, United Arab Emirates, Kuwait ...",0.97,0.818,0.882
Surkhet,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.97,0.818,0.864
Palpa,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.97,0.818,0.885
Rolpa,"Saudi Arabia, Qatar, Malaysia, United Arab Emirates, Kuwait ...",0.97,0.667,0.84
Arghakhanchi,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.97,1.0,0.852
Bardiya,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.969,0.818,0.866
Kailali,"Malaysia, Saudi Arabia, United Arab Emirates, Qatar, Kuwait ...",0.968,0.818,0.875
Bajhang,"Malaysia, United Arab Emirates, Qatar, Saudi Arabia, Kuwait ...",0.968,0.818,0.785
Ilam,"Malaysia, Qatar, United Arab Emirates, Saudi Arabia, Kuwait ...",0.968,0.667,0.89
Dhankuta,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.967,0.818,0.854
Bajura,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.967,0.818,0.737
Kanchanpur,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.967,0.818,0.888
Sunsari,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.967,0.818,0.902
Bhojpur,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.967,0.818,0.914
Morang,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.967,0.818,0.924
Dang,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.966,0.667,0.896
Nawalparasi,"Saudi Arabia, Malaysia, United Arab Emirates, Qatar, Kuwait ...",0.965,0.818,0.927
Mugu,"Malaysia, United Arab Emirates, Qatar, Saudi Arabia, Kuwait ...",0.964,0.818,0.609
Sankhuwasabha,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.963,0.818,0.836
Sindhuli,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.963,0.667,0.868
Jhapa,"Qatar, United Arab Emirates, Saudi Arabia, Malaysia, Kuwait ...",0.963,0.818,0.936
Terhathum,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.962,0.818,0.836
Jumla,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.961,0.667,0.68
Rupandehi,"Qatar, Saudi Arabia, Malaysia, United Arab Emirates, Kuwait ...",0.961,0.818,0.936
Taplejung,"Malaysia, Qatar, Saudi Arabia, United Arab Emirates, Kuwait ...",0.958,0.818,0.862
Tanahu,"Saudi Arabia, Qatar, United Arab Emirates, Malaysia, Kuwait ...",0.955,0.667,0.922
Okhaldhunga,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.951,0.818,0.842
Darchula,"Malaysia, United Arab Emirates, Qatar, Saudi Arabia, Kuwait ...",0.95,0.818,0.775
Baglung,"Saudi Arabia, Qatar, United Arab Emirates, Malaysia, Japan ...",0.949,1.0,0.909
Makwanpur,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.948,0.818,0.899
Gulmi,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Japan ...",0.946,1.0,0.892
Achham,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Romania ...",0.946,0.818,0.822
Syangja,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.943,0.818,0.929
Dhading,"Malaysia, Saudi Arabia, United Arab Emirates, Qatar, Kuwait ...",0.943,0.818,0.903
Chitawan,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.941,0.818,0.922
Parbat,"Qatar, United Arab Emirates, Saudi Arabia, Malaysia, Kuwait ...",0.939,0.818,0.896
Gorkha,"Saudi Arabia, United Arab Emirates, Malaysia, Qatar, Kuwait ...",0.939,0.667,0.914
Lamjung,"Saudi Arabia, United Arab Emirates, Qatar, Malaysia, Kuwait ...",0.937,0.538,0.932
Nuwakot,"United Arab Emirates, Malaysia, Saudi Arabia, Qatar, Kuwait ...",0.932,0.667,0.901
Myagdi,"Saudi Arabia, Qatar, United Arab Emirates, Malaysia, Kuwait ...",0.932,0.818,0.884
Ramechhap,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.931,0.818,0.916
Kavrepalanchok,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.928,0.818,0.923
Humla,"Malaysia, Saudi Arabia, Qatar, United Arab Emirates, Kuwait ...",0.928,0.818,0.669
Kaski,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.917,0.667,0.94
Dolakha,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.911,0.667,0.893
Bhaktapur,"United Arab Emirates, Qatar, Malaysia, Saudi Arabia, Kuwait ...",0.91,0.818,0.849
Dolpa,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.906,0.538,0.673
Sindhupalchok,"United Arab Emirates, Malaysia, Saudi Arabia, Qatar, Kuwait ...",0.899,0.667,0.922
Lalitpur,"United Arab Emirates, Qatar, Malaysia, Saudi Arabia, Kuwait ...",0.894,0.667,0.879
Rasuwa,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Kuwait ...",0.876,0.538,0.791
Kathmandu,"United Arab Emirates, Qatar, Saudi Arabia, Malaysia, Kuwait ...",0.868,0.538,0.919
Solukhumbu,"Malaysia, United Arab Emirates, Saudi Arabia, Qatar, Cyprus ...",0.859,0.667,0.868
Manang,"Malaysia, United Arab Emirates, Qatar, Saudi Arabia, Kuwait ...",0.85,0.429,0.687
Mustang,"Qatar, United Arab Emirates, Malaysia, Saudi Arabia, Japan ...",0.767,0.538,0.69
