year,version,beta,se,t,p,ci_lo,ci_hi,n
2011,v1_2001,2.235537872088485,0.8717196351282155,2.5645147613999475,0.010332018438094618,0.5269673872371825,3.944108356939787,1406
2011,v2_2009_10,1.6339270062484432,0.29378767910452663,5.561591320741224,2.673257291238358e-08,1.058103155203571,2.2097508572933156,1406
2012,v1_2001,1.0336045904699802,0.12221665244465658,8.457150231127692,2.7399084164295638e-17,0.7940599516784533,1.2731492292615072,1406
2012,v2_2009_10,0.616106980018704,0.03781358514919021,16.293270727647418,1.101760533341424e-59,0.5419923531262912,0.6902216069111168,1406
2013,v1_2001,0.7260351036114535,0.07345213116233654,9.88446614308363,4.861661701463973e-23,0.5820689265332739,0.8700012806896331,1406
2013,v2_2009_10,0.4355845944849639,0.027730104227850105,15.708004229118416,1.3331004094834414e-55,0.38123359019837766,0.48993559877155013,1406
2014,v1_2001,0.5751979838362672,0.05830670449052168,9.865040201847991,5.901080551768175e-23,0.4609168430348447,0.6894791246376897,1406
2014,v2_2009_10,0.4001552661216427,0.027728790709091202,14.431039215512822,3.300700521611374e-47,0.34580683633182396,0.45450369591146145,1406
2015,v1_2001,0.520228226640843,0.050453235832221714,10.311097356982637,6.278033229415446e-25,0.42133988440968845,0.6191165688719975,1406
2015,v2_2009_10,0.4233604464699862,0.05454058353195992,7.762301373653322,8.34019287367949e-15,0.3164609027473448,0.5302599901926277,1406
2016,v1_2001,0.443055697452582,0.046540240647695005,9.519841137188559,1.734440026825334e-21,0.35183682578309977,0.5342745691220642,1406
2016,v2_2009_10,0.3391717516224235,0.046191169127943764,7.342783437305087,2.091968775154126e-13,0.24863706013165376,0.4297064431131933,1406
2017,v1_2001,0.5051504489544764,0.05419308815682822,9.32130768212788,1.1491512783808538e-20,0.3989319961670931,0.6113689017418596,1406
2017,v2_2009_10,0.3430138184605171,0.07209050119483719,4.758100065547641,1.9542362211808164e-06,0.2017164361186362,0.484311200802398,1406
2018,v1_2001,0.4572876181274891,0.05122603061667272,8.926860282214685,4.382704018766857e-19,0.35688459811881057,0.5576906381361676,1406
2018,v2_2009_10,0.33962109940646196,0.03908798649110887,8.6886312111194,3.66832366624223e-18,0.26300864588388856,0.41623355292903536,1406
2019,v1_2001,0.420987642012193,0.051920893711989595,8.108251070319662,5.135354169796586e-16,0.3192226903366934,0.5227525936876927,1406
2019,v2_2009_10,0.2549290199801942,0.03724243694562664,6.845121879440554,7.641078846566641e-12,0.18193384356676595,0.3279241963936224,1406
2020,v1_2001,0.40781155113058354,0.043950481234825124,9.278887049078433,1.7125802289548015e-20,0.3216686079103263,0.49395449435084077,1406
2020,v2_2009_10,0.29705295644152074,0.03771450373329225,7.876358616361669,3.3705992637519023e-15,0.22313252912426795,0.37097338375877353,1406
2021,v1_2001,0.3807897167319744,0.043747278746659395,8.704306362394075,3.1952286279392486e-18,0.295045050388522,0.46653438307542683,1406
2021,v2_2009_10,0.17167551072161122,0.048099788984183496,3.5691530949972097,0.00035813710458074285,0.07739992431261157,0.2659510971306109,1406
2022,v1_2001,0.2951182609472207,0.02885724916508847,10.226832753839028,1.503565055819182e-24,0.23855805258364732,0.3516784693107941,1332
2022,v2_2009_10,0.22459722414436012,0.03164943373428588,7.096405769214557,1.28043178899549e-12,0.1625643340251598,0.28663011426356044,1332
2023,v1_2001,0.2116626571012546,0.028368754493586477,7.461119138984641,8.579063201537781e-14,0.1560598982938251,0.2672654159086841,1332
2023,v2_2009_10,0.1753251331754269,0.026043526447072776,6.732004344025115,1.6734164486151323e-11,0.12427982133916425,0.22637044501168951,1332
