"outcome","y","spec","beta","se_cluster","t_cluster","p_cluster","sig_cluster","se_wild","t_wild","p_wild","sig_wild","mean_y","n_obs","B_boot"
"DOFE_permits","DOFE_permits","M4",0.239,0.0559,4.27,0.0001,"***",0.0586,4.08,0,"***",8.0684,1110,200
"DOFE_permits","DOFE_permits","M5",0.2703,0.0599,4.51,0,"***",0.0609,4.44,0,"***",8.0684,1110,200
"DOFE_permits","DOFE_permits","M6",0.1739,0.0713,2.44,0.0171,"**",0.0683,2.55,0,"***",8.0684,1110,200
"RVS_d_log_n_intl","RVS_d_log_n_intl","M4",-0.0606,0.1175,-0.52,0.6085,"",0.1166,-0.52,0.625,"",3.7247,147,200
"RVS_d_log_n_intl","RVS_d_log_n_intl","M5",-0.0386,0.115,-0.34,0.7383,"",0.1051,-0.37,0.685,"",3.7247,147,200
"RVS_d_log_n_intl","RVS_d_log_n_intl","M6",-0.12,0.1694,-0.71,0.4823,"",0.1595,-0.75,0.475,"",3.7247,147,200
"RVS_d_share_hh","RVS_d_share_hh","M4",0.022,0.0436,0.51,0.615,"",0.0394,0.56,0.595,"",0.3187,147,200
"RVS_d_share_hh","RVS_d_share_hh","M5",0.0221,0.0423,0.52,0.6033,"",0.0415,0.53,0.57,"",0.3187,147,200
"RVS_d_share_hh","RVS_d_share_hh","M6",0.0127,0.0588,0.22,0.8301,"",0.054,0.24,0.815,"",0.3187,147,200
"RVS_d_log_remit","RVS_d_log_remit","M4",-1.7481,2.1458,-0.81,0.4193,"",2.2768,-0.77,0.515,"",15.1955,147,200
"RVS_d_log_remit","RVS_d_log_remit","M5",-2.3348,2.3563,-0.99,0.3267,"",2.232,-1.05,0.345,"",15.1955,147,200
"RVS_d_log_remit","RVS_d_log_remit","M6",0.7355,1.5564,0.47,0.6387,"",1.4746,0.5,0.605,"",15.1955,147,200
"RVS_hh_log_n_intl","RVS_hh_log_n_intl","M4",0.0107,0.0343,0.31,0.7556,"",0.0364,0.29,0.77,"",0.795,4995,200
"RVS_hh_log_n_intl","RVS_hh_log_n_intl","M5",0.0075,0.0344,0.22,0.8271,"",0.0357,0.21,0.84,"",0.795,4995,200
"RVS_hh_log_n_intl","RVS_hh_log_n_intl","M6",-0.0109,0.0359,-0.3,0.7623,"",0.0327,-0.33,0.71,"",0.795,4995,200
"RVS_hh_log_remit","RVS_hh_log_remit","M4",0.8463,1.1978,0.71,0.4799,"",1.2833,0.66,0.5,"",10.372,4995,200
"RVS_hh_log_remit","RVS_hh_log_remit","M5",0.52,1.1929,0.44,0.663,"",1.1758,0.44,0.68,"",10.372,4995,200
"RVS_hh_log_remit","RVS_hh_log_remit","M6",1.2175,1.2969,0.94,0.348,"",1.3017,0.94,0.37,"",10.372,4995,200
"RVS_mig_log_remit","RVS_mig_log_remit","M4",0.6353,1.1683,0.54,0.5866,"",1.2121,0.52,0.625,"",9.2318,6619,200
"RVS_mig_log_remit","RVS_mig_log_remit","M5",-0.0656,1.1878,-0.06,0.956,"",1.2038,-0.05,0.93,"",9.2318,6619,200
"RVS_mig_log_remit","RVS_mig_log_remit","M6",0.6708,1.2896,0.52,0.603,"",1.2719,0.53,0.61,"",9.2318,6619,200
"RVS_mig_remit_sent_flag","RVS_mig_remit_sent_flag","M4",0.0892,0.1048,0.85,0.3948,"",0.1061,0.84,0.39,"",0.79,6618,200
"RVS_mig_remit_sent_flag","RVS_mig_remit_sent_flag","M5",0.0219,0.1061,0.21,0.8364,"",0.109,0.2,0.86,"",0.79,6618,200
"RVS_mig_remit_sent_flag","RVS_mig_remit_sent_flag","M6",0.0861,0.1149,0.75,0.4534,"",0.1095,0.79,0.43,"",0.79,6618,200
"RVS_mig_log_earn_primary","RVS_mig_log_earn_primary","M4",-1.2106,0.696,-1.74,0.0821,"*",0.7291,-1.66,0.09,"*",8.6087,6619,200
"RVS_mig_log_earn_primary","RVS_mig_log_earn_primary","M5",-0.5252,0.6969,-0.75,0.4512,"",0.6268,-0.84,0.41,"",8.6087,6619,200
"RVS_mig_log_earn_primary","RVS_mig_log_earn_primary","M6",-0.4903,0.765,-0.64,0.5217,"",0.8119,-0.6,0.535,"",8.6087,6619,200
