period,scaling,model,beta,se,p,sig,n,mean_y,mean_permits_per_1000
2011-2015,lin,A2,0.12313420092021443,0.05795243923375793,0.03704126228854199,**,75,2.79887758235453,21.528716876901903
2011-2015,lin,A3,0.12313420092021443,0.05795243923375793,0.03704126228854199,**,75,2.79887758235453,21.528716876901903
2011-2015,lin,A4,0.11228826904095979,0.03778444040780994,0.004127606049144206,***,75,2.79887758235453,21.528716876901903
2011-2015,lin,A4_dropKTM,0.13974834775397427,0.04171513178493361,0.001368629442189429,***,72,2.8401177961265143,22.163801312420595
2011-2015,lin,A4_dropLowMig,0.13948170773584323,0.03746245743386697,4.414684336971739e-4,***,68,2.97855629654453,23.44150220265146
2011-2015,log,A2,0.09502098441757517,0.02451454314471782,2.319799666977449e-4,***,75,2.79887758235453,21.528716876901903
2011-2015,log,A3,0.09502098441757517,0.02451454314471782,2.319799666977449e-4,***,75,2.79887758235453,21.528716876901903
2011-2015,log,A4,0.11612960214143431,0.020216250528879334,2.5493689416624693e-7,***,75,2.79887758235453,21.528716876901903
2011-2015,log,A4_dropKTM,0.1257074967480976,0.02191706140985616,2.973261895832337e-7,***,72,2.8401177961265143,22.163801312420595
2011-2015,log,A4_dropLowMig,0.1219006223687964,0.022666358747793887,1.3541291916326413e-6,***,68,2.97855629654453,23.44150220265146
2011-2022,lin,A2,0.12042593141854102,0.05877184966747524,0.04410317641446933,**,75,2.7469720553003554,20.162473166016138
2011-2022,lin,A3,0.12042593141854102,0.05877184966747524,0.04410317641446933,**,75,2.7469720553003554,20.162473166016138
2011-2022,lin,A4,0.11490588448918193,0.03296647984290272,8.780528928320276e-4,***,75,2.7469720553003554,20.162473166016138
2011-2022,lin,A4_dropKTM,0.14633379329958662,0.03466964387034303,7.961260150177632e-5,***,72,2.7906553298685988,20.76892910765972
2011-2022,lin,A4_dropLowMig,0.13172377017965076,0.032906060264252704,1.771725601842281e-4,***,68,2.9145571775497587,21.921464856490452
2011-2022,log,A2,0.08917860029832908,0.02797461884396089,0.002121701327639032,***,75,2.7469720553003554,20.162473166016138
2011-2022,log,A3,0.08917860029832908,0.02797461884396089,0.002121701327639032,***,75,2.7469720553003554,20.162473166016138
2011-2022,log,A4,0.11304324233885632,0.02126244401355629,1.347342182496487e-6,***,75,2.7469720553003554,20.162473166016138
2011-2022,log,A4_dropKTM,0.13008967587187298,0.02211341878077515,1.6777824160707511e-7,***,72,2.7906553298685988,20.76892910765972
2011-2022,log,A4_dropLowMig,0.11483004496818516,0.023364784159869482,7.425962411404326e-6,***,68,2.9145571775497587,21.921464856490452
"2011-2022 (annual panel, year FE)",lin,A2,0.25770653852738756,0.15469755890840198,0.09996671753154013,*,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",lin,A3,0.25770653852738756,0.15469755890840198,0.09996671753154013,*,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",lin,A4,0.21468857504703764,0.09828400780795647,0.0321032746311286,**,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",lin,A4_dropKTM,0.2841346219602188,0.10258033760101272,0.00715106999050443,***,864,2.6940864428109705,20.76892910765972
"2011-2022 (annual panel, year FE)",lin,A4_dropLowMig,0.2849562079659367,0.09159936218005435,0.002739888454360554,***,816,2.828187377059189,21.921464856490452
"2011-2022 (annual panel, year FE)",log,A2,0.17184671719063238,0.0768858026777085,0.02842911389603864,**,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",log,A3,0.17184671719063238,0.0768858026777085,0.02842911389603864,**,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",log,A4,0.2361313097165813,0.06557041865684872,5.703794564601641e-4,***,900,2.650982322411704,20.162473166016138
"2011-2022 (annual panel, year FE)",log,A4_dropKTM,0.2564554788510823,0.06881166534448337,3.86103980067007e-4,***,864,2.6940864428109705,20.76892910765972
"2011-2022 (annual panel, year FE)",log,A4_dropLowMig,0.2463629024434081,0.07149449676537716,9.870601007043514e-4,***,816,2.828187377059189,21.921464856490452
2015-2019,lin,A2,0.11392125384574087,0.05827827129057671,0.05449186902862131,*,75,2.7971551480169987,21.468103184601084
2015-2019,lin,A3,0.11392125384574087,0.05827827129057671,0.05449186902862131,*,75,2.7971551480169987,21.468103184601084
2015-2019,lin,A4,0.1211164308293663,0.029081012667520046,9.237521050399921e-5,***,75,2.7971551480169987,21.468103184601084
2015-2019,lin,A4_dropKTM,0.14545874780859525,0.03137185096268767,1.8345319580565385e-5,***,72,2.8400948300797824,22.113905563170693
2015-2019,lin,A4_dropLowMig,0.13778254431843306,0.02870902003974962,1.1253189960621616e-5,***,68,2.9635367971592625,23.340782857379228
2015-2019,log,A2,0.09488343436205876,0.0311609815075642,0.003249631850925613,***,75,2.7971551480169987,21.468103184601084
2015-2019,log,A3,0.09488343436205876,0.0311609815075642,0.003249631850925613,***,75,2.7971551480169987,21.468103184601084
2015-2019,log,A4,0.12187322413253487,0.022314635277609466,7.697686446612323e-7,***,75,2.7971551480169987,21.468103184601084
2015-2019,log,A4_dropKTM,0.1352144730018303,0.023794176894919812,3.648918710310094e-7,***,72,2.8400948300797824,22.113905563170693
2015-2019,log,A4_dropLowMig,0.12495515440004379,0.02446004881762174,3.6653051065476593e-6,***,68,2.9635367971592625,23.340782857379228
