"dataset","outcome","share","spec","beta","se","t_stat","p_val","n_obs","r2_within","note","sig"
"DOFE_permits","log_permits","2001","C1 treatment only",-0.0316485697780853,0.0115037408386636,-2.75115462195704,0.00748430935531661,1110,0.184019599394496,"","***"
"DOFE_permits","log_permits","2001","C2 + c_mig",-0.136333904102112,0.0791788967010028,-1.72184647402879,0.0893323851101769,1110,0.223163932447451,"","*"
"DOFE_permits","log_permits","2001","C3 + c_fx",-0.177558455764034,0.0791826626451596,-2.24239056672954,0.027973591650769,1110,0.313564466791298,"","**"
"DOFE_permits","log_permits","2001","C4 + region X",-0.0677366672830863,0.124443060935714,-0.54431855640451,0.587881112524059,1110,0.434312507585538,"",""
"DOFE_permits","log_permits","DOFE","C1 treatment only",-0.110671808586787,0.0159060321269018,-6.9578514430138,0.00000000124703854747639,1110,0.232227749864877,"","***"
"DOFE_permits","log_permits","DOFE","C2 + c_mig",0.150858055608945,0.0790734921131425,1.90782083322044,0.0603477245017349,1110,0.343783198413173,"","*"
"DOFE_permits","log_permits","DOFE","C3 + c_fx",0.177158049093811,0.0816063512419693,2.1708855548329,0.0331918176479476,1110,0.375045936435562,"","**"
"DOFE_permits","log_permits","DOFE","C4 + region X",0.137157068245416,0.081615563891681,1.68052589120684,0.097129600920447,1110,0.557461379404847,"","*"
"RVS_n_intl","log_n_intl","2001","C1 treatment only",-0.0146917466771079,0.0379669054178259,-0.386961921584738,0.700494751461905,147,0.01885213601159,"",""
"RVS_n_intl","log_n_intl","2001","C2 + c_mig",-0.890577907569231,0.71267530261808,-1.24962644881562,0.21749503113621,147,0.0214611470859219,"",""
"RVS_n_intl","log_n_intl","2001","C3 + c_fx",-1.34164527596356,0.902823476871377,-1.48605492694194,0.143803701605942,147,0.0840162658045732,"",""
"RVS_n_intl","log_n_intl","2001","C4 + region X",-0.52194019693241,0.795060610067364,-0.656478500284635,0.51465135237038,147,0.414149507530718,"",""
"RVS_n_intl","log_n_intl","DOFE","C1 treatment only",-0.0143634888929631,0.0111743343347708,-1.2853999587491,0.204819959014052,147,0.00659714479318418,"",""
"RVS_n_intl","log_n_intl","DOFE","C2 + c_mig",-0.356866535741414,0.0946797255588917,-3.76919698103095,0.000448485677560061,147,0.0249059008865901,"","***"
"RVS_n_intl","log_n_intl","DOFE","C3 + c_fx",-0.376160014891934,0.103260823859894,-3.64281438817799,0.000660426783021392,147,0.0419789335913755,"","***"
"RVS_n_intl","log_n_intl","DOFE","C4 + region X",-0.270486697818908,0.126113802026804,-2.14478267621667,0.0370602457696865,147,0.407880824529076,"","**"
"RVS_share_hh","share_hh","2001","C1 treatment only",-0.0225916935400273,0.00937883209201785,-2.40879603327739,0.0198923906024316,147,0.0258924367057171,"","**"
"RVS_share_hh","share_hh","2001","C2 + c_mig",-0.216358107742359,0.229071332542517,-0.944501022196663,0.349643894719127,147,0.0312957433245223,"",""
"RVS_share_hh","share_hh","2001","C3 + c_fx",-0.286575116736633,0.256303195377923,-1.11810980863533,0.269084969286532,147,0.043444062344341,"",""
"RVS_share_hh","share_hh","2001","C4 + region X",-0.0796672840729107,0.222178665674598,-0.358573060248688,0.721486839605824,147,0.420002850945454,"",""
"RVS_share_hh","share_hh","DOFE","C1 treatment only",-0.00618064353395454,0.00314558244052058,-1.96486458416638,0.0552323015115131,147,0.0256779678985946,"","*"
"RVS_share_hh","share_hh","DOFE","C2 + c_mig",-0.0107439298188199,0.033394394422871,-0.321728541705839,0.749055277235325,147,0.029944276072739,"",""
"RVS_share_hh","share_hh","DOFE","C3 + c_fx",-0.00413648859800164,0.0360954300126199,-0.114598679017134,0.909241263611474,147,0.0340183291656825,"",""
"RVS_share_hh","share_hh","DOFE","C4 + region X",0.020791350082187,0.0445079889476715,0.467137486410173,0.642515184399789,147,0.3571719558818,"",""
"RVS_remit_intl","log_remit","2001","C1 treatment only",-0.415395550476135,0.253911969020507,-1.63598254969456,0.108384584238583,147,0.0505108108587313,"",""
"RVS_remit_intl","log_remit","2001","C2 + c_mig",2.84472299527084,4.70933097323878,0.604060961405399,0.548647630786364,147,0.0618754075944162,"",""
"RVS_remit_intl","log_remit","2001","C3 + c_fx",-9.71572067447767,7.16844894290785,-1.35534489425219,0.181651447121966,147,0.442434417241709,"",""
"RVS_remit_intl","log_remit","2001","C4 + region X",1.930004594305,5.78341166714228,0.333713853584049,0.740049024695664,147,0.780909048767903,"",""
"RVS_remit_intl","log_remit","DOFE","C1 treatment only",-0.278950716942148,0.125530612470734,-2.22217283459189,0.0310187788376637,147,0.0356282473459907,"","**"
"RVS_remit_intl","log_remit","DOFE","C2 + c_mig",-2.35186908797693,1.38919551804833,-1.69297198084907,0.0969424519319037,147,0.0660094562804666,"","*"
"RVS_remit_intl","log_remit","DOFE","C3 + c_fx",-2.45131420297117,1.44080126952389,-1.70135483277384,0.0953465630902311,147,0.0707625584907353,"","*"
"RVS_remit_intl","log_remit","DOFE","C4 + region X",-2.02389554674047,1.103224893109,-1.8345267219605,0.0727778163421239,147,0.720256195547751,"","*"
