spec,config,beta,t,sig,p_val,n
C1 bare,2001 share + 2001 mi,0.0311,2.34,**,0.0196,1110
C1 bare,DOFE share + 2001 mi,0.0458,2.8,***,0.0053,1110
C1 bare,DOFE share + DOFE mi,0.0972,3.49,***,0.0005,1110
C2 +c_mig,2001 share + 2001 mi,0.1238,1.43,,0.1524,1110
C2 +c_mig,DOFE share + 2001 mi,-0.2422,-3.01,***,0.0027,1110
C2 +c_mig,DOFE share + DOFE mi,0.0284,0.26,,0.7964,1110
C3 +c_fx,2001 share + 2001 mi,0.0664,0.57,,0.5663,1110
C3 +c_fx,DOFE share + 2001 mi,-0.2573,-2.9,***,0.0038,1110
C3 +c_fx,DOFE share + DOFE mi,0.0471,0.42,,0.6758,1110
C4 +X,2001 share + 2001 mi,0.0659,0.49,,0.6273,1110
C4 +X,DOFE share + 2001 mi,-0.217,-2.07,**,0.0391,1110
C4 +X,DOFE share + DOFE mi,0.0094,0.07,,0.9448,1110
