"outcome","spec","coef","se","n_obs","r2_w","t_stat","p_val"
"log(n_intl_migrants+1)","fx_2001",2.76218053521511,3.90717060102758,147,0.00764564169497961,0.706951606998849,0.479596551649572
"log(n_intl_migrants+1)","fx_2001 x logmi",-0.00811286996720653,0.753250893140709,147,0.00000333395304463746,-0.0107704750715656,0.991406570372334
"log(n_intl_migrants+1)","fx_dofe",-2.85624906346924,1.94318520572609,147,0.00462308908393883,-1.46987999654,0.141594258122028
"log(n_intl_migrants+1)","fx_dofe x logmi",0.294992936200609,0.11726521940482,147,0.0149255014765129,2.51560469248977,0.0118828379521001
"share_hh_with_migrant","fx_2001",0.189407839851285,1.23512238910262,147,0.000474265843117938,0.153351474738386,0.878121109713071
"share_hh_with_migrant","fx_2001 x logmi",0.127880791270327,0.185616591663543,147,0.0109279123592009,0.688951295378428,0.490853917755217
"share_hh_with_migrant","fx_dofe",-1.66297032720959,0.586898250026606,147,0.0206740345302636,-2.83349000807926,0.00460427473680996
"share_hh_with_migrant","fx_dofe x logmi",0.107152234917872,0.0387633897610178,147,0.0259791113306284,2.76426379577437,0.0057051395788042
"log(intl_remit+1)","fx_2001",35.0765414311666,17.8269452738272,147,0.0285747254927659,1.96761368211887,0.0491125042656342
"log(intl_remit+1)","fx_2001 x logmi",-0.614597576997794,1.69807470100373,147,0.000443435902411693,-0.361937891563019,0.717398443447505
"log(intl_remit+1)","fx_dofe",-25.1856837165851,20.4434403035377,147,0.00833079252720015,-1.2319689515383,0.217960682495826
"log(intl_remit+1)","fx_dofe x logmi",3.61959017716718,2.37834624812617,147,0.0520790695877027,1.52189370240727,0.12803571739811
