outcome,y,vintage,spec,beta,se,t,p,sig,n,r2_w,note
DOFE_permits,log_permits,V_2001,M1 treat | dname FE,-0.0429,0.057,-0.75,0.4518,,1110,0.0022,
DOFE_permits,log_permits,V_2001,M2 +fx_z main,-0.1684,0.0294,-5.72,0.0,***,1110,0.2377,
DOFE_permits,log_permits,V_2001,M3 +year FE,-0.0533,0.019,-2.81,0.0051,***,1110,-0.6839,
DOFE_permits,log_permits,V_2001,M4 +C_mig,-0.1064,0.0854,-1.25,0.2127,,1110,-0.879,
DOFE_permits,log_permits,V_2001,M5 +C_fx,-0.1051,0.0788,-1.33,0.1828,,1110,-0.2268,
DOFE_permits,log_permits,V_2001,M6 +C_X,-0.062,0.1445,-0.43,0.668,,1110,-0.6229,
DOFE_permits,log_permits,V_DOFE,M1 treat | dname FE,-0.1198,0.0498,-2.41,0.0162,**,1110,0.0274,
DOFE_permits,log_permits,V_DOFE,M2 +fx_z main,-0.1418,0.0166,-8.55,0.0,***,1110,0.3234,
DOFE_permits,log_permits,V_DOFE,M3 +year FE,-0.1254,0.0145,-8.66,0.0,***,1110,-0.047,
DOFE_permits,log_permits,V_DOFE,M4 +C_mig,0.239,0.0576,4.15,0.0,***,1110,0.0085,
DOFE_permits,log_permits,V_DOFE,M5 +C_fx,0.2703,0.0617,4.38,0.0,***,1110,-0.588,
DOFE_permits,log_permits,V_DOFE,M6 +C_X,0.1739,0.0736,2.36,0.0184,**,1110,-2.9639,
