spec,baseline,beta,t,p,sig,n
M1 treat | dname FE,2001,0.1127,2.12,0.0342,**,1125
M1 treat | dname FE,DOFE,0.1198,2.24,0.0255,**,1125
M2 +fx_z main,2001,0.1381,8.25,0.0,***,1125
M2 +fx_z main,DOFE,0.1428,9.41,0.0,***,1125
M3 +year FE,2001,0.1217,8.59,0.0,***,1125
M3 +year FE,DOFE,0.1258,9.39,0.0,***,1125
M4 +C_mig,2001,-0.1781,-4.54,0.0,***,1125
M4 +C_mig,DOFE,-0.2427,-3.66,0.0003,***,1125
M5 +C_fx,2001,-0.1998,-5.54,0.0,***,1125
M5 +C_fx,DOFE,-0.2509,-3.95,0.0001,***,1125
M6 +C_X,2001,-0.1548,-3.85,0.0001,***,1110
M6 +C_X,DOFE,-0.2091,-3.19,0.0015,***,1110
