country,post,pre,g_c
Japan,0.18413554650705477,0.44108011697752014,-0.25694457047046537
Malaysia,-3.1079068383860506,-2.991042490571525,-0.1168643478145257
Kuwait,-5.570228430250441,-5.527387355083664,-0.04284107516677693
Romania,-3.1870655413341247,-3.1647383636085764,-0.022327177725548264
South Korea,2.7801541506690217,2.7795891183466317,0.0005650323223900244
Qatar,-3.030652287655143,-3.0340598756552155,0.003407588000072348
Saudi Arabia,-3.0008801293214726,-3.0042877173215454,0.003407588000072792
United Arab Emirates,-3.0217633402378965,-3.0251709282379697,0.003407588000073236
Bahrain,-5.300802104896034,-5.304209692896108,0.0034075880000736802
Oman,-5.27844745934023,-5.281855047340303,0.0034075880000736802
Maldives,-1.7731907983782205,-1.7877398117166134,0.01454901333839298
Cyprus,,-4.91392331990893,
