outcome,beta_z,se_z,t_z,p_z,sig_z,beta_int,se_int,t_int,p_int,sig_int,mean_y,n,group
amen_water_piped,-0.0332,0.0101,-3.27,0.0011,***,0.0054,0.0108,0.5,0.6152,,0.1108,75,amenities
amen_water_traditional,0.0228,0.0096,2.38,0.0175,**,0.0085,0.009,0.94,0.3491,,-0.1143,75,amenities
amen_cooking_modern,-0.0122,0.0097,-1.26,0.2071,,-0.0077,0.0103,-0.75,0.4544,,0.1473,75,amenities
amen_lighting_electricity,-0.0825,0.0114,-7.25,0.0,***,0.0149,0.0148,1.01,0.3139,,0.2727,75,amenities
amen_toilet_modern,-0.0387,0.0237,-1.63,0.1025,,0.0094,0.0263,0.36,0.7215,,0.2905,75,amenities
amen_toilet_any,-0.0993,0.0218,-4.56,0.0,***,0.0003,0.0237,0.01,0.989,,0.3613,75,amenities
amen_assets_motorcycle,-0.0029,0.0096,-0.31,0.7578,,-0.0162,0.009,-1.81,0.0706,*,0.1127,75,assets
amen_assets_fridge,0.0223,0.0083,2.7,0.0069,***,-0.0099,0.0082,-1.2,0.2296,,0.0899,75,assets
amen_assets_mobile,-0.0617,0.0109,-5.68,0.0,***,0.0276,0.0144,1.92,0.0547,*,0.3328,75,assets
amen_assets_computer,0.0086,0.0019,4.57,0.0,***,-0.0047,0.0028,-1.67,0.0943,*,0.0483,75,assets
amen_assets_internet,0.0515,0.0115,4.46,0.0,***,-0.0224,0.0163,-1.37,0.1699,,0.2584,75,assets
amen_asset_count_mean,-0.0738,0.045,-1.64,0.1006,,0.0141,0.052,0.27,0.786,,1.5262,75,assets
ind_agri_forestry_fish,-0.0002,0.0067,-0.03,0.976,,-0.0004,0.0073,-0.06,0.9538,,-0.0141,75,industry
ind_manufacturing,-0.0023,0.0016,-1.4,0.1604,,0.0046,0.0023,1.96,0.0498,**,-0.0189,75,industry
ind_construction,-0.009,0.003,-3.02,0.0025,***,-0.0048,0.0028,-1.74,0.0825,*,0.0325,75,industry
ind_education,0.0005,0.0006,0.84,0.4017,,0.0019,0.0007,2.57,0.0103,**,-0.0099,75,industry
ind_health,0.0007,0.0003,2.09,0.037,**,0.0002,0.0005,0.54,0.5881,,0.0014,75,industry
occ_share_managers,0.0072,0.0018,4.11,0.0,***,-0.0024,0.0019,-1.24,0.2152,,0.0288,75,occupation
occ_share_professionals,0.0011,0.0006,1.78,0.0748,*,0.0016,0.0007,2.11,0.0344,**,-0.0093,75,occupation
occ_share_craft_trades,-0.0079,0.0024,-3.28,0.001,***,0.0054,0.0035,1.52,0.1273,,-0.0239,75,occupation
occ_share_elementary,0.0025,0.0051,0.48,0.6296,,-0.0117,0.0065,-1.81,0.0705,*,0.0646,75,occupation
occ_share_agriculture,-0.0027,0.0064,-0.42,0.6708,,0.004,0.0069,0.58,0.5588,,-0.0399,75,occupation
mig_in_share,0.0203,0.0093,2.19,0.0288,**,-0.0232,0.0131,-1.78,0.0752,*,0.2028,75,migration
mig_in_international,-0.0006,0.0018,-0.31,0.7554,,-0.0004,0.0019,-0.22,0.8273,,0.0183,75,migration
absent_hh_share,-0.0305,0.0049,-6.28,0.0,***,-0.0073,0.0067,-1.1,0.271,,-0.0307,75,migration
