dname,z_d
Achham,-0.06146626447229614
Arghakhanchi,-0.05894046780193695
Baglung,-0.044618690904267046
Baitadi,-0.0820533492870878
Bajhang,-0.058177472409842834
Bajura,-0.04602541122512683
Banke,-0.07656512185077892
Bara,-0.07815164700537795
Bardiya,-0.0625822896955622
Bhaktapur,-0.05432550559541165
Bhojpur,-0.06220192709988305
Chitawan,-0.03799876915281976
Dadeldhura,-0.07602887323759601
Dailekh,-0.08342851874025956
Dang,-0.062047816858526894
Darchula,-0.07505269109817989
Dhading,-0.05964196163829263
Dhankuta,-0.057073724048663836
Dhanusa,-0.047114952739101275
Dolakha,-0.05743422169124446
Dolpa,-0.04917524634856319
Doti,-0.06731634972229854
Gorkha,-0.051445355180259014
Gulmi,-0.04704766581010966
Humla,-0.05745101526920848
Ilam,-0.06460831945150355
Jajarkot,-0.08367126537798386
Jhapa,-0.05375513796844568
Jumla,-0.06922779212706784
Kailali,-0.06943046316190321
Kalikot,-0.08691703305944645
Kanchanpur,-0.07901280148521708
Kapilbastu,-0.07005335574880703
Kaski,-0.02406715835983063
Kathmandu,-0.03142346548210237
Kavrepalanchok,-0.055137137022515575
Khotang,-0.04737260206184788
Lalitpur,-0.04261008149889278
Lamjung,-0.030205412232339118
Mahottari,-0.0677414298466075
Makwanpur,-0.05810932854565357
Manang,-0.06363032406437527
Morang,-0.05537281756023866
Mugu,-0.0683005190029973
Mustang,-0.05228037600096089
Myagdi,-0.031914720047899074
Nawalparasi,-0.06057698153086571
Nuwakot,-0.05226495698686483
Okhaldhunga,-0.061834870652859655
Palpa,-0.053365343158472946
Panchthar,-0.05825911551821149
Parbat,-0.031154430127501475
Parsa,-0.080726054843699
Pyuthan,-0.04837230108053729
Ramechhap,-0.054209430748845204
Rasuwa,-0.07104928675690492
Rautahat,-0.08607726726433002
Rolpa,-0.031749002678519676
Rukum,-0.04934284960230576
Rupandehi,-0.05903205524864695
Salyan,-0.08327158095806764
Sankhuwasabha,-0.06030339655982279
Saptari,-0.08276309667009038
Sarlahi,-0.07234447519187628
Sindhuli,-0.06782761137630391
Sindhupalchok,-0.05636147717690862
Siraha,-0.04483707931139258
Solukhumbu,-0.05015266272732286
Sunsari,-0.05817190348007882
Surkhet,-0.07760179044305518
Syangja,-0.035414775840392196
Tanahu,-0.03242106869749136
Taplejung,-0.059727437416903235
Terhathum,-0.0581100231243212
Udayapur,-0.06415561860606458
