group,outcome,log,model,beta,se,t,p,sig,mean_y,pct_of_mean,ci_lo,ci_hi,n
FIRM PRESENCE & SCALE,n_firms,TRUE,M1,-0.2661,0.1291,-2.06,0.0428,**,8.945,-2.97,-0.5191,-0.0131,77
FIRM PRESENCE & SCALE,n_firms,TRUE,M2,-0.2397,0.1577,-1.52,0.1328,,8.945,-2.68,-0.5488,0.0694,77
FIRM PRESENCE & SCALE,n_firms,TRUE,M3,-0.2334,0.1461,-1.6,0.1145,,8.945,-2.61,-0.5198,0.0529,77
FIRM PRESENCE & SCALE,n_firms,TRUE,M4,-0.2943,0.1264,-2.33,0.023,**,8.945,-3.29,-0.542,-0.0465,76
FIRM PRESENCE & SCALE,emp_total,TRUE,M1,-0.3097,0.1454,-2.13,0.0364,**,10.0903,-3.07,-0.5947,-0.0247,77
FIRM PRESENCE & SCALE,emp_total,TRUE,M2,-0.2846,0.1748,-1.63,0.10780000000000001,,10.0903,-2.82,-0.6272,0.058,77
FIRM PRESENCE & SCALE,emp_total,TRUE,M3,-0.2738,0.1562,-1.75,0.0838,*,10.0903,-2.71,-0.58,0.0323,77
FIRM PRESENCE & SCALE,emp_total,TRUE,M4,-0.2894,0.1286,-2.25,0.0277,**,10.0903,-2.87,-0.5414,-0.0373,76
FIRM PRESENCE & SCALE,mean_emp_per_firm,FALSE,M1,-0.1677,0.0904,-1.86,0.0674,*,3.2111,-5.22,-0.3449,0.0095,77
FIRM PRESENCE & SCALE,mean_emp_per_firm,FALSE,M2,-0.1734,0.0966,-1.79,0.0767,*,3.2111,-5.4,-0.3628,0.0159,77
FIRM PRESENCE & SCALE,mean_emp_per_firm,FALSE,M3,-0.1577,0.0784,-2.01,0.048,**,3.2111,-4.91,-0.3113,-0.004,77
FIRM PRESENCE & SCALE,mean_emp_per_firm,FALSE,M4,-0.0089,0.0893,-0.1,0.9209,,3.2111,-0.28,-0.1839,0.1661,76
FIRM PRESENCE & SCALE,p90_emp_per_firm,FALSE,M1,-0.2824,0.1261,-2.24,0.0281,**,5.3117,-5.32,-0.5295,-0.0352,77
FIRM PRESENCE & SCALE,p90_emp_per_firm,FALSE,M2,-0.2963,0.1247,-2.38,0.02,**,5.3117,-5.58,-0.5408,-0.0519,77
FIRM PRESENCE & SCALE,p90_emp_per_firm,FALSE,M3,-0.2693,0.1166,-2.31,0.0237,**,5.3117,-5.07,-0.4978,-0.0407,77
FIRM PRESENCE & SCALE,p90_emp_per_firm,FALSE,M4,-0.089,0.1883,-0.47,0.6381,,5.3117,-1.68,-0.458,0.2801,76
FIRM SIZE COMPOSITION,share_firms_size_micro_1,FALSE,M1,4e-4,0.0086,0.04,0.9675,,0.374,0.09,-0.0165,0.0172,77
FIRM SIZE COMPOSITION,share_firms_size_micro_1,FALSE,M2,0.0011,0.0087,0.12,0.9017,,0.374,0.29,-0.016,0.0181,77
FIRM SIZE COMPOSITION,share_firms_size_micro_1,FALSE,M3,-2e-4,0.0092,-0.02,0.9818,,0.374,-0.06,-0.0182,0.0178,77
FIRM SIZE COMPOSITION,share_firms_size_micro_1,FALSE,M4,-0.0097,0.0098,-0.99,0.3252,,0.374,-2.59,-0.0289,0.0095,76
FIRM SIZE COMPOSITION,share_firms_size_small_2_9,FALSE,M1,0.0028,0.0081,0.35,0.7274,,0.5813,0.49,-0.013,0.0187,77
FIRM SIZE COMPOSITION,share_firms_size_small_2_9,FALSE,M2,0.0023,0.0082,0.28,0.779,,0.5813,0.4,-0.0138,0.0184,77
FIRM SIZE COMPOSITION,share_firms_size_small_2_9,FALSE,M3,0.0033,0.0087,0.38,0.7033,,0.5813,0.57,-0.0137,0.0204,77
FIRM SIZE COMPOSITION,share_firms_size_small_2_9,FALSE,M4,0.0112,0.009,1.24,0.2188,,0.5813,1.93,-0.0064,0.0288,76
FIRM SIZE COMPOSITION,share_firms_size_medium_10_50,FALSE,M1,-0.0025,0.0014,-1.73,0.0884,*,0.0419,-5.92,-0.0052,3e-4,77
FIRM SIZE COMPOSITION,share_firms_size_medium_10_50,FALSE,M2,-0.0027,0.0014,-1.91,0.0594,*,0.0419,-6.34,-0.0054,1e-4,77
FIRM SIZE COMPOSITION,share_firms_size_medium_10_50,FALSE,M3,-0.0024,0.0014,-1.69,0.0943,*,0.0419,-5.73,-0.0051,3e-4,77
FIRM SIZE COMPOSITION,share_firms_size_medium_10_50,FALSE,M4,-0.0012,0.0024,-0.53,0.6009,,0.0419,-2.95,-0.0059,0.0035,76
FIRM SIZE COMPOSITION,share_firms_size_large_51p,FALSE,M1,-7e-4,3e-4,-2.56,0.0124,**,0.0028,-25.24,-0.0013,-1e-4,77
