dataset,outcome,scaling,model,beta,se,p,sig,mean_y,n
census,mig_out_internal_share,log,M2,0.09754195784770214,0.08018784889768545,0.22769142257932423,,0.28081828596264663,150
census,mig_out_internal_share,log,M3,0.09970687884408795,0.08473765967053462,0.24310489372558747,,0.28081828596264663,150
census,mig_out_internal_share,log,M4,0.18086162193469282,0.11477277382022096,0.11933232332666104,,0.28081828596264663,150
census,mig_in_internal_share,log,M2,-0.2756318105359875,0.10197108073243533,0.008517593408807077,***,0.16259422527860948,150
census,mig_in_internal_share,log,M3,-0.2585754165965238,0.08495777342271042,0.003235583930840726,***,0.16259422527860948,150
census,mig_in_internal_share,log,M4,-0.16065265346807334,0.08257602295167447,0.05551187078788869,*,0.16259422527860948,150
census,net_internal_mig_share,log,M2,-0.37317376838369043,0.14264984819214094,0.010777884969662237,**,-0.11822406068403714,150
census,net_internal_mig_share,log,M3,-0.3582822954406113,0.13107531087712296,0.007836789850403808,***,-0.11822406068403714,150
census,net_internal_mig_share,log,M4,-0.3415142754027664,0.13140724361905998,0.011281747297190906,**,-0.11822406068403714,150
census,mig_out_economic_share,log,M2,NA,NA,NA,,0.10494938772069236,NA
census,mig_out_economic_share,log,M3,NA,NA,NA,,0.10494938772069236,NA
census,mig_out_economic_share,log,M4,NA,NA,NA,,0.10494938772069236,NA
census,mig_out_noneconomic_share,log,M2,NA,NA,NA,,0.2165745877943216,NA
census,mig_out_noneconomic_share,log,M3,NA,NA,NA,,0.2165745877943216,NA
census,mig_out_noneconomic_share,log,M4,NA,NA,NA,,0.2165745877943216,NA
census,mig_in_economic_share,log,M2,NA,NA,NA,,0.06023884141379397,NA
census,mig_in_economic_share,log,M3,NA,NA,NA,,0.06023884141379397,NA
census,mig_in_economic_share,log,M4,NA,NA,NA,,0.06023884141379397,NA
census,mig_in_noneconomic_share,log,M2,NA,NA,NA,,0.12079686880374516,NA
census,mig_in_noneconomic_share,log,M3,NA,NA,NA,,0.12079686880374516,NA
census,mig_in_noneconomic_share,log,M4,NA,NA,NA,,0.12079686880374516,NA
census,ind_agri_forestry_fish,log,M2,-0.023595417924513473,0.05305846285782353,0.6578302083896768,,0.6723312400225293,150
census,ind_agri_forestry_fish,log,M3,-0.02632811512412822,0.05479575609269434,0.6323054750789827,,0.6723312400225293,150
census,ind_agri_forestry_fish,log,M4,-0.14016622074235488,0.07712637596094687,0.07321063293583521,*,0.6723312400225293,150
census,occ_share_managers,log,M2,-0.026396080781748356,0.0183961585612125,0.1555373900978898,,0.030232629735443186,150
census,occ_share_managers,log,M3,-0.021583417326429356,0.014432047275461409,0.13903143357113765,,0.030232629735443186,150
census,occ_share_managers,log,M4,-0.02110024050845274,0.0128520427444979,0.10487886175686788,,0.030232629735443186,150
census,emp_share_employee,log,M2,-0.00818300439659364,0.032288697596952215,0.8006368138202724,,0.24033419163725314,150
census,emp_share_employee,log,M3,-0.005526425802890333,0.03296503302848281,0.8673198115800247,,0.24033419163725314,150
census,emp_share_employee,log,M4,0.06854936261825151,0.04310642048841533,0.11604517088350338,,0.24033419163725314,150
census,amen_asset_count_mean,log,M2,0.190104114777359,0.26630517051470604,0.47756046629862414,,2.6705043117619964,150
census,amen_asset_count_mean,log,M3,0.12933103277799268,0.2893877724364519,0.6562434734785361,,2.6705043117619964,150
census,amen_asset_count_mean,log,M4,0.15042588591178382,0.4469639169138349,0.737408400702843,,2.6705043117619964,150
census,amen_assets_mobile,log,M2,0.2509680356567596,0.1483561023573544,0.0949182838382345,*,0.7470649352102644,150
census,amen_assets_mobile,log,M3,0.219415136395199,0.10065467821784593,0.03244764285210898,**,0.7470649352102644,150
census,amen_assets_mobile,log,M4,0.2036554892401278,0.1102097104346362,0.0686142773464736,*,0.7470649352102644,150
census,amen_assets_radio,log,M2,0.24164216899405844,0.09896360145941588,0.017006858571848013,**,0.46209782668021426,150
census,amen_assets_radio,log,M3,0.2195172977707585,0.07920405163124987,0.007052453365442994,***,0.46209782668021426,150
census,amen_assets_radio,log,M4,0.2245302794341422,0.0854344292886759,0.010434352298223357,**,0.46209782668021426,150
census,amen_assets_tv,log,M2,0.10709681110858416,0.07555847638679684,0.16056198458753904,,0.32265837822172727,150
census,amen_assets_tv,log,M3,0.12032754530266301,0.0776801317625292,0.12564496576048684,,0.32265837822172727,150
census,amen_assets_tv,log,M4,0.16491333762648816,0.08295789719975685,0.050520710754586216,*,0.32265837822172727,150
census,amen_assets_fridge,log,M2,-0.0953133661765948,0.07011258414272065,0.17813766993130942,,0.0828334659495331,150
census,amen_assets_fridge,log,M3,-0.08242235233609559,0.05645879914220064,0.14855902141559932,,0.0828334659495331,150
census,amen_assets_fridge,log,M4,-0.085321517662689,0.08346146069494285,0.3099757968566133,,0.0828334659495331,150
census,amen_assets_computer,log,M2,-0.044472570579089155,0.02758917611715498,0.11122847586325287,,0.06344272882575051,150
census,amen_assets_computer,log,M3,-0.03951134006517915,0.020151119962233326,0.05367183587574965,*,0.06344272882575051,150
census,amen_assets_computer,log,M4,-0.03449142162973616,0.019293210979589526,0.07791055779828429,*,0.06344272882575051,150
census,amen_assets_internet,log,M2,-0.2335393085898323,0.16136399478301403,0.15204098929087004,,0.14575822839952254,150
census,amen_assets_internet,log,M3,-0.2057445057838553,0.12235463511767425,0.0968736310976476,*,0.14575822839952254,150
census,amen_assets_internet,log,M4,-0.16023871518727495,0.11458223973517287,0.16615183425288924,,0.14575822839952254,150
census,amen_assets_landline,log,M2,0.11578792471720181,0.040887242947457665,0.00595710520568441,***,0.037715122099921734,150
census,amen_assets_landline,log,M3,0.11065763489105139,0.035259351272902716,0.002439656608233213,***,0.037715122099921734,150
census,amen_assets_landline,log,M4,0.1038200801930988,0.02529377573603662,1.0314701183020627e-4,***,0.037715122099921734,150
census,amen_assets_cycle,log,M2,-3.60939606818822e-4,0.018819072263587745,0.9847495646707951,,0.19409742897579932,150
census,amen_assets_cycle,log,M3,-0.0010768775463792116,0.02022056742050215,0.9576710153572507,,0.19409742897579932,150
census,amen_assets_cycle,log,M4,0.008395651392750777,0.026983389426254886,0.756567885302212,,0.19409742897579932,150
census,amen_assets_motorcycle,log,M2,-0.12069139480692304,0.05698989966838471,0.03755401774995409,**,0.109258261573453,150
census,amen_assets_motorcycle,log,M3,-0.12436015337307052,0.06052188577992164,0.043429394147466154,**,0.109258261573453,150
census,amen_assets_motorcycle,log,M4,-0.06861192350114896,0.08918274550673554,0.4441397987433606,,0.109258261573453,150
census,amen_assets_car,log,M2,-0.020684184751535627,0.013602131710715488,0.1326074024140884,,0.013279045988719849,150
census,amen_assets_car,log,M3,-0.01770260402648292,0.009732349754188404,0.07296559642119137,*,0.013279045988719849,150
census,amen_assets_car,log,M4,-0.01799704002449616,0.008704727803581388,0.0421839008559394,**,0.013279045988719849,150
census,amen_cooking_modern,log,M2,-0.02936106251892534,0.06145734933452878,0.6342385167950149,,0.20949145011021508,150
census,amen_cooking_modern,log,M3,-0.03941941232843833,0.06190667991337858,0.5262491052287046,,0.20949145011021508,150
census,amen_cooking_modern,log,M4,0.12224247054940063,0.10882760722688109,0.2649550733862024,,0.20949145011021508,150
census,amen_cooking_traditional,log,M2,0.03154599529432378,0.06238234652972229,0.6145788349771311,,0.7870355773084722,150
census,amen_cooking_traditional,log,M3,0.04085307500906372,0.06269780864609456,0.5166862268967836,,0.7870355773084722,150
census,amen_cooking_traditional,log,M4,-0.12744673521822497,0.10898347239573822,0.24599008302547284,,0.7870355773084722,150
census,amen_cooking_lpg,log,M2,0.005396371213619577,0.06431336386680363,0.9333565833140092,,0.19353055748020517,150
census,amen_cooking_lpg,log,M3,-7.044955471060194e-4,0.06772544764131526,0.991728365704574,,0.19353055748020517,150
census,amen_cooking_lpg,log,M4,0.14041878817657463,0.11240542990611888,0.21552275175842361,,0.19353055748020517,150
census,amen_cooking_electric,log,M2,-0.003024716764213106,0.0036209836518131026,0.40622079014766543,,0.0022737123560977244,150
census,amen_cooking_electric,log,M3,-0.0036082869956965127,0.004279156287895204,0.4018206216260086,,0.0022737123560977244,150
census,amen_cooking_electric,log,M4,-0.007841133616239582,0.005482148476396356,0.15683905006719295,,0.0022737123560977244,150
census,amen_cooking_biogas,log,M2,-0.03448134544559267,0.02250945296871448,0.1298209989419648,,0.013938854671742374,150
census,amen_cooking_biogas,log,M3,-0.03767827368269461,0.020222435938738504,0.06640344985633566,*,0.013938854671742374,150
census,amen_cooking_biogas,log,M4,-0.008899820213283387,0.027391542412527982,0.746165025496509,,0.013938854671742374,150
census,amen_cooking_wood,log,M2,-0.03010919414545521,0.07875974565781928,0.7033407852429381,,0.7406038568884844,150
census,amen_cooking_wood,log,M3,-0.033065332801145625,0.0832104742327559,0.6922386340221883,,0.7406038568884844,150
census,amen_cooking_wood,log,M4,-0.13070238564410352,0.10823172747959725,0.23104050195510514,,0.7406038568884844,150
census,amen_cooking_kerosene,log,M2,0.025418822926876406,0.0075617252253358394,0.0012292126174854078,***,0.003946411261069701,150
census,amen_cooking_kerosene,log,M3,0.025152902606200258,0.00706957128206779,6.567274402869764e-4,***,0.003946411261069701,150
census,amen_cooking_kerosene,log,M4,0.013532828313482804,0.006005883540649428,0.02720570379826009,**,0.003946411261069701,150
census,amen_lighting_electricity,log,M2,0.15870219059613166,0.17297370287364178,0.3618649434814103,,0.8460781329705712,150
census,amen_lighting_electricity,log,M3,0.11075386646274596,0.10292425126868868,0.28539104044997343,,0.8460781329705712,150
census,amen_lighting_electricity,log,M4,-0.028936238245968575,0.11571256746298147,0.8032261745499188,,0.8460781329705712,150
census,amen_lighting_kerosene,log,M2,0.03845531428446858,0.10738548949061268,0.7212840072926667,,0.08884229048755674,150
census,amen_lighting_kerosene,log,M3,0.07379654411542215,0.09020540525236674,0.41592977749007487,,0.08884229048755674,150
census,amen_lighting_kerosene,log,M4,-0.029357033368305103,0.1029381761400917,0.7762945653594481,,0.08884229048755674,150
census,amen_lighting_biogas,log,M2,0.0012679530559590313,0.0020429563295317737,0.5367393408218907,,0.0015173938322894714,150
census,amen_lighting_biogas,log,M3,0.00118492776992804,0.0019177481764423305,0.5385549868319295,,0.0015173938322894714,150
census,amen_lighting_biogas,log,M4,-6.6593579591583e-4,0.0032319002610013,0.8373170293025115,,0.0015173938322894714,150
census,amen_lighting_others,log,M2,-0.45945485633165006,0.23345276191643916,0.05280507658131415,*,0.12951027895959666,150
census,amen_lighting_others,log,M3,-0.43969077408344415,0.21344524744632537,0.04291847114298365,**,0.12951027895959666,150
census,amen_lighting_others,log,M4,-0.037831773015696214,0.26692366372052273,0.8876764150203429,,0.12951027895959666,150
census,amen_water_piped,log,M2,0.07612123691640116,0.1036687660952864,0.46510234514212556,,0.6518371369330124,150
census,amen_water_piped,log,M3,0.053975690993131126,0.08067643468974361,0.50555246478132565,,0.6518371369330124,150
census,amen_water_piped,log,M4,-0.011850831964408014,0.07602902749385802,0.8765579817375924,,0.6518371369330124,150
census,amen_water_traditional,log,M2,0.06289498494025159,0.07931059117339016,0.4303007324600514,,0.3296929865404078,150
census,amen_water_traditional,log,M3,0.07647197550008354,0.07207401534002665,0.29213146653083266,,0.3296929865404078,150
census,amen_water_traditional,log,M4,0.12899390608939215,0.07674778810435559,0.09702799748290841,*,0.3296929865404078,150
census,amen_toilet_any,log,M2,0.10098092233757061,0.24589920280389876,0.6825086837053878,,0.777379905666688,150
census,amen_toilet_any,log,M3,0.04386155978103343,0.18699982605025559,0.8152026849853315,,0.777379905666688,150
census,amen_toilet_any,log,M4,0.11332381469618653,0.17348574562205638,0.5156409574614391,,0.777379905666688,150
census,amen_toilet_modern,log,M2,0.1428602799324974,0.2345135939503594,0.5442729092456324,,0.5053664511600996,150
census,amen_toilet_modern,log,M3,0.11056954505263177,0.2026125922701517,0.5869004470731913,,0.5053664511600996,150
census,amen_toilet_modern,log,M4,0.10740818814556609,0.20030522664422018,0.5934130132610633,,0.5053664511600996,150
census,amen_toilet_ordinary,log,M2,-0.042293849359936075,0.25774183326498845,0.8701046403025108,,0.2699072472938189,150
census,amen_toilet_ordinary,log,M3,-0.06656563564170923,0.25954296472784544,0.7982976922213691,,0.2699072472938189,150
census,amen_toilet_ordinary,log,M4,0.00469555892550265,0.20640467195702436,0.9819114938517477,,0.2699072472938189,150
census,amen_toilet_none,log,M2,-0.09913317279531597,0.24511604142525387,0.6870604571179018,,0.2191812354565218,150
census,amen_toilet_none,log,M3,-0.04276403710467898,0.18644165347065994,0.8192144850441008,,0.2191812354565218,150
census,amen_toilet_none,log,M4,-0.11838457305342767,0.1729661245577959,0.49583672389940014,,0.2191812354565218,150
hh,has_migrant_intl,log,M2,-0.007056294825395125,0.014027170364198906,0.6171865648009034,,0.31989293239933936,17362
hh,has_migrant_intl,log,M3,-0.015745601850911388,0.014336628669943674,0.27745066506316607,,0.31989293239933936,17362
hh,has_migrant_intl,log,M4,-0.0018278454610294401,0.01366842372817938,0.8941657146718271,,0.31989293239933936,17362
hh,n_intl_migrants,log,M2,-0.002152632888824821,0.022948580823921604,0.9256486076467013,,0.4102739335953072,17362
hh,n_intl_migrants,log,M3,-0.020324778588923172,0.02265410843235484,0.37401074997785566,,0.4102739335953072,17362
hh,n_intl_migrants,log,M4,0.006469513088199407,0.022392777033572918,0.7738685026044694,,0.4102739335953072,17362
hh,remit_amount_intl_12m_rs,log,M2,-11709.983738232797,5768.039941306166,0.04778826752086719,**,58574.23475140953,17362
hh,remit_amount_intl_12m_rs,log,M3,-10094.226151869796,4393.505368936645,0.025898594390788853,**,58574.23475140953,17362
hh,remit_amount_intl_12m_rs,log,M4,-8254.681099357069,4878.103611972664,0.09696020276649706,*,58574.23475140953,17362
hh,remit_received,log,M2,-0.023853945688865903,0.016810308918241736,0.16222702064044972,,0.3380033031493821,17362
hh,remit_received,log,M3,-0.02898183263462316,0.017298130372469578,0.10022053993292189,,0.3380033031493821,17362
hh,remit_received,log,M4,-0.004961178071451602,0.017729175902457615,0.7807848647864597,,0.3380033031493821,17362
hh,share_self_wet,log,M2,-0.01251797883499078,0.011580728273156458,0.2850188715594984,,0.8571110162590192,14826
hh,share_self_wet,log,M3,-0.01166622656438987,0.009740340424067089,0.23678675297012197,,0.8571110162590192,14826
hh,share_self_wet,log,M4,-0.011972887120681331,0.012663369259330166,0.34905606648939436,,0.8571110162590192,14826
hh,share_self_dry,log,M2,0.037508346426082306,0.024538706755908548,0.1328093310359761,,0.7010487508585136,14826
hh,share_self_dry,log,M3,0.029162606952395583,0.02050292146269391,0.1612557164177713,,0.7010487508585136,14826
hh,share_self_dry,log,M4,0.02979834519094597,0.02694057797583505,0.2740943429730985,,0.7010487508585136,14826
hh,share_both_seasons,log,M2,0.03467070665012739,0.023655405286789485,0.149129793192357,,0.6957078665816288,14826
hh,share_both_seasons,log,M3,0.027083549357483486,0.020035610957415635,0.18265601265736683,,0.6957078665816288,14826
hh,share_both_seasons,log,M4,0.027531060959456594,0.026344926323696727,0.3011403162036977,,0.6957078665816288,14826
hh,share_fallow_wet,log,M2,0.015659113284098747,0.00841259982257734,0.06869360384991202,*,0.06499779148729105,14826
hh,share_fallow_wet,log,M3,0.013574094463639559,0.0071794766708702384,0.06458779963681012,*,0.06499779148729105,14826
hh,share_fallow_wet,log,M4,0.013894256077673528,0.007882054706154835,0.08417523796313478,*,0.06499779148729105,14826
hh,share_fallow_dry,log,M2,-0.03964539449306276,0.026034931960148232,0.13424267324195877,,0.23076665346719177,14826
hh,share_fallow_dry,log,M3,-0.03077095674775987,0.021403565687211155,0.15688769816542505,,0.23076665346719177,14826
hh,share_fallow_dry,log,M4,-0.030972210876614784,0.02790829067500801,0.27250836439659254,,0.23076665346719177,14826
hh,share_rented_out_wet,log,M2,-0.0036643226441303543,0.007491881644778109,0.6269490696481059,,0.06998954918443068,14840
hh,share_rented_out_wet,log,M3,-5.875407579389235e-4,0.006118799490927175,0.9238945664495933,,0.06998954918443068,14840
hh,share_rented_out_wet,log,M4,0.002294556764645307,0.007647818542475992,0.7654252506342311,,0.06998954918443068,14840
hh,owns_plough,log,M2,-0.03823212133195398,0.02677174746804872,0.15961271858863255,,0.6262130856725451,8172
