dataset,outcome,variant,dropped_dname,beta,se,p,sig,n
census,amen_assets_car,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.023923468671350128,0.012849475531966378,0.06817649696253855,*,108
census,amen_assets_computer,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.027001430551739383,0.02653529877872041,0.31350676460929816,,108
census,amen_assets_landline,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.05666787631848835,0.04211070833835066,0.18413190814969946,,108
census,amen_assets_mobile,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.05126785177875408,0.15994434065561833,0.7498227717446031,,108
census,amen_assets_radio,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.07686424158504344,0.11968395197117872,0.523494304066042,,108
census,amen_assets_tv,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.09765598762307412,0.11140199955557692,0.38465517307999686,,108
census,amen_cooking_kerosene,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.009883119891003213,0.007284059160943514,0.18059109784495062,,108
census,amen_water_traditional,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.20648939264760943,0.07565964596295725,0.00859672176251412,***,108
census,ind_agri_forestry_fish,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.243830289217852,0.11158981004098792,0.03332670255222247,**,108
census,mig_in_internal_share,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.10080140649497835,0.09783596387049409,0.3075433600613527,,108
census,mig_in_temp_noneconomic_share,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.2209610315829154,0.14859959663882788,0.14295182904715784,,108
census,mig_in_temp_share,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.3599256058125131,0.2442653244735666,0.1465303842076318,,108
census,net_internal_mig_share,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.052127305435301724,0.21128808993840523,0.8060842342162723,,108
census,net_temp_mig_share,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.10779253276183326,0.3634410390720309,0.7679396664044053,,108
hh,edu_spend_total_12m,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-1761.6816899270088,2522.396636687997,0.4895320279786348,,13592
hh,input_intensity_per_sqm,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.7821266061176886,0.6135756311906366,0.21081234270516389,,10385
hh,n_workers_total,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.10439034265387263,0.05848039624718752,0.082922881275302,*,13905
hh,nonfood_exp_12m,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-33204.158465571105,31897.84653541784,0.3050349588491558,,13905
hh,remit_amount_intl_12m_rs,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-13232.045573480018,13747.409934275804,0.34239568667260456,,13905
hh,sector_transport,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.006400762977373973,0.005330371523157008,0.23788887448907778,,13905
