dataset,outcome,variant,dropped,beta,se,p,sig,n
census,amen_assets_car,baseline,,-0.01799704002449616,0.008704727803581388,0.0421839008559394,**,150
census,amen_assets_computer,baseline,,-0.03449142162973616,0.019293210979589526,0.07791055779828429,*,150
census,amen_assets_landline,baseline,,0.1038200801930988,0.02529377573603662,1.0314701183020627e-4,***,150
census,amen_assets_mobile,baseline,,0.2036554892401278,0.1102097104346362,0.0686142773464736,*,150
census,amen_assets_radio,baseline,,0.2245302794341422,0.0854344292886759,0.010434352298223357,**,150
census,amen_assets_tv,baseline,,0.16491333762648816,0.08295789719975685,0.050520710754586216,*,150
census,amen_cooking_kerosene,baseline,,0.013532828313482804,0.006005883540649428,0.02720570379826009,**,150
census,amen_water_traditional,baseline,,0.12899390608939215,0.07674778810435559,0.09702799748290841,*,150
census,ind_agri_forestry_fish,baseline,,-0.14016622074235488,0.07712637596094687,0.07321063293583521,*,150
census,mig_in_internal_share,baseline,,-0.16065265346807334,0.08257602295167447,0.05551187078788869,*,150
census,mig_in_temp_noneconomic_share,baseline,,-0.31614500182200467,0.09970471745633125,0.002212373536184801,***,150
census,mig_in_temp_share,baseline,,-0.502907012753918,0.18360442148597914,0.007715308142570358,***,150
census,net_internal_mig_share,baseline,,-0.3415142754027664,0.13140724361905998,0.011281747297190906,**,150
census,net_temp_mig_share,baseline,,-0.7365248271642508,0.23532958778689123,0.0025037474029101334,***,150
hh,edu_spend_total_12m,baseline,,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,16961
hh,input_intensity_per_sqm,baseline,,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,13310
hh,n_workers_total,baseline,,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,17362
hh,nonfood_exp_12m,baseline,,-18604.440506446317,9017.462473120215,0.04441700546902986,**,17362
hh,remit_amount_intl_12m_rs,baseline,,-8254.681099357069,4878.103611972664,0.09696020276649706,*,17362
hh,sector_transport,baseline,,-0.005461786331699834,0.001359456698334221,2.0183454982619853e-4,***,17362
hh,share_fallow_wet,baseline,,0.013894256077673528,0.007882054706154835,0.08417523796313478,*,14826
hh,total_input_cost_rs,baseline,,-2075.456216077327,993.1405172913949,0.04184938210286274,**,17362
nec_cs,emp_total,baseline,,-40901.64451601221,16196.741376252741,0.014008041674781934,**,75
nec_cs,n_firms,baseline,,-9077.586287612916,3424.556301790462,0.01007685877646982,**,75
nec_cs,share_keeps_accounts,baseline,,0.043883270721642234,0.024397850622515562,0.0767165362845187,*,75
nec_panel,log_n_new_firms_education_health_social,baseline,,0.3890978754616716,0.19628985770049348,0.05116326484063083,*,600
nec_panel,log_n_new_firms_size_medium_10_50,baseline,,0.418297763850291,0.24063384560455692,0.08631441140496371,*,600
nec_panel,log_rev_new_firms,baseline,,1.0403893186683806,0.5057148789842236,0.04318498782039994,**,600
census,amen_assets_car,drop_ktm,Kathmandu,-0.016112605109489732,0.011175323272882167,0.15363464451627817,,148
census,amen_assets_computer,drop_ktm,Kathmandu,-0.035874230224689316,0.026047347432808638,0.17263726310420274,,148
census,amen_assets_landline,drop_ktm,Kathmandu,0.11229485002417391,0.03950890644129896,0.00580421165833901,***,148
census,amen_assets_mobile,drop_ktm,Kathmandu,0.21083794085968616,0.12134594046415587,0.08651715143394346,*,148
census,amen_assets_radio,drop_ktm,Kathmandu,0.24898291505063394,0.09763580818711842,0.012866616094117418,**,148
census,amen_assets_tv,drop_ktm,Kathmandu,0.13096781845201164,0.1031365265572646,0.2081713892079913,,148
census,amen_cooking_kerosene,drop_ktm,Kathmandu,0.013209533438733816,0.0077491317659682,0.09251311804153521,*,148
census,amen_water_traditional,drop_ktm,Kathmandu,0.0785024143909675,0.08937463651961713,0.3826344942803477,,148
census,ind_agri_forestry_fish,drop_ktm,Kathmandu,-0.08342257550449916,0.08795866761551029,0.3460401990406652,,148
census,mig_in_internal_share,drop_ktm,Kathmandu,-0.18706384443778212,0.10950548039295585,0.09183733037648702,*,148
census,mig_in_temp_noneconomic_share,drop_ktm,Kathmandu,-0.243148980550963,0.10877908364054462,0.028459770944882404,**,148
census,mig_in_temp_share,drop_ktm,Kathmandu,-0.41514190621361663,0.1984274393668375,0.0399019060814516,**,148
census,net_internal_mig_share,drop_ktm,Kathmandu,-0.39685405725383055,0.18860796969807614,0.03881216174863214,**,148
census,net_temp_mig_share,drop_ktm,Kathmandu,-0.7535513500242208,0.2990140891350578,0.013918082960123056,**,148
hh,edu_spend_total_12m,drop_ktm,Kathmandu,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,16961
hh,input_intensity_per_sqm,drop_ktm,Kathmandu,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,13310
hh,n_workers_total,drop_ktm,Kathmandu,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,17362
