placebo_year,outcome,beta,se,p,sig,n
2009,ind_agri_forestry_fish,0.045768440831338617,0.019156177512161227,0.019795001636469352,**,75
2009,occ_share_managers,-0.0024232845669104938,7.517717902421611e-4,0.001981954859153367,***,75
2009,emp_share_employee,-0.029510719464278422,0.01778684590068378,0.10190726773493994,,75
2009,amen_cooking_modern,-0.021804083967237046,0.009705735770837321,0.028074624682762693,**,75
2009,amen_cooking_traditional,0.01985753269821277,0.009683542353715244,0.04433737935972175,**,75
2009,amen_cooking_lpg,-0.02442912851027012,0.008280747535980978,0.004412222700854655,***,75
2009,amen_cooking_biogas,0.0026250445430330985,0.0033266107096328454,0.4329196793304365,,75
2009,amen_cooking_wood,0.062405676976358626,0.02834419109517267,0.031240989368508443,**,75
2009,amen_cooking_kerosene,-0.03039282117429874,0.01166456791607204,0.011358967007811908,**,75
2009,amen_lighting_electricity,-0.0322705294173617,0.03261417187102409,0.32610556412866665,,75
2009,amen_lighting_kerosene,0.036230406908047574,0.030008944412421495,0.23168386147969608,,75
2009,amen_lighting_biogas,-3.797879791053471e-4,1.3509257995404615e-4,0.00651475835812441,***,75
2009,amen_lighting_others,-0.005148887590985536,0.012777087902476102,0.6882866962318274,,75
2009,amen_water_piped,0.014264776343585896,0.02754889634374171,0.6063568144419582,,75
2009,amen_water_traditional,-0.016445721625583977,0.027117054220532705,0.5463140623623588,,75
2009,amen_toilet_any,-0.03166222130751781,0.024154026313212673,0.1945221332766201,,75
2009,amen_toilet_modern,-0.02400709625659276,0.018301381489468783,0.19421400226651486,,75
2009,amen_toilet_ordinary,-0.0076551250509242184,0.01770862254760089,0.6669669754004113,,75
2009,amen_toilet_none,0.0293628820609484,0.024147746876848734,0.22839482779391387,,75
2015,ind_agri_forestry_fish,0.0472853866616142,0.019266970856947067,0.016806762784620104,**,75
2015,occ_share_managers,-0.0025179275113514964,7.49387143287997e-4,0.0013082061255625826,***,75
2015,emp_share_employee,-0.030380869469747957,0.01789444434235219,0.09433204867682653,*,75
2015,amen_cooking_modern,-0.022407767484355093,0.009710961918142757,0.024222663901923777,**,75
2015,amen_cooking_traditional,0.020401828668824493,0.009700067873160856,0.039317802100115706,**,75
2015,amen_cooking_lpg,-0.025204378192096408,0.00821726273277963,0.0031475643234677273,***,75
2015,amen_cooking_biogas,0.0027966107077412997,0.0033723334956565864,0.4099807615489166,,75
2015,amen_cooking_wood,0.06188497938277353,0.028865985345979433,0.03578902164435025,**,75
2015,amen_cooking_kerosene,-0.03155977647066889,0.011584271936714187,0.008266715021942494,***,75
2015,amen_lighting_electricity,-0.03659373993573517,0.032797160465832406,0.2686331278886824,,75
2015,amen_lighting_kerosene,0.040507741512656466,0.029717867313643273,0.17756155985690983,,75
2015,amen_lighting_biogas,-3.8932088513715733e-4,1.38067213196607e-4,0.006363670238958581,***,75
2015,amen_lighting_others,-0.005144042866054462,0.013115053243688562,0.6961756291870651,,75
2015,amen_water_piped,0.010208684626598533,0.027469807984335414,0.7113749056285414,,75
2015,amen_water_traditional,-0.012409164242108452,0.027048984631165524,0.6479323270972654,,75
2015,amen_toilet_any,-0.03517870577629818,0.02381935128654957,0.14453230688641314,,75
2015,amen_toilet_modern,-0.02583761224778257,0.01841264828921466,0.1653004034160674,,75
2015,amen_toilet_ordinary,-0.009341093528514506,0.017857813659452035,0.6026961239757689,,75
2015,amen_toilet_none,0.03280770165997626,0.02384711393211681,0.17362085637719413,,75
2018,ind_agri_forestry_fish,0.04689098863008752,0.01917811503702553,0.017203288313911675,**,75
2018,occ_share_managers,-0.0024984907308025833,7.482146160288668e-4,0.0013941908402784833,***,75
2018,emp_share_employee,-0.03012887094231992,0.017845065081251384,0.09613506319693532,*,75
2018,amen_cooking_modern,-0.022376710513109337,0.009678480163606885,0.023955750871245657,**,75
2018,amen_cooking_traditional,0.020399040189557946,0.00966874960841402,0.03873118812909954,**,75
2018,amen_cooking_lpg,-0.025116184356246584,0.00820600154698899,0.0032081388558239826,***,75
2018,amen_cooking_biogas,0.0027394738431373057,0.0033526290630206254,0.41684929786306124,,75
2018,amen_cooking_wood,0.06213355085125398,0.02869432707864401,0.034035915076118695,**,75
2018,amen_cooking_kerosene,-0.03145664856681529,0.011557517794788308,0.008325569325728194,***,75
2018,amen_lighting_electricity,-0.03505224511882362,0.03262998939402639,0.2866894856647067,,75
2018,amen_lighting_kerosene,0.03902136589192719,0.029641042943027964,0.19264160024307145,,75
2018,amen_lighting_biogas,-3.8323281032336847e-4,1.3764299567506675e-4,0.007019551912238226,***,75
2018,amen_lighting_others,-0.005183573082694998,0.012975535590681202,0.6908431782105926,,75
2018,amen_water_piped,0.011223813213856449,0.027519829122613353,0.6847280536558003,,75
2018,amen_water_traditional,-0.013411999545174122,0.027095172810152984,0.6222721654967726,,75
2018,amen_toilet_any,-0.03486937221954403,0.02390156295063622,0.14941544721192607,,75
2018,amen_toilet_modern,-0.02551063296010363,0.018310028098824777,0.16828753619231104,,75
2018,amen_toilet_ordinary,-0.009358739259439714,0.01783144406030527,0.6014767140103132,,75
2018,amen_toilet_none,0.032526275179609994,0.023922665472253864,0.17864102171918744,,75
2020,ind_agri_forestry_fish,0.04682951961917379,0.019148040243839655,0.017175848901730188,**,75
2020,occ_share_managers,-0.002495640982975259,7.469708405014583e-4,0.0013867452985467357,***,75
2020,emp_share_employee,-0.030072856300493094,0.017828504861161262,0.09643887555400184,*,75
