destination,dataset,outcome,beta_k,se_k,p_k,sig_k,n,alpha_k_pct
Malaysia,census,amen_assets_car,0.00481189153027178,0.0025353058338662346,0.061602578949278494,*,150,50.24474681666723
Saudi Arabia,census,amen_assets_car,-0.0025543059746223175,0.0026966343578664854,0.34660966416082717,,150,34.46891112020432
Qatar,census,amen_assets_car,-8.536353832196421e-5,0.001199667595258034,0.9434655628707495,,150,8.214336044613864
United Arab Emirates,census,amen_assets_car,-2.3482702971088166e-4,9.585315675123205e-4,0.807145193645883,,150,6.558116766613972
Lebanon,census,amen_assets_car,-7.305476123557241e-4,0.0018020281951260438,0.686351030150046,,150,0.25670933449756766
Kuwait,census,amen_assets_car,2.968093934954427e-4,0.0011572079748105653,0.7982861543018995,,150,0.10549486461010826
Libya,census,amen_assets_car,0.0016701782949108174,7.067005322446563e-4,0.020738678929573404,**,150,0.06513030688572768
Bahrain,census,amen_assets_car,4.340134128234818e-4,9.785205315215473e-4,0.6586690280592736,,150,0.041925601343988365
Oman,census,amen_assets_car,2.2069460134236914e-4,0.0012193797304878473,0.8568708197114122,,150,0.03949324589008654
Japan,census,amen_assets_car,-0.01059928332482166,0.01552248609891309,0.4968438502265661,,150,0.0017020889784883225
Jordan,census,amen_assets_car,-0.003744562000360972,0.0017701177164744714,0.03775907642971992,**,150,0.001501314150669829
South Korea,census,amen_assets_car,-8.747102545886842e-4,0.02033429132695865,0.9658042335875545,,150,7.856372706134184e-4
Hong Kong SAR China,census,amen_assets_car,-3.659495373323727e-4,0.0010174910948448051,0.7201267361865696,,150,5.670337833163712e-4
Poland,census,amen_assets_car,-0.00401699420608001,0.0014477426376598396,0.006991590886046881,***,150,2.0305231029513218e-4
Israel,census,amen_assets_car,-0.0050759309417195905,0.0019970043227037354,0.013122071545199274,**,150,1.7272141831270427e-4
Macao SAR China,census,amen_assets_car,-0.0012469273642183704,0.0011743320333736475,0.29177122905716846,,150,9.184885450067507e-5
Mauritius,census,amen_assets_car,-6.271202759348502e-4,6.616557232647592e-4,0.34631395004921006,,150,3.901768112501562e-5
Seychelles,census,amen_assets_car,0.0012280810652707023,6.515320261814718e-4,0.0633680513573744,*,150,2.836031446869579e-5
Maldives,census,amen_assets_car,-0.0019783501644182093,9.013626728457786e-4,0.03131218756890836,**,150,1.8297942497921865e-5
United States,census,amen_assets_car,-0.00214282112791166,8.232464500543626e-4,0.011162348639656991,**,150,1.6322181202762126e-5
Brunei,census,amen_assets_car,-0.0013538134299199115,4.423703627905263e-4,0.0030790437842606743,***,150,5.1411654988284e-6
Algeria,census,amen_assets_car,0.001976714345563525,0.003994457780934592,0.6221620830265748,,150,3.0058639068052683e-6
China,census,amen_assets_car,-0.001303175141760692,8.231124223922927e-4,0.11763414444399231,,150,1.0715266073051213e-6
Russia,census,amen_assets_car,0.0025969262634077364,8.460163035361325e-4,0.0029959858354248817,***,150,5.742129954640948e-7
Australia,census,amen_assets_car,3.195243456232921e-4,3.135984014615561e-4,0.3115717081899714,,150,3.897311052195279e-7
Sri Lanka,census,amen_assets_car,0.0013417434662493471,5.998912987036781e-4,0.028322633740711502,**,150,2.1287561723534184e-8
Malaysia,census,amen_assets_computer,0.009300976090058585,0.005745960025434153,0.10976681322657568,,150,50.24474681666723
Saudi Arabia,census,amen_assets_computer,-0.0010411703280440495,0.004676557439895002,0.8244321309043727,,150,34.46891112020432
Qatar,census,amen_assets_computer,-0.004277527874315464,0.0032649998737409114,0.194208955667431,,150,8.214336044613864
United Arab Emirates,census,amen_assets_computer,-0.00281569857982049,0.0028305556984047926,0.32309899452537727,,150,6.558116766613972
Lebanon,census,amen_assets_computer,-0.003715744471548343,0.0040353769387552795,0.36015094383784074,,150,0.25670933449756766
Kuwait,census,amen_assets_computer,-0.003372612538780522,0.00321462696310722,0.2975254205758384,,150,0.10549486461010826
Libya,census,amen_assets_computer,0.0015300757708204436,0.0013987234830647418,0.27754310151222356,,150,0.06513030688572768
Bahrain,census,amen_assets_computer,-7.010603988341548e-4,0.002465282386401697,0.7769185955267399,,150,0.041925601343988365
Oman,census,amen_assets_computer,-9.287246520033872e-4,0.0026012927350990657,0.7220897568547058,,150,0.03949324589008654
Japan,census,amen_assets_computer,-0.04394114194431365,0.023691024966034802,0.06761434972083256,*,150,0.0017020889784883225
Jordan,census,amen_assets_computer,-0.0033108029856732213,0.004461482536439273,0.46038428922822383,,150,0.001501314150669829
South Korea,census,amen_assets_computer,-0.09677144603435393,0.0801928223451151,0.23137792878363658,,150,7.856372706134184e-4
Hong Kong SAR China,census,amen_assets_computer,0.0010489722074826294,0.0025962819412306422,0.6873569592069415,,150,5.670337833163712e-4
Poland,census,amen_assets_computer,-0.004768677004623895,0.004137776096202943,0.25283602409806527,,150,2.0305231029513218e-4
Israel,census,amen_assets_computer,-0.018236604789082327,0.0060904163256664135,0.0037387382929757696,***,150,1.7272141831270427e-4
Macao SAR China,census,amen_assets_computer,-0.003089580177662796,0.0033229814377657096,0.35551773387519003,,150,9.184885450067507e-5
Mauritius,census,amen_assets_computer,-0.003701574768986498,0.0014484759742182292,0.012656805353626134,**,150,3.901768112501562e-5
Seychelles,census,amen_assets_computer,1.9453248296323567e-4,0.0012480880581030671,0.8765643253079349,,150,2.836031446869579e-5
Maldives,census,amen_assets_computer,-0.0072933956084215166,0.0032011982009734524,0.0255939581466945,**,150,1.8297942497921865e-5
United States,census,amen_assets_computer,-0.0020969520659771695,0.0021189346113490424,0.325582020322303,,150,1.6322181202762126e-5
Brunei,census,amen_assets_computer,-0.0012799705829795085,0.0010611979896828572,0.2315994302022594,,150,5.1411654988284e-6
Algeria,census,amen_assets_computer,0.012890682844378947,0.006006123023328264,0.035131095932974477,**,150,3.0058639068052683e-6
China,census,amen_assets_computer,0.004407533553505162,0.0020465437219215946,0.034525230315716506,**,150,1.0715266073051213e-6
Russia,census,amen_assets_computer,0.0011262050890312415,0.001701186563188157,0.5100202383752985,,150,5.742129954640948e-7
Australia,census,amen_assets_computer,0.0029003678695594458,7.261261893641956e-4,1.5162328729229334e-4,***,150,3.897311052195279e-7
Sri Lanka,census,amen_assets_computer,0.006055930704431452,0.0014339621772566304,6.77209660694521e-5,***,150,2.1287561723534184e-8
Malaysia,census,amen_assets_landline,-0.029515613137030463,0.007550394981277719,2.0335419373635665e-4,***,150,50.24474681666723
Saudi Arabia,census,amen_assets_landline,0.010162625047709395,0.005972573657308403,0.09303834633252876,*,150,34.46891112020432
Qatar,census,amen_assets_landline,6.188892119818443e-4,0.0034783477245002546,0.8592670984139168,,150,8.214336044613864
United Arab Emirates,census,amen_assets_landline,0.014038125099925657,0.004645800457653479,0.0034508936600532625,***,150,6.558116766613972
Lebanon,census,amen_assets_landline,0.0042056622820621555,0.006981001029070444,0.5487203097602691,,150,0.25670933449756766
Kuwait,census,amen_assets_landline,0.006649306583335417,0.004016254131093287,0.10203814787118264,,150,0.10549486461010826
Libya,census,amen_assets_landline,-0.0015664701129565212,0.0013500640492161934,0.24965918109211874,,150,0.06513030688572768
Bahrain,census,amen_assets_landline,0.002019552002112762,0.0031213486472877125,0.5196257695996443,,150,0.041925601343988365
Oman,census,amen_assets_landline,0.007745826782008497,0.004140334698979907,0.06532359724985017,*,150,0.03949324589008654
Japan,census,amen_assets_landline,0.05328998655754576,0.037485502539361684,0.15933872408636282,,150,0.0017020889784883225
Jordan,census,amen_assets_landline,0.01398177442879638,0.006708929102037535,0.040607589189416246,**,150,0.001501314150669829
South Korea,census,amen_assets_landline,0.25922186191329166,0.08991812586053195,0.005156007825048488,***,150,7.856372706134184e-4
Hong Kong SAR China,census,amen_assets_landline,0.0020883765005481865,0.004229318275883278,0.6229200652661008,,150,5.670337833163712e-4
Poland,census,amen_assets_landline,0.01342981493692515,0.005297191804768683,0.01334784920497736,**,150,2.0305231029513218e-4
Israel,census,amen_assets_landline,0.016378718692144474,0.0053052716306931,0.0028428791619102265,***,150,1.7272141831270427e-4
Macao SAR China,census,amen_assets_landline,0.013112969006841486,0.004703373002044011,0.006736835312938778,***,150,9.184885450067507e-5
Mauritius,census,amen_assets_landline,0.006679779008869296,0.001696487668585462,1.8454420146299985e-4,***,150,3.901768112501562e-5
Seychelles,census,amen_assets_landline,-0.001405721158337185,0.001318814904872057,0.2899355057282746,,150,2.836031446869579e-5
Maldives,census,amen_assets_landline,0.0042377973327943665,0.003574076598833348,0.2395325970628763,,150,1.8297942497921865e-5
United States,census,amen_assets_landline,0.0017658461045956992,0.0029344597093543742,0.5491718818773963,,150,1.6322181202762126e-5
Brunei,census,amen_assets_landline,0.008705893921082498,0.0012133295236198634,4.6270088063287925e-10,***,150,5.1411654988284e-6
Algeria,census,amen_assets_landline,-0.0028139209431272093,0.004788042078375043,0.5585244400216625,,150,3.0058639068052683e-6
China,census,amen_assets_landline,0.013014107967831635,0.002858519864755463,2.038508343713795e-5,***,150,1.0715266073051213e-6
Russia,census,amen_assets_landline,-0.001038912500747776,0.002285023085350314,0.650683608516392,,150,5.742129954640948e-7
Australia,census,amen_assets_landline,0.0011098399771940083,0.001054554260539717,0.29602878859859677,,150,3.897311052195279e-7
Sri Lanka,census,amen_assets_landline,4.222788503509935e-4,0.002005349729882055,0.8337967788620265,,150,2.1287561723534184e-8
Malaysia,census,amen_assets_mobile,-0.058010671517656945,0.031855783867416644,0.07264296250340457,*,150,50.24474681666723
Saudi Arabia,census,amen_assets_mobile,0.025459074311634137,0.027961141921001714,0.3655066815153446,,150,34.46891112020432
Qatar,census,amen_assets_mobile,0.020510879712530544,0.015685157284435827,0.19503616648622762,,150,8.214336044613864
United Arab Emirates,census,amen_assets_mobile,9.561879835633172e-4,0.012878548258592054,0.9410145329318811,,150,6.558116766613972
Lebanon,census,amen_assets_mobile,0.020124959915992717,0.018402357116684184,0.277674262811165,,150,0.25670933449756766
Kuwait,census,amen_assets_mobile,0.009556545029748308,0.014703739400036218,0.5177437277857333,,150,0.10549486461010826
Libya,census,amen_assets_mobile,-0.00921048783138062,0.00645160319884067,0.1576055923164834,,150,0.06513030688572768
Bahrain,census,amen_assets_mobile,-0.011009453888624454,0.013384706762624054,0.41341240937311485,,150,0.041925601343988365
Oman,census,amen_assets_mobile,-0.00515130817121294,0.01630110071975147,0.7528846475121553,,150,0.03949324589008654
Japan,census,amen_assets_mobile,0.23757207977136047,0.1068120440957748,0.029184788263152506,**,150,0.0017020889784883225
Jordan,census,amen_assets_mobile,0.031844979732513067,0.013764452795030243,0.02347149096655043,**,150,0.001501314150669829
South Korea,census,amen_assets_mobile,0.8828082603356634,0.36544013526868585,0.018171626983955306,**,150,7.856372706134184e-4
Hong Kong SAR China,census,amen_assets_mobile,-0.017508602612238813,0.012405224689204226,0.16232062594647415,,150,5.670337833163712e-4
Poland,census,amen_assets_mobile,0.037392036909356274,0.015695339603678953,0.019771717352731557,**,150,2.0305231029513218e-4
Israel,census,amen_assets_mobile,0.04225377980402596,0.01593915934313522,0.009812254666192483,***,150,1.7272141831270427e-4
Macao SAR China,census,amen_assets_mobile,0.02316457555716987,0.012842182127843141,0.0753344016091121,*,150,9.184885450067507e-5
Mauritius,census,amen_assets_mobile,0.004082900653531515,0.007454623339113049,0.5855458609930186,,150,3.901768112501562e-5
Seychelles,census,amen_assets_mobile,-0.00421102619633727,0.005957922428881761,0.4819139733182868,,150,2.836031446869579e-5
Maldives,census,amen_assets_mobile,0.012133840247643427,0.010662821504622328,0.2588091084769446,,150,1.8297942497921865e-5
United States,census,amen_assets_mobile,0.008675101572388244,0.008673004041019177,0.32045307197939094,,150,1.6322181202762126e-5
Brunei,census,amen_assets_mobile,0.012615809809753624,0.00429342828768297,0.00439721320639292,***,150,5.1411654988284e-6
Algeria,census,amen_assets_mobile,-0.08304940823408588,0.03221419566905817,0.011924837964474886,**,150,3.0058639068052683e-6
China,census,amen_assets_mobile,0.007261702172570055,0.011472906859786138,0.528721685190356,,150,1.0715266073051213e-6
Russia,census,amen_assets_mobile,-0.042478737612260925,0.008789281225407895,7.097138257411994e-6,***,150,5.742129954640948e-7
Australia,census,amen_assets_mobile,-0.005702097361155883,0.0032371732586101982,0.08229397700803645,*,150,3.897311052195279e-7
Sri Lanka,census,amen_assets_mobile,0.0012640877917832636,0.006766138832133151,0.8523086510002518,,150,2.1287561723534184e-8
Malaysia,census,amen_assets_radio,-0.06505898840730383,0.025187567426860822,0.011769551499537389,**,150,50.24474681666723
Saudi Arabia,census,amen_assets_radio,0.041879873040760573,0.020617587515713173,0.04581955042473194,**,150,34.46891112020432
Qatar,census,amen_assets_radio,0.030790160161631715,0.01567472445204978,0.05324867458719696,*,150,8.214336044613864
United Arab Emirates,census,amen_assets_radio,0.003334568437564455,0.011001727655781154,0.7626679280533066,,150,6.558116766613972
Lebanon,census,amen_assets_radio,-0.010736774994614284,0.014202908033273613,0.452075283523374,,150,0.25670933449756766
Kuwait,census,amen_assets_radio,-5.64621793502397e-6,0.01682061447084955,0.9997330753591168,,150,0.10549486461010826
Libya,census,amen_assets_radio,0.0023051770631157434,0.0073375647228665405,0.7542827015300244,,150,0.06513030688572768
Bahrain,census,amen_assets_radio,-3.405534404221991e-5,0.00992718202973783,0.9972720819566061,,150,0.041925601343988365
Oman,census,amen_assets_radio,-0.007442449992982806,0.010809973616769889,0.4933033878163412,,150,0.03949324589008654
