destination,alpha_k,alpha_k_pct,n_districts_share_positive
Malaysia,0.5024474681666723,50.24474681666723,75
Saudi Arabia,0.34468911120204315,34.46891112020432,75
Qatar,0.08214336044613864,8.214336044613864,75
United Arab Emirates,0.06558116766613972,6.558116766613972,75
Lebanon,0.002567093344975677,0.25670933449756766,65
Kuwait,0.0010549486461010826,0.10549486461010826,70
Libya,6.513030688572769e-4,0.06513030688572768,72
Bahrain,4.1925601343988366e-4,0.041925601343988365,66
Oman,3.949324589008654e-4,0.03949324589008654,67
Japan,1.7020889784883224e-5,0.0017020889784883225,18
Jordan,1.501314150669829e-5,0.001501314150669829,43
South Korea,7.856372706134185e-6,7.856372706134184e-4,5
Hong Kong SAR China,5.670337833163712e-6,5.670337833163712e-4,30
Poland,2.030523102951322e-6,2.0305231029513218e-4,29
Israel,1.7272141831270427e-6,1.7272141831270427e-4,31
Macao SAR China,9.184885450067508e-7,9.184885450067507e-5,26
Mauritius,3.901768112501562e-7,3.901768112501562e-5,22
Seychelles,2.836031446869579e-7,2.836031446869579e-5,24
Maldives,1.8297942497921865e-7,1.8297942497921865e-5,27
United States,1.6322181202762125e-7,1.6322181202762126e-5,7
Brunei,5.1411654988283996e-8,5.1411654988284e-6,1
Algeria,3.0058639068052684e-8,3.0058639068052683e-6,14
China,1.0715266073051212e-8,1.0715266073051213e-6,2
Russia,5.742129954640948e-9,5.742129954640948e-7,2
Australia,3.897311052195279e-9,3.897311052195279e-7,2
Sri Lanka,2.1287561723534184e-10,2.1287561723534184e-8,1
