"group","outcome","spec","beta","se_cluster","t_cluster","p_cluster","sig_cluster","se_wild","t_wild","p_wild","sig_wild","mean_y","n_obs","B_boot"
"amenities","amen_water_piped","M4",0.0625,0.0496,1.26,0.2113,"",0.0486,1.29,0.215,"",0.6324,225,200
"amenities","amen_water_piped","M5",0.0338,0.0471,0.72,0.4763,"",0.0414,0.81,0.45,"",0.6324,225,200
"amenities","amen_water_piped","M6",0.0413,0.0628,0.66,0.5122,"",0.0598,0.69,0.485,"",0.6329,222,200
"amenities","amen_water_traditional","M4",0.0021,0.0502,0.04,0.9661,"",0.051,0.04,0.97,"",0.3498,225,200
"amenities","amen_water_traditional","M5",0.0348,0.0428,0.81,0.4192,"",0.042,0.83,0.445,"",0.3498,225,200
"amenities","amen_water_traditional","M6",0.0386,0.0601,0.64,0.5224,"",0.0552,0.7,0.5,"",0.3493,222,200
"amenities","amen_cooking_modern","M4",-0.0525,0.0396,-1.32,0.1898,"",0.0395,-1.33,0.21,"",0.1595,225,200
"amenities","amen_cooking_modern","M5",-0.0029,0.0386,-0.08,0.9396,"",0.0335,-0.09,0.95,"",0.1595,225,200
"amenities","amen_cooking_modern","M6",0.0417,0.0588,0.71,0.4808,"",0.0544,0.77,0.465,"",0.1612,222,200
"amenities","amen_cooking_traditional","M4",0.0522,0.0393,1.33,0.1886,"",0.0354,1.47,0.13,"",0.8352,225,200
"amenities","amen_cooking_traditional","M5",0.0028,0.0392,0.07,0.9428,"",0.0349,0.08,0.935,"",0.8352,225,200
"amenities","amen_cooking_traditional","M6",-0.0426,0.0597,-0.71,0.4777,"",0.0547,-0.78,0.43,"",0.8336,222,200
"amenities","amen_lighting_electricity","M4",0.1079,0.0581,1.86,0.0673,"*",0.0614,1.76,0.095,"*",0.6761,225,200
"amenities","amen_lighting_electricity","M5",0.0465,0.0573,0.81,0.4199,"",0.0504,0.92,0.4,"",0.6761,225,200
"amenities","amen_lighting_electricity","M6",0.008,0.072,0.11,0.9118,"",0.0659,0.12,0.91,"",0.6784,222,200
"amenities","amen_toilet_modern","M4",0.0247,0.0893,0.28,0.7824,"",0.0825,0.3,0.74,"",0.3932,225,200
"amenities","amen_toilet_modern","M5",0.0663,0.0944,0.7,0.4847,"",0.0964,0.69,0.535,"",0.3932,225,200
"amenities","amen_toilet_modern","M6",-0.0282,0.09,-0.31,0.7549,"",0.0771,-0.37,0.725,"",0.3938,222,200
"amenities","amen_toilet_any","M4",0.0506,0.0845,0.6,0.5513,"",0.0802,0.63,0.54,"",0.6594,225,200
"amenities","amen_toilet_any","M5",0.0747,0.0955,0.78,0.4367,"",0.1014,0.74,0.485,"",0.6594,225,200
"amenities","amen_toilet_any","M6",0.1436,0.081,1.77,0.0805,"*",0.0779,1.84,0.07,"*",0.6596,222,200
"housing","housing_own","M4",-0.0107,0.0147,-0.73,0.4702,"",0.0146,-0.73,0.5,"",0.9027,225,200
"housing","housing_own","M5",-0.0283,0.0155,-1.83,0.0713,"*",0.0153,-1.84,0.065,"*",0.9027,225,200
"housing","housing_own","M6",-0.0189,0.0163,-1.16,0.2515,"",0.017,-1.11,0.31,"",0.9026,222,200
"housing","housing_rented","M4",0.0137,0.0124,1.1,0.2746,"",0.0115,1.18,0.265,"",0.0753,225,200
"housing","housing_rented","M5",0.0272,0.0144,1.89,0.0625,"*",0.0136,2,0.035,"**",0.0753,225,200
"housing","housing_rented","M6",0.0219,0.0139,1.57,0.1206,"",0.0142,1.54,0.1,"",0.0753,222,200
