group,outcome,beta,se,t,p,sig,n,mean_y,r2_w,note
amenities,amen_water_piped,0.0297,0.059,0.5,0.6161,,222.0,0.6324,-10.0758,
amenities,amen_water_traditional,0.0326,0.0583,0.56,0.5763,,222.0,0.3498,-12.3689,
amenities,amen_cooking_modern,0.0528,0.0571,0.92,0.3569,,222.0,0.1595,-1.2773,
amenities,amen_cooking_traditional,-0.0537,0.0573,-0.94,0.3497,,222.0,0.8352,-1.3459,
amenities,amen_lighting_electricity,0.0146,0.069,0.21,0.8333,,222.0,0.6761,-3.9249,
amenities,amen_toilet_modern,-0.0446,0.1158,-0.39,0.7008,,222.0,0.3932,-0.0984,
amenities,amen_toilet_any,0.1513,0.1083,1.4,0.1645,,222.0,0.6594,-3.258,
housing,housing_own,-0.0252,0.0172,-1.46,0.146,,222.0,0.9027,-18.1673,
housing,housing_rented,0.0251,0.0152,1.65,0.1022,,222.0,0.0753,-12.6558,
housing,housing_foundation_modern,,,,,,,,,exog does not have full column rank. If you wish to proceed with model estimatio
housing,housing_foundation_traditional,,,,,,,,,exog does not have full column rank. If you wish to proceed with model estimatio
housing,housing_roof_modern,,,,,,,,,exog does not have full column rank. If you wish to proceed with model estimatio
housing,housing_roof_traditional,,,,,,,,,exog does not have full column rank. If you wish to proceed with model estimatio
work,flfp_all,-0.0291,0.0602,-0.48,0.6298,,222.0,0.6491,-0.1722,
work,fem_employment_rate,-0.0326,0.061,-0.53,0.5947,,222.0,0.6361,-1.144,
work,flfp_agri,-0.0338,0.0636,-0.53,0.5958,,222.0,0.4831,-3.0799,
work,flfp_wage,0.0081,0.019,0.43,0.6715,,222.0,0.075,-1.6381,
work,mlfp_all,-0.0201,0.0441,-0.46,0.6495,,222.0,0.7902,-0.3881,
work,mlfp_agri,-0.0036,0.0578,-0.06,0.9503,,222.0,0.4412,-2.2393,
work,mlfp_nonagri,-0.0154,0.0404,-0.38,0.7047,,222.0,0.3283,-1.4879,
migration,mig_in_share,-0.0783,0.0506,-1.55,0.1241,,222.0,0.1024,0.3971,
migration,mig_in_domestic,-0.0677,0.0451,-1.5,0.1362,,222.0,0.0929,0.5125,
migration,mig_in_international,-0.0106,0.0105,-1.01,0.3154,,222.0,0.0094,-1.2493,
migration,mig_in_from_rural,-0.0393,0.0373,-1.05,0.2945,,222.0,0.0755,0.2415,
migration,mig_in_from_urban,-0.0415,0.0184,-2.26,0.0256,**,222.0,0.0163,0.2605,
migration,mig_in_reason_economic,-0.0389,0.0235,-1.65,0.1009,,222.0,0.0275,-0.8469,
migration,mig_in_reason_noneconomic,-0.0438,0.0384,-1.14,0.2559,,222.0,0.0712,0.6268,
migration,mig_in_return,,,,,,,,,exog does not have full column rank. If you wish to proceed with model estimatio
migration,absent_hh_share,0.0219,0.0383,0.57,0.5691,,222.0,0.2062,-2.2471,
household,head_female_share,0.0229,0.03,0.76,0.4468,,222.0,0.2394,-5.882,
household,head_age_mean,-0.8763,0.5945,-1.47,0.1429,,222.0,45.6116,-5.63,
household,head_elderly_share,-0.0087,0.013,-0.67,0.5054,,222.0,0.2057,-0.829,
household,head_young_share,0.0327,0.0115,2.85,0.0051,***,222.0,0.1446,-20.7378,
left_behind,left_not_with_both,0.013,0.0324,0.4,0.6899,,222.0,0.1629,-0.4014,
left_behind,left_mother_only,0.0119,0.0323,0.37,0.7139,,222.0,0.1112,-4.5696,
left_behind,left_father_only,-0.0045,0.0029,-1.53,0.1292,,222.0,0.0105,-2.4255,
left_behind,left_with_relatives,-0.007,0.0064,-1.09,0.2797,,222.0,0.0138,-1.2765,
left_behind,left_without_parents,0.0051,0.0154,0.33,0.7424,,222.0,0.0332,-10.609,
