dname,n_dest,z_mean,z_sd,log_mi_z,mi_raw,top_dest,top_share,top3_share,top5_share,main_region,main_region_share,thin
Dolpa,5,0.11308493339285587,0.17174156763754259,-2.3849573261975276,0.2997275204359673,Malaysia,0.5,0.8636363636363636,1,share_other,0.416666666666667,thin
Jumla,5,0.10359337991476208,0.18108225812724277,-2.6804993277903857,0.21575270149925174,Malaysia,0.5957446808510638,0.9148936170212766,1,share_other,0.428571428571429,thin
Kalikot,5,0.07813278156787506,0.17151111722959386,-2.05877997775895,0.430820457399889,Malaysia,0.7627118644067796,0.9576271186440678,1,NA,NA,thin
Mugu,5,0.09729747392646952,0.1732510900283329,-2.051949316150127,0.4341062836884564,Malaysia,0.625,0.9375,1,share_other,0.526315789473684,thin
Bajura,6,0.12327249838753804,0.1804411671306221,-1.8176879508828119,0.5633301707779886,Malaysia,0.4473684210526316,0.9078947368421053,0.993421052631579,share_s_asia,0.473684210526316,thin
Achham,7,0.11029218039007983,0.18102570742643057,-1.9371252116525928,0.49324794059275195,Malaysia,0.547244094488189,0.8818897637795275,0.984251968503937,share_s_asia,0.41304347826087,thin
Baitadi,7,0.0852437639462017,0.17386007423884622,-1.1115903979526056,1.2355618617924415,Malaysia,0.714516129032258,0.9032258064516129,0.9919354838709677,share_gulf,0.416666666666667,thin
Bajhang,7,0.11284572500164859,0.1811135317567918,-1.9585005840591692,0.4816585450837522,Malaysia,0.5294117647058824,0.8609625668449198,0.9786096256684492,share_s_asia,0.240740740740741,thin
Doti,7,0.1055612606647846,0.18176655383435739,-2.3295587450609276,0.31877815873735516,Malaysia,0.5851851851851851,0.8666666666666666,0.9851851851851852,share_s_asia,0.288135593220339,thin
Humla,7,0.11772154115565449,0.18538783358557204,-1.7182681727024924,0.6292028786031696,Malaysia,0.5,0.890625,0.96875,share_e_asia,0.294117647058824,thin
Jajarkot,7,0.083806727951184,0.17425545090189748,-0.5632846116248276,2.273735581188997,Malaysia,0.7278562259306803,0.9589216944801027,0.993581514762516,share_se_asia,0.285714285714286,thin
Dadeldhura,8,0.09242704180944952,0.17582281521668627,-0.22919097182293469,3.297113178600082,Malaysia,0.6680896478121665,0.9327641408751334,0.9882604055496265,share_other,0.346153846153846,thin
Mustang,8,0.11675991980488565,0.1780995867581793,-0.6754049065324771,2.007136485280999,Malaysia,0.48148148148148145,0.7592592592592592,0.9444444444444444,share_oecd_north,0.329243353783231,thin
Darchula,9,0.09376666905573768,0.17613424557657578,-0.7636110225355391,1.8195597040683105,Malaysia,0.6577319587628866,0.8948453608247422,0.9835051546391752,share_gulf,0.222222222222222,thin
Dailekh,10,0.08194475936413781,0.172353754890909,-1.0826881365669756,1.2759292508690836,Malaysia,0.7395209580838323,0.9416167664670658,0.9850299401197605,share_gulf,0.304878048780488,thin
Manang,10,0.11135872642133864,0.18109674088377203,0.6046623781018873,8.335882532884675,Malaysia,0.48148148148148145,0.8148148148148148,0.9166666666666666,share_other,0.455089820359281,thin
Parsa,10,0.0880725813411093,0.175959385345915,-0.7777681705513786,1.7911307001299464,Malaysia,0.7007434944237918,0.9261152416356877,0.9842007434944238,share_gulf,0.577127659574468,thin
Rasuwa,10,0.09655282992770517,0.17480094859733378,0.6823001769253032,9.087759815242494,Malaysia,0.628498727735369,0.8740458015267176,0.9758269720101781,share_gulf,0.571428571428571,thin
Rolpa,10,0.14415508255097123,0.19112026095536647,0.8074514487270349,10.44515514061985,Saudi Arabia,0.3939006184687567,0.8976327575175944,0.9782469609724889,share_gulf,0.882859603789836,thin
Saptari,10,0.08594838837127473,0.1756302451178487,0.6413557056133503,8.683151776049456,Malaysia,0.7152765267519365,0.953341740226986,0.9849576652855341,share_gulf,0.889148191365227,thin
Surkhet,10,0.09056486167486788,0.17525001120041886,-0.4657908564479641,2.5341786296621476,Malaysia,0.6792346651660102,0.923466516601013,0.9808666291502532,share_gulf,0.346428571428571,thin
Kailali,11,0.1018508860610632,0.17946415478165134,0.17219499482725611,5.152705460423948,Malaysia,0.6055826761797471,0.9093753911628489,0.981599699586932,share_gulf,0.29811320754717,well-covered
Kapilbastu,11,0.10140490112002996,0.17952532998427334,-0.2566555496177901,3.197910255692945,Malaysia,0.6088026243849098,0.9100601421541826,0.9868780754510662,share_gulf,0.817155756207675,well-covered
Pyuthan,11,0.1270169007467693,0.18708329365838783,-0.034913817415503284,4.092467404932881,Malaysia,0.4337801608579088,0.8600536193029491,0.9710455764075067,share_gulf,0.564625850340136,well-covered
Rautahat,11,0.08161678456024904,0.17431180037668462,-0.4382068487493279,2.6131389412309494,Malaysia,0.742960691385559,0.9523278505715083,0.9899637580150544,share_gulf,0.659574468085106,well-covered
Rukum,11,0.1261868600634521,0.18717193794003795,0.29719720373322867,5.921358604189541,Malaysia,0.44106925880923453,0.8963142972863508,0.9833940866747671,share_gulf,0.879120879120879,well-covered
Salyan,11,0.084801585799944,0.17484248681562534,0.73334818963545,9.618716074639917,Malaysia,0.7212095217671027,0.940381728500965,0.9899206519408107,share_gulf,0.666666666666667,well-covered
Taplejung,11,0.11192615548389365,0.18098874877168541,0.9710117873010201,12.529322694785073,Malaysia,0.5335213032581454,0.8928571428571429,0.968671679197995,share_gulf,0.703663402248821,well-covered
Terhathum,11,0.10925994452821357,0.17619023265063838,1.0398694669971027,13.526684190318674,Malaysia,0.5418486171761281,0.8733624454148472,0.9705240174672489,share_gulf,0.726056945642796,well-covered
Arghakhanchi,12,0.11463942883549606,0.18346989862347368,0.35933788114645343,6.3451262953367875,Malaysia,0.5195374800637959,0.8740031897926634,0.9776714513556619,share_gulf,0.712621359223301,well-covered
Banke,12,0.09330844082986044,0.17722453925417128,-0.2627844629509705,3.1761830035028584,Malaysia,0.6637820512820513,0.9189102564102564,0.9839743589743589,share_gulf,0.72082717872969,well-covered
Bara,12,0.09075578197292791,0.17600094971594538,-0.2624908314650419,3.1772205645419276,Malaysia,0.6796338672768879,0.9151029748283753,0.9791762013729978,share_gulf,0.738866396761134,well-covered
Bardiya,12,0.10552933306684503,0.17659195331668404,-0.3327058193670144,2.938515059450133,Malaysia,0.5712006382130036,0.8990825688073395,0.9812524930195453,share_gulf,0.68141592920354,well-covered
Bhojpur,12,0.1101313321196021,0.18147850190056497,0.9023545437401447,11.608087296324106,Malaysia,0.5477315689981096,0.8683837429111531,0.9725897920604915,share_gulf,0.726143141153082,well-covered
Palpa,12,0.12034369993661327,0.1842344210829557,0.5985859756495213,8.279730454092961,Malaysia,0.4769515867500579,0.8364605049803104,0.965485290711142,share_gulf,0.765310492505353,well-covered
