dname,n_dest,z_mean,log_mi_z,top_dest,top_share,main_region
Dolpa,5,0.11308493339285587,-2.3849573261975276,Malaysia,0.5,share_other
Jumla,5,0.10359337991476208,-2.6804993277903857,Malaysia,0.5957446808510638,share_other
Kalikot,5,0.07813278156787506,-2.05877997775895,Malaysia,0.7627118644067796,NA
Mugu,5,0.09729747392646952,-2.051949316150127,Malaysia,0.625,share_other
Bajura,6,0.12327249838753804,-1.8176879508828119,Malaysia,0.4473684210526316,share_s_asia
Achham,7,0.11029218039007983,-1.9371252116525928,Malaysia,0.547244094488189,share_s_asia
Baitadi,7,0.0852437639462017,-1.1115903979526056,Malaysia,0.714516129032258,share_gulf
Bajhang,7,0.11284572500164859,-1.9585005840591692,Malaysia,0.5294117647058824,share_s_asia
Doti,7,0.1055612606647846,-2.3295587450609276,Malaysia,0.5851851851851851,share_s_asia
Humla,7,0.11772154115565449,-1.7182681727024924,Malaysia,0.5,share_e_asia
Jajarkot,7,0.083806727951184,-0.5632846116248276,Malaysia,0.7278562259306803,share_se_asia
Dadeldhura,8,0.09242704180944952,-0.22919097182293469,Malaysia,0.6680896478121665,share_other
Mustang,8,0.11675991980488565,-0.6754049065324771,Malaysia,0.48148148148148145,share_oecd_north
Darchula,9,0.09376666905573768,-0.7636110225355391,Malaysia,0.6577319587628866,share_gulf
Dailekh,10,0.08194475936413781,-1.0826881365669756,Malaysia,0.7395209580838323,share_gulf
Manang,10,0.11135872642133864,0.6046623781018873,Malaysia,0.48148148148148145,share_other
Parsa,10,0.0880725813411093,-0.7777681705513786,Malaysia,0.7007434944237918,share_gulf
Rasuwa,10,0.09655282992770517,0.6823001769253032,Malaysia,0.628498727735369,share_gulf
Rolpa,10,0.14415508255097123,0.8074514487270349,Saudi Arabia,0.3939006184687567,share_gulf
Saptari,10,0.08594838837127473,0.6413557056133503,Malaysia,0.7152765267519365,share_gulf
Surkhet,10,0.09056486167486788,-0.4657908564479641,Malaysia,0.6792346651660102,share_gulf
